answer	50,20,20,10
chromosomes	chr1,chr2,chr3,chr4
lengths	3000,3000,3000,3000
total_reads	40000
reads_used_max4	39967
unresolved_no_candidate_or_gt4	33
short_or_ambiguous	0
em_pi	0.50380589,0.19847006,0.19699451,0.10072954
em_pct	50.3806,19.8470,19.6995,10.0730
em_error_rate	0.00867226
unique_best_counts	6282,995,1351,402
exact_unique_counts	4448,733,1011,298
min_distance_counts	0:29231,1:9151,2:1450,3:122,4:13
exact_pattern	chr1,chr2,chr3,chr4	17688
exact_pattern	chr1	4448
exact_pattern	chr2,chr3,chr4	1012
exact_pattern	chr3	1011
exact_pattern	chr2,chr4	950
exact_pattern	chr1,chr3,chr4	873
exact_pattern	chr2	733
exact_pattern	chr2,chr3	619
exact_pattern	chr3,chr4	475
exact_pattern	chr1,chr2,chr4	406
exact_pattern	chr1,chr2,chr3	381
exact_pattern	chr4	298
exact_pattern	chr1,chr4	170
exact_pattern	chr1,chr2	161
exact_pattern	chr1,chr3	6
