subset	metric	value	detail
qc	metacells_EN	2	ids=56,57
qc	metacells_TN	2	ids=51,52
qc	matched_genes	18472	
all	EN_to_ref_EN	0.4569280597	
all	EN_to_ref_TN	0.4551783516	
all	TN_to_ref_EN	0.31536321	
all	TN_to_ref_TN	0.2518483537	
all	contrast_cor	-0.3920232049	
all	matched_sum	0.7087764134	
all	swapped_sum	0.7705415616	
top100	EN_to_ref_EN	0.1126795457	
top100	EN_to_ref_TN	0.732480267	
top100	TN_to_ref_EN	-0.0451285869	
top100	TN_to_ref_TN	0.04241842861	
top100	contrast_cor	-0.6488500731	
top100	matched_sum	0.1550979743	
top100	swapped_sum	0.6873516801	
top250	EN_to_ref_EN	0.3703726293	
top250	EN_to_ref_TN	0.7057896407	
top250	TN_to_ref_EN	-0.128338537	
top250	TN_to_ref_TN	-0.1661437976	
top250	contrast_cor	-0.6784448736	
top250	matched_sum	0.2042288316	
top250	swapped_sum	0.5774511037	
top500	EN_to_ref_EN	0.4594443257	
top500	EN_to_ref_TN	0.6902178097	
top500	TN_to_ref_EN	-0.2076525357	
top500	TN_to_ref_TN	-0.245562813	
top500	contrast_cor	-0.6985847685	
top500	matched_sum	0.2138815127	
top500	swapped_sum	0.482565274	
top1000	EN_to_ref_EN	0.4884572656	
top1000	EN_to_ref_TN	0.664339324	
top1000	TN_to_ref_EN	-0.1335248211	
top1000	TN_to_ref_TN	-0.1564437098	
top1000	contrast_cor	-0.6833145595	
top1000	matched_sum	0.3320135558	
top1000	swapped_sum	0.5308145028	
marker	BLAG11000811	0.9793286655	ref_TN=1.36201;query_EN=42.732;query_TN=29.9625
marker	BLAG15000049	0.9046338627	ref_TN=1.02891;query_EN=23.4337;query_TN=49.6255
marker	BLAG08001070	0.8388037162	ref_TN=1.10729;query_EN=17.9199;query_TN=32.7715
marker	BLAG14000821	-0.8217887555	ref_TN=3.34575;query_EN=857.396;query_TN=96.4419
marker	BLAG03002073	-0.8115653708	ref_TN=5.2514;query_EN=1082.08;query_TN=142.322
marker	BLAG06000695	-0.8065918812	ref_TN=4.09058;query_EN=610.654;query_TN=72.0974
marker	BLAG11000887	0.8017513643	ref_TN=1.36223;query_EN=172.306;query_TN=121.723
marker	BLAG09000812	0.7611591648	ref_TN=4.44122;query_EN=454.889;query_TN=148.876
marker	BLAG02000370	0.7388577212	ref_TN=1.84119;query_EN=538.974;query_TN=306.18
marker	BLAG04001574	0.7355563072	ref_TN=1.05599;query_EN=15.163;query_TN=31.8352
marker	BLAG14000551	-0.706086769	ref_TN=5.84063;query_EN=1644.49;query_TN=895.131
marker	BLAG02001860	-0.6807084768	ref_TN=3.94747;query_EN=510.027;query_TN=74.9064
marker	BLAG10000671	-0.6644286508	ref_TN=10.2644;query_EN=1399.13;query_TN=54.3071
marker	BLAG13000238	-0.6490364514	ref_TN=7.28589;query_EN=505.891;query_TN=527.154
marker	BLAG04001273	0.6344496447	ref_TN=0.974185;query_EN=23.4337;query_TN=85.206
marker	BLAG15000142	-0.6244372249	ref_TN=4.17091;query_EN=883.587;query_TN=331.461
marker	BLAG13001061	-0.5794522711	ref_TN=5.76377;query_EN=918.048;query_TN=352.06
