('Gene_ID', 'p_val', 'avg_log2FC', 'pct.1', 'pct.2', 'pct.1/pct.2', 'p_val_adj', 'cluster', 'annotation')
('TraesCS5B03G1052800', 7.18754809978924e-122, 0.464641681846314, 0.82, 0.517, 1.58607350096712, 5.1631751774836e-117, '0 - Unknown', '[gene=LOC119312101] [db_xref=GeneID:119312101] [protein=dehydrin Rab15-like isoform X2] [protein_id=XP_037443734.1] [location=complement(join(618956313..618956576,618956656..618956844))] [gbkey=CDS]')
('TraesCS1B03G0069700', 6.70075170989022e-94, 0.411754258842941, 0.882, 0.633, 1.39336492890995, 4.81348499079964e-89, '0 - Unknown', '[gene=LOC119340483] [db_xref=GeneID:119340483] [protein=subtilisin-chymotrypsin inhibitor-2A-like] [protein_id=XP_037468606.1] [location=16370953..16371177] [gbkey=CDS]')
('TraesCS2B03G1501600', 8.41455613826239e-91, 0.405176460953574, 0.842, 0.602, 1.39867109634551, 6.04459640192079e-86, '0 - Unknown', '[gene=LOC119366462] [db_xref=GeneID:119366462] [protein=4-hydroxy-7-methoxy-3-oxo-3,4-dihydro-2H-1,4-benzoxazin-2-yl glucoside beta-D-glucosidase 1b, chloroplastic] [protein_id=XP_037488099.1] [location=complement(join(805147782..805148013,805148133..805148238,805148574..805148676,805148915..805148949,805149059..805149392,805149496..805149754,805150088..805150175,805150268..805150339,805150483..805150558,805150749..805150807,805150901..805150970,805151138..805151413))] [gbkey=CDS]')
('TraesCS5A03G0948700', 1.47595579163646e-76, 0.344475261864151, 0.736, 0.485, 1.51752577319588, 1.06025284292205e-71, '0 - Unknown', '[gene=LOC119303228] [db_xref=GeneID:119303228] [protein=cytochrome P450 81Q32-like] [protein_id=XP_037436232.1] [location=join(599223149..599224084,599225389..599226003)] [gbkey=CDS]')
('TraesCS5A03G1006700', 2.42287687506105e-76, 0.434619499172774, 0.547, 0.348, 1.57183908045977, 1.74047360320011e-71, '0 - Unknown', '[gene=LOC119298113] [db_xref=GeneID:119298113] [protein=dehydrin Rab15-like] [protein_id=XP_037431525.1] [location=complement(join(617453350..617453613,617453707..617453892))] [gbkey=CDS]')
('TraesCS3B03G0498100', 3.85426051159366e-71, 0.255810492855814, 0.988, 0.876, 1.12785388127854, 2.76870803850331e-66, '0 - Unknown', '[gene=LOC119275728] [db_xref=GeneID:119275728] [protein=late embryogenis abundant protein 41-like] [protein_id=XP_037412525.1] [location=complement(244410913..244411200)] [gbkey=CDS]')
('TraesCS4B03G0489300', 3.71077064945591e-69, 0.295848679460784, 0.886, 0.688, 1.28779069767442, 2.66563209603666e-64, '0 - Unknown', '[gene=LOC119296278] [db_xref=GeneID:119296278] [protein=ricin B-like lectin R40C1] [protein_id=XP_037430575.1] [location=join(391936166..391936468,391936635..391937144,391937293..391937521,391937727..391937728)] [gbkey=CDS]')
('TraesCS3D03G0146400', 5.04056296328022e-61, 0.29460558461174, 0.879, 0.673, 1.30609212481426, 3.62088840467234e-56, '0 - Unknown', '[gene=LOC119266974] [db_xref=GeneID:119266974] [protein=metallothionein-like protein 1] [protein_id=XP_037404155.1] [location=complement(join(45347059..45347224,45347568..45347632))] [gbkey=CDS]')
('TraesCS5B03G1052600', 6.53205777136975e-60, 0.352167660114163, 0.39, 0.207, 1.88405797101449, 4.69230370006346e-55, '0 - Unknown', '[gene=LOC119312101] [db_xref=GeneID:119312101] [protein=dehydrin Rab15-like isoform X2] [protein_id=XP_037443734.1] [location=complement(join(618956313..618956576,618956656..618956844))] [gbkey=CDS]')
('TraesCS1B03G0841700', 2.63562518671189e-59, 0.323918774980301, 0.425, 0.234, 1.81623931623932, 1.89330135287449e-54, '0 - Unknown', '[gene=LOC119348552] [db_xref=GeneID:119348552] [protein=UPF0098 protein CPn_0877/CP_0992/CPj0877/CpB0906-like] [protein_id=XP_037472488.1] [location=complement(join(545656151..545656225,545656314..545656838))] [gbkey=CDS]')
('TraesCS3D03G0061500', 1.19040185719109e-58, 0.366072725872009, 0.599, 0.384, 1.55989583333333, 8.5512517411322e-54, '0 - Unknown', '[gene=LOC119266816] [db_xref=GeneID:119266816] [protein=Bowman-Birk type trypsin inhibitor-like isoform X1] [protein_id=XP_037403991.1] [location=complement(join(24761382..24761803,24761894..24762005))] [gbkey=CDS]')
('TraesCS1B03G0768600', 3.82947180057398e-58, 0.286356523381818, 0.815, 0.573, 1.42233856893543, 2.75090106794232e-53, '0 - Unknown', '[gene=LOC119344902] [db_xref=GeneID:119344902] [protein=uncharacterized protein LOC119344902] [protein_id=XP_037471092.1] [location=join(503925475..503925550,503925700..503925896)] [gbkey=CDS]')
