Common Name	Description	NCBI GeneID	Gene Type	Protein Count	RNA Type	Symbol	Taxonomic ID	Taxonomic Name	Transcript Accession	Transcript CDS Sequence Accession	Transcript CDS Order	Transcript CDS Orientation	Transcript CDS Start	Transcript CDS Stop	Transcript Count	Transcript Ensembl Transcript	Transcript Genomic Accession 	Transcript Genomic Exons Order	Transcript Genomic Exons Orientation	Transcript Genomic Exons Start	Transcript Genomic Exons Stop	Transcript Genomic Order	Transcript Genomic Orientation	Transcript Genomic Start	Transcript Genomic Stop	Transcript Genomic Seq Name	Transcript Transcript Length	Transcript Transcript Name	Transcript Protein Accession	Transcript Protein Ensembl Protein	Transcript Protein Isoform	Transcript Protein Length	Transcript Protein Mature Peptide Accession	Transcript Protein Mature Peptide Length	Transcript Protein Mature Peptide Name	Transcript Protein Name	Transcript Select Category	Transcript Type
beluga whale	sonic hedgehog signaling molecule	111176269	PROTEIN_CODING	2		SHH	9749	Delphinapterus leucas	XM_022576598.2	XM_022576598.2		plus	161	1198	2		NW_022098064.1	1	plus	2464461	2464581		plus	2464461	2470804	NW_022098064 Unplaced Scaffold Reference ASM228892v3 Primary Assembly	1212	transcript variant X2	XP_022432306.1		isoform X2	345				sonic hedgehog protein		PROTEIN_CODING_MODEL
beluga whale	sonic hedgehog signaling molecule	111176269	PROTEIN_CODING	2		SHH	9749	Delphinapterus leucas	XM_022576598.2	XM_022576598.2		plus	161	1198	2		NW_022098064.1	2	plus	2467055	2467316		plus	2464461	2470804	NW_022098064 Unplaced Scaffold Reference ASM228892v3 Primary Assembly	1212	transcript variant X2	XP_022432306.1		isoform X2	345				sonic hedgehog protein		PROTEIN_CODING_MODEL
beluga whale	sonic hedgehog signaling molecule	111176269	PROTEIN_CODING	2		SHH	9749	Delphinapterus leucas	XM_022576598.2	XM_022576598.2		plus	161	1198	2		NW_022098064.1	3	plus	2469976	2470804		plus	2464461	2470804	NW_022098064 Unplaced Scaffold Reference ASM228892v3 Primary Assembly	1212	transcript variant X2	XP_022432306.1		isoform X2	345				sonic hedgehog protein		PROTEIN_CODING_MODEL
beluga whale	sonic hedgehog signaling molecule	111176269	PROTEIN_CODING	2		SHH	9749	Delphinapterus leucas	XM_022576607.2	XM_022576607.2		plus	136	1521	2	ENSDLET00000022460.1	NW_022098064.1	1	plus	2461434	2461877		plus	2461434	2470825	NW_022098064 Unplaced Scaffold Reference ASM228892v3 Primary Assembly	1556	transcript variant X1	XP_022432315.1	ENSDLEP00000020380.1	isoform X1	461				sonic hedgehog protein		PROTEIN_CODING_MODEL
beluga whale	sonic hedgehog signaling molecule	111176269	PROTEIN_CODING	2		SHH	9749	Delphinapterus leucas	XM_022576607.2	XM_022576607.2		plus	136	1521	2	ENSDLET00000022460.1	NW_022098064.1	2	plus	2467055	2467316		plus	2461434	2470825	NW_022098064 Unplaced Scaffold Reference ASM228892v3 Primary Assembly	1556	transcript variant X1	XP_022432315.1	ENSDLEP00000020380.1	isoform X1	461				sonic hedgehog protein		PROTEIN_CODING_MODEL
beluga whale	sonic hedgehog signaling molecule	111176269	PROTEIN_CODING	2		SHH	9749	Delphinapterus leucas	XM_022576607.2	XM_022576607.2		plus	136	1521	2	ENSDLET00000022460.1	NW_022098064.1	3	plus	2469976	2470825		plus	2461434	2470825	NW_022098064 Unplaced Scaffold Reference ASM228892v3 Primary Assembly	1556	transcript variant X1	XP_022432315.1	ENSDLEP00000020380.1	isoform X1	461				sonic hedgehog protein		PROTEIN_CODING_MODEL
pygmy chimpanzee	sonic hedgehog signaling molecule	100995872	PROTEIN_CODING	1		SHH	9597	Pan paniscus	XM_034965340.4	XM_034965340.4		plus	1542	2939	1	ENSPPAT00050015505.1	NC_073255.2	1	minus	192239068	192240917		minus	192227225	192240917	Chromosome 6 Reference NHGRI_mPanPan1-v2.1_pri Primary Assembly	5847		XP_034821231.1	ENSPPAP00050009598.1		465				sonic hedgehog protein		PROTEIN_CODING_MODEL
pygmy chimpanzee	sonic hedgehog signaling molecule	100995872	PROTEIN_CODING	1		SHH	9597	Pan paniscus	XM_034965340.4	XM_034965340.4		plus	1542	2939	1	ENSPPAT00050015505.1	NC_073255.2	2	minus	192233538	192233799		minus	192227225	192240917	Chromosome 6 Reference NHGRI_mPanPan1-v2.1_pri Primary Assembly	5847		XP_034821231.1	ENSPPAP00050009598.1		465				sonic hedgehog protein		PROTEIN_CODING_MODEL
pygmy chimpanzee	sonic hedgehog signaling molecule	100995872	PROTEIN_CODING	1		SHH	9597	Pan paniscus	XM_034965340.4	XM_034965340.4		plus	1542	2939	1	ENSPPAT00050015505.1	NC_073255.2	3	minus	192227225	192230959		minus	192227225	192240917	Chromosome 6 Reference NHGRI_mPanPan1-v2.1_pri Primary Assembly	5847		XP_034821231.1	ENSPPAP00050009598.1		465				sonic hedgehog protein		PROTEIN_CODING_MODEL
Rhesus monkey	sonic hedgehog signaling molecule	716553	PROTEIN_CODING	1		SHH	9544	Macaca mulatta	XM_001106515.5	XM_001106515.5		plus	333	1730	1		NC_133408.1	1	minus	195268882	195269522		minus	195257022	195269522	Chromosome 3 Reference T2T-MMU8v2.0	4692		XP_001106515.3			465				sonic hedgehog protein		PROTEIN_CODING_MODEL
Rhesus monkey	sonic hedgehog signaling molecule	716553	PROTEIN_CODING	1		SHH	9544	Macaca mulatta	XM_001106515.5	XM_001106515.5		plus	333	1730	1		NC_133408.1	2	minus	195263369	195263630		minus	195257022	195269522	Chromosome 3 Reference T2T-MMU8v2.0	4692		XP_001106515.3			465				sonic hedgehog protein		PROTEIN_CODING_MODEL
Rhesus monkey	sonic hedgehog signaling molecule	716553	PROTEIN_CODING	1		SHH	9544	Macaca mulatta	XM_001106515.5	XM_001106515.5		plus	333	1730	1		NC_133408.1	3	minus	195257022	195260810		minus	195257022	195269522	Chromosome 3 Reference T2T-MMU8v2.0	4692		XP_001106515.3			465				sonic hedgehog protein		PROTEIN_CODING_MODEL
chimpanzee	sonic hedgehog signaling molecule	743371	PROTEIN_CODING	1		SHH	9598	Pan troglodytes	XM_001147185.7	XM_001147185.7		plus	333	1730	1	ENSPTRT00045042433.1	NC_072404.2	1	minus	170854124	170854764		minus	170844125	170854764	Chromosome 6 Reference NHGRI_mPanTro3-v2.1_pri Primary Assembly	2793		XP_001147185.2	ENSPTRP00045024315.1		465				sonic hedgehog protein		PROTEIN_CODING_MODEL
chimpanzee	sonic hedgehog signaling molecule	743371	PROTEIN_CODING	1		SHH	9598	Pan troglodytes	XM_001147185.7	XM_001147185.7		plus	333	1730	1	ENSPTRT00045042433.1	NC_072404.2	2	minus	170848595	170848856		minus	170844125	170854764	Chromosome 6 Reference NHGRI_mPanTro3-v2.1_pri Primary Assembly	2793		XP_001147185.2	ENSPTRP00045024315.1		465				sonic hedgehog protein		PROTEIN_CODING_MODEL
chimpanzee	sonic hedgehog signaling molecule	743371	PROTEIN_CODING	1		SHH	9598	Pan troglodytes	XM_001147185.7	XM_001147185.7		plus	333	1730	1	ENSPTRT00045042433.1	NC_072404.2	3	minus	170844125	170846014		minus	170844125	170854764	Chromosome 6 Reference NHGRI_mPanTro3-v2.1_pri Primary Assembly	2793		XP_001147185.2	ENSPTRP00045024315.1		465				sonic hedgehog protein		PROTEIN_CODING_MODEL
giant panda	sonic hedgehog signaling molecule	100481788	PROTEIN_CODING	1		SHH	9646	Ailuropoda melanoleuca	XM_034650041.1	XM_034650041.1		plus	310	1428	1		NC_048218.1	1	minus	210086319	210086927		minus	210074203	210086927	Chromosome 1 Reference ASM200744v3 Primary Assembly	1428		XP_034505932.1			372				sonic hedgehog protein		PROTEIN_CODING_MODEL
giant panda	sonic hedgehog signaling molecule	100481788	PROTEIN_CODING	1		SHH	9646	Ailuropoda melanoleuca	XM_034650041.1	XM_034650041.1		plus	310	1428	1		NC_048218.1	2	minus	210080524	210080785		minus	210074203	210086927	Chromosome 1 Reference ASM200744v3 Primary Assembly	1428		XP_034505932.1			372				sonic hedgehog protein		PROTEIN_CODING_MODEL
giant panda	sonic hedgehog signaling molecule	100481788	PROTEIN_CODING	1		SHH	9646	Ailuropoda melanoleuca	XM_034650041.1	XM_034650041.1		plus	310	1428	1		NC_048218.1	3	minus	210077476	210077817		minus	210074203	210086927	Chromosome 1 Reference ASM200744v3 Primary Assembly	1428		XP_034505932.1			372				sonic hedgehog protein		PROTEIN_CODING_MODEL
giant panda	sonic hedgehog signaling molecule	100481788	PROTEIN_CODING	1		SHH	9646	Ailuropoda melanoleuca	XM_034650041.1	XM_034650041.1		plus	310	1428	1		NC_048218.1	4	minus	210074464	210074536		minus	210074203	210086927	Chromosome 1 Reference ASM200744v3 Primary Assembly	1428		XP_034505932.1			372				sonic hedgehog protein		PROTEIN_CODING_MODEL
giant panda	sonic hedgehog signaling molecule	100481788	PROTEIN_CODING	1		SHH	9646	Ailuropoda melanoleuca	XM_034650041.1	XM_034650041.1		plus	310	1428	1		NC_048218.1	5	minus	210074203	210074344		minus	210074203	210086927	Chromosome 1 Reference ASM200744v3 Primary Assembly	1428		XP_034505932.1			372				sonic hedgehog protein		PROTEIN_CODING_MODEL
