Pos	SampleShared	Sample	SampleL	StartPosition	EndPosition	MethylationPercentage	CountMethylated	CountNonMethylated	Chromosome	Coverage	Dage
1_40646927	20	16	7	40646927	40646927	92.85714286	13	1	1	14	1461.5
1_46196872	20	7	7	46196872	46196872	90.47619048	19	2	1	21	-1461.5
12_13642320	20	10	1	13642320	13642320	0	0	17	12	17	2373.5
13_12308321	20	7	7	12308321	12308321	90.32258065	28	3	13	31	-1461.5
13_3736564	20	15	6	3736564	3736564	7.407407407	2	25	13	27	1464
14_1386395	20	14	5	1386395	1386395	91.66666667	22	2	14	24	169.5
17_1070282	20	4	4	1070282	1070282	8.695652174	2	21	17	23	-293
17_188768	20	5	5	188768	188768	0	0	15	17	15	-169.5
19_9120563	3	17	8	9120563	9120563	100	1	0	19	1	1273.5
19_9120620	3	9	9	9120620	9120620	100	1	0	19	1	-920
19_9120637	3	9	9	9120637	9120637	100	1	0	19	1	-920
2_116468742	20	10	1	116468742	116468742	91.66666667	11	1	2	12	2373.5
2_117573387	20	10	1	117573387	117573387	100	12	0	2	12	2373.5
2_37020408	20	17	8	37020408	37020408	90.47619048	19	2	2	21	1273.5
2_49444503	20	11	2	49444503	49444503	92.30769231	24	2	2	26	1177.5
2_81870264	20	10	1	81870264	81870264	92.30769231	12	1	2	13	2373.5
2_8323783	20	8	8	8323783	8323783	91.30434783	21	2	2	23	-1273.5
21_11140665	20	10	1	11140665	11140665	100	11	0	21	11	2373.5
24_2749670	20	6	6	2749670	2749670	100	8	0	24	8	-1464
26_25563411	20	8	8	25563411	25563411	90.90909091	10	1	26	11	-1273.5
29_1566250	20	2	2	1566250	1566250	4.761904762	1	20	29	21	-1177.5
3_23119241	20	8	8	23119241	23119241	90.47619048	19	2	3	21	-1273.5
3_23189217	20	10	1	23189217	23189217	5.882352941	1	16	3	17	2373.5
3_30120006	20	17	8	30120006	30120006	6.666666667	1	14	3	15	1273.5
3_56600367	20	1	1	56600367	56600367	93.33333333	14	1	3	15	-2373.5
3_6066150	20	1	1	6066150	6066150	96.2962963	26	1	3	27	-2373.5
30_3287846	20	10	1	3287846	3287846	94.11764706	16	1	30	17	2373.5
4_11910560	20	10	1	11910560	11910560	100	6	0	4	6	2373.5
4_1463498	20	10	1	1463498	1463498	92.85714286	13	1	4	14	2373.5
4_33847442	20	10	1	33847442	33847442	94.44444444	17	1	4	18	2373.5
5_27392464	20	21	10	27392464	27392464	7.692307692	2	24	5	26	740.5
5_34748676	20	1	1	34748676	34748676	90.90909091	20	2	5	22	-2373.5
5_53016528	20	6	6	53016528	53016528	90.90909091	20	2	5	22	-1464
5_64310051	20	10	1	64310051	64310051	6.666666667	1	14	5	15	2373.5
5_66763149	20	10	1	66763149	66763149	91.66666667	11	1	5	12	2373.5
6_24592292	20	10	1	24592292	24592292	100	13	0	6	13	2373.5
6_47665223	20	10	1	47665223	47665223	91.66666667	11	1	6	12	2373.5
8_9171564	20	10	1	9171564	9171564	100	6	0	8	6	2373.5
9_21813423	20	13	4	21813423	21813423	8.695652174	2	21	9	23	293
9_6402177	6	16	7	6402177	6402177	0	0	1	9	1	1461.5
9_6402177	6	18	9	6402177	6402177	0	0	1	9	1	920
W_2504052	12	11	2	2504052	2504052	9.375	3	29	W	32	1177.5
W_4046418	12	10	1	4046418	4046418	9.090909091	2	20	W	22	2373.5
W_6344831	12	10	1	6344831	6344831	100	17	0	W	17	2373.5
Z_26974244	20	1	1	26974244	26974244	5	1	19	Z	20	-2373.5
Z_44462205	20	1	1	44462205	44462205	0	0	4	Z	4	-2373.5
Z_44465174	20	10	1	44465174	44465174	100	2	0	Z	2	2373.5
Z_58406842	20	6	6	58406842	58406842	90.90909091	10	1	Z	11	-1464
Z_60983727	20	10	1	60983727	60983727	0	0	6	Z	6	2373.5
Z_75974597	20	10	1	75974597	75974597	100	2	0	Z	2	2373.5
Z_75975270	20	10	1	75975270	75975270	0	0	3	Z	3	2373.5
Z_75975872	20	10	1	75975872	75975872	100	1	0	Z	1	2373.5
