metric	value
total_reads	40000
assigned_reads	9030
ambiguous_reads	30970
unassigned_reads	0
contig	count	percent_assigned	mean_mismatches
chr1	6282	69.568106	0.342566
chr2	995	11.018826	0.299497
chr3	1351	14.961240	0.287195
chr4	402	4.451827	0.308458
debug_read	length	classification	seeded_scores	brute_scores
1	36	ambiguous	0,0,0,0	0,0,0,0
2	36	chr1	0,3,19,3	0,3,6,3
3	36	ambiguous	0,0,0,0	0,0,0,0
4	36	chr1	0,3,3,-	0,3,3,6
5	36	ambiguous	0,0,0,0	0,0,0,0
6	36	chr1	0,7,5,-	0,7,5,7
7	36	ambiguous	0,0,0,0	0,0,0,0
8	36	chr2	6,0,3,3	6,0,3,3
9	36	ambiguous	0,0,0,0	0,0,0,0
10	36	ambiguous	0,0,0,0	0,0,0,0
11	36	ambiguous	1,1,1,1	1,1,1,1
12	36	ambiguous	0,0,0,0	0,0,0,0
13	36	ambiguous	0,0,0,0	0,0,0,0
14	36	ambiguous	2,2,2,2	2,2,2,2
15	36	ambiguous	0,0,0,0	0,0,0,0
16	36	chr3	23,3,0,3	6,3,0,3
17	36	ambiguous	0,0,0,0	0,0,0,0
18	36	ambiguous	0,0,0,0	0,0,0,0
19	36	ambiguous	1,1,1,1	1,1,1,1
20	36	ambiguous	0,0,0,0	0,0,0,0
