chrom	length	bases	mean	min	max
chr1	248956422	11850	0.00	0	3
chr1_region	248956422	11850	0.00	0	3
chr2	242193529	26100	0.00	0	3
chr2_region	242193529	26100	0.00	0	3
chr3	198295559	6900	0.00	0	2
chr3_region	198295559	6900	0.00	0	2
chr4	190214555	21000	0.00	0	5
chr4_region	190214555	21000	0.00	0	5
chr5	181538259	5700	0.00	0	2
chr5_region	181538259	5700	0.00	0	2
chr6	170805979	7950	0.00	0	3
chr6_region	170805979	7950	0.00	0	3
chr7	159345973	6450	0.00	0	2
chr7_region	159345973	6450	0.00	0	2
chr8	145138636	5400	0.00	0	2
chr8_region	145138636	5400	0.00	0	2
chr9	138394717	11550	0.00	0	3
chr9_region	138394717	11550	0.00	0	3
chr10	133797422	8550	0.00	0	4
chr10_region	133797422	8550	0.00	0	4
chr11	135086622	4350	0.00	0	1
chr11_region	135086622	4350	0.00	0	1
chr12	133275309	5400	0.00	0	3
chr12_region	133275309	5400	0.00	0	3
chr13	114364328	9000	0.00	0	3
chr13_region	114364328	9000	0.00	0	3
chr14	107043718	393300	0.00	0	5
chr14_region	107043718	393300	0.00	0	5
chr15	101991189	5550	0.00	0	3
chr15_region	101991189	5550	0.00	0	3
chr16	90338345	5550	0.00	0	2
chr16_region	90338345	5550	0.00	0	2
chr17	83257441	3150	0.00	0	2
chr17_region	83257441	3150	0.00	0	2
chr18	80373285	4050	0.00	0	1
chr18_region	80373285	4050	0.00	0	1
chr19	58617616	4800	0.00	0	3
chr19_region	58617616	4800	0.00	0	3
chr20	64444167	9000	0.00	0	4
chr20_region	64444167	9000	0.00	0	4
chr21	46709983	129900	0.00	0	7
chr21_region	46709983	129900	0.00	0	7
chr22	50818468	49123650	0.97	0	10
chr22_region	50818468	49123650	0.97	0	10
chrX	156040895	5250	0.00	0	3
chrX_region	156040895	5250	0.00	0	3
chrY	57227415	3900	0.00	0	2
chrY_region	57227415	3900	0.00	0	2
total	3088269832	49818300	0.02	0	10
total_region	3088269832	49818300	0.02	0	10
