rank	chrom	start	end	interval_sum	stats_sum
1	chr10	80000000	81000000	230598.39026038069	230598.3903009966
2	chr11	69000000	70000000	212350.41885266546	212350.41888705641
3	chr8	70000000	71000000	181167.60333280079	181167.60330061615
4	chr7	45000000	46000000	179235.46952145174	179235.46934482455
5	chr11	120000000	121000000	172705.78355243895	172705.78331012279
6	chr17	56000000	57000000	171058.21773859207	171058.21761018783
7	chr8	84000000	85000000	166883.67610370275	166883.67596601695
8	chr7	127000000	128000000	158695.91352779418	158695.91356295347
9	chr7	44000000	45000000	156991.4001492504	156991.40001700819
10	chr19	5000000	6000000	156730.41944565717	156730.41927618533
