section	key	value
unique	count	5713
unique	low_milli_cpm	13,26,39,52,66,79,92,105,118,131,144,157,170,184,197,210,223,236,249,262,275,288,302,315,328,341,354,367,380,393,406,420,433,446,459,472,485,498,511,524,538,551,564,577,590,603,616,629,642,656,669,682,695,708,721,734,747,760,774,787,800,813,826,839,852,865,878,892,905,918,931,944,957,970,983,996,1009,1023,1036,1049,1062,1075,1088,1101,1114,1127,1141,1154,1167,1180,1193,1206,1219,1232,1245,1259,1272,1285,1298,1311,1324,1337,1350,1363,1377,1390,1403,1416,1429,1442,1455,1468,1481,1495,1508,1521,1534,1547,1560,1573,1586,1599,1613,1626,1639,1652,1665,1678,1691,1704,1717,1731,1744,1757,1770,1783,1796,1809,1822,1835,1849,1862,1875,1888,1901,1914,1927,1940,1953,1967,1980,1993,2006,2019,2032,2045,2058,2071,2085,2098,2111,2124,2137,2150,2163,2176,2189,2203,2216,2229,2242,2255,2268,2281,2294,2307,2321,2334,2347,2360,2373,2386,2399,2412,2425,2439,2452,2465,2478,2491,2504,2517,2530,2543,2557,2570,2583,2596,2609,2622
step	p_milli_per_count	13.110	ok_first1000=846;err=154.000;N=76277650.648
step	p_milli_per_count	13.111	ok_first1000=653;err=347.000;N=76271832.812
step	p_milli_per_count	26.221	ok_first1000=452;err=6527.000;N=38137370.810
step	p_milli_per_count	26.220	ok_first1000=423;err=6532.000;N=38138825.324
step	p_milli_per_count	13.109	ok_first1000=380;err=655.000;N=76283469.372
step	p_milli_per_count	39.331	ok_first1000=330;err=8733.000;N=25425237.090
step	p_milli_per_count	26.222	ok_first1000=326;err=6539.000;N=38135916.406
step	p_milli_per_count	26.219	ok_first1000=298;err=6538.000;N=38140279.950
step	p_milli_per_count	13.112	ok_first1000=296;err=847.000;N=76266015.863
step	p_milli_per_count	19.665	ok_first1000=279;err=4428.000;N=50851767.099
step	p_milli_per_count	39.330	ok_first1000=279;err=8784.000;N=25425883.549
step	p_milli_per_count	19.666	ok_first1000=273;err=4434.000;N=50849181.328
step	p_milli_per_count	39.332	ok_first1000=273;err=8790.000;N=25424590.664
step	p_milli_per_count	52.441	ok_first1000=240;err=13026.000;N=19069049.027
step	p_milli_per_count	52.442	ok_first1000=228;err=13038.000;N=19068685.405
step	p_milli_per_count	39.329	ok_first1000=224;err=8839.000;N=25426530.041
step	p_milli_per_count	13.108	ok_first1000=216;err=1155.000;N=76289288.984
step	p_milli_per_count	10.488	ok_first1000=210;err=2605.000;N=95347063.310
step	p_milli_per_count	17.480	ok_first1000=210;err=4345.000;N=57208237.986
step	p_milli_per_count	26.223	ok_first1000=210;err=6540.000;N=38134462.113
step	p_milli_per_count	52.440	ok_first1000=210;err=13054.000;N=19069412.662
step	p_milli_per_count	39.333	ok_first1000=203;err=8860.000;N=25423944.271
step	p_milli_per_count	17.481	ok_first1000=196;err=4349.000;N=57204965.391
step	p_milli_per_count	52.443	ok_first1000=196;err=13057.000;N=19068321.797
step	p_milli_per_count	16.388	ok_first1000=191;err=3943.000;N=61020258.726
step	p_milli_per_count	32.776	ok_first1000=191;err=7863.000;N=30510129.363
step	p_milli_per_count	65.552	ok_first1000=191;err=15701.000;N=15255064.681
step	p_milli_per_count	65.551	ok_first1000=190;err=15702.000;N=15255297.402
step	p_milli_per_count	26.218	ok_first1000=189;err=6540.000;N=38141734.686
step	p_milli_per_count	13.113	ok_first1000=187;err=1347.000;N=76260199.802
step	p_milli_per_count	52.439	ok_first1000=179;err=13063.000;N=19069776.312
step	p_milli_per_count	19.667	ok_first1000=175;err=4533.000;N=50846595.820
step	p_milli_per_count	39.334	ok_first1000=175;err=8888.000;N=25423297.910
step	p_milli_per_count	10.728	ok_first1000=171;err=2631.000;N=93214019.389
step	p_milli_per_count	10.925	ok_first1000=171;err=2650.000;N=91533180.778
step	p_milli_per_count	21.850	ok_first1000=171;err=5272.000;N=45766590.389
step	p_milli_per_count	21.851	ok_first1000=170;err=5273.000;N=45764495.904
step	p_milli_per_count	65.553	ok_first1000=170;err=15724.000;N=15254831.968
step	p_milli_per_count	32.775	ok_first1000=169;err=7885.000;N=30511060.259
step	p_milli_per_count	65.550	ok_first1000=169;err=15723.000;N=15255530.130
step	p_milli_per_count	19.664	ok_first1000=167;err=4539.000;N=50854353.133
