	gene_ids
STAT1	STAT1
ISG15	ISG15
IFIT1	IFIT1
IFIT2	IFIT2
IFIT3	IFIT3
MX1	MX1
MX2	MX2
OAS1	OAS1
OAS2	OAS2
OAS3	OAS3
CXCL10	CXCL10
CXCL11	CXCL11
IRF7	IRF7
BST2	BST2
IFI6	IFI6
STAT2	STAT2
EIF2AK2	EIF2AK2
GBP1	GBP1
GBP2	GBP2
IDO1	IDO1
ZNF455	ZNF455
RPL28	RPL28
TRIM40	TRIM40
FGF5	FGF5
SOX15	SOX15
FGF14	FGF14
ZNF47	ZNF47
ZNF341	ZNF341
FGF2	FGF2
CD97	CD97
SLC2A4	SLC2A4
MMP14	MMP14
ZNF420	ZNF420
ZNF68	ZNF68
ATP38	ATP38
NEAT1	NEAT1
ZNF128	ZNF128
ZNF405	ZNF405
CD128	CD128
RPS21	RPS21
ZNF304	ZNF304
ZNF436	ZNF436
ZNF475	ZNF475
SOX3	SOX3
ZNF153	ZNF153
HOXB5	HOXB5
ATP49	ATP49
CD108	CD108
ZNF348	ZNF348
HOXC6	HOXC6
RPL9	RPL9
ZNF204	ZNF204
ZNF73	ZNF73
ZNF118	ZNF118
TRIM36	TRIM36
ZNF432	ZNF432
TRIM14	TRIM14
TRIM59	TRIM59
ZNF65	ZNF65
CD85	CD85
ZNF75	ZNF75
ZNF238	ZNF238
ZNF59	ZNF59
ZNF125	ZNF125
RPL24	RPL24
ZNF173	ZNF173
ZNF28	ZNF28
CXCL13	CXCL13
ZNF458	ZNF458
MMP11	MMP11
MMP22	MMP22
TRIM7	TRIM7
CD91	CD91
ZNF29	ZNF29
CCL23	CCL23
ZNF69	ZNF69
CD139	CD139
EGFR	EGFR
ZNF234	ZNF234
ZNF121	ZNF121
ZNF142	ZNF142
RPL22	RPL22
RPS3	RPS3
RPL13	RPL13
TRIM1	TRIM1
ZNF335	ZNF335
MAPK12	MAPK12
ZNF132	ZNF132
ZNF286	ZNF286
KRT39	KRT39
TRIM16	TRIM16
CCL20	CCL20
KRT31	KRT31
CCL17	CCL17
ZNF15	ZNF15
ZNF92	ZNF92
FGF10	FGF10
ZNF354	ZNF354
ZNF20	ZNF20
KRT7	KRT7
ATP42	ATP42
TRIM28	TRIM28
ATP1	ATP1
RPS27	RPS27
ZNF166	ZNF166
TRIM51	TRIM51
ZNF105	ZNF105
SLC2A8	SLC2A8
MAPK10	MAPK10
KRT32	KRT32
FGF8	FGF8
CD102	CD102
ZNF49	ZNF49
CD113	CD113
MAPK2	MAPK2
ZNF423	ZNF423
ZNF237	ZNF237
CD96	CD96
ZNF151	ZNF151
ZNF483	ZNF483
ZNF19	ZNF19
ZNF7	ZNF7
ZNF367	ZNF367
ATP33	ATP33
TRIM53	TRIM53
ZNF210	ZNF210
ZNF206	ZNF206
ZNF377	ZNF377
MAPK1	MAPK1
ZNF55	ZNF55
ZNF2	ZNF2
CD103	CD103
ZNF100	ZNF100
SOX18	SOX18
CD138	CD138
TRIM23	TRIM23
CD126	CD126
ZNF396	ZNF396
CD19	CD19
ZNF388	ZNF388
CD23	CD23
CD65	CD65
HOXA4	HOXA4
ZNF444	ZNF444
RPL30	RPL30
RPL10	RPL10
ZNF285	ZNF285
HOXC5	HOXC5
ZNF288	ZNF288
ZNF195	ZNF195
ZNF463	ZNF463
CD100	CD100
ZNF264	ZNF264
ZNF112	ZNF112
ZNF476	ZNF476
MMP8	MMP8
ZNF176	ZNF176
ZNF114	ZNF114
ZNF479	ZNF479
ZNF445	ZNF445
ZNF126	ZNF126
CD105	CD105
CD118	CD118
RPS20	RPS20
TRIM20	TRIM20
RPL21	RPL21
ZNF426	ZNF426
CXCL14	CXCL14
RPL20	RPL20
CD78	CD78
ZNF127	ZNF127
ZNF107	ZNF107
CCL9	CCL9
TRIM27	TRIM27
CD40	CD40
TRIM69	TRIM69
HOXB9	HOXB9
RPL8	RPL8
CD127	CD127
ZNF149	ZNF149
CD119	CD119
ATP48	ATP48
TRIM25	TRIM25
ZNF184	ZNF184
ATP23	ATP23
RPS23	RPS23
CD33	CD33
ZNF182	ZNF182
CD63	CD63
ATP3	ATP3
TRIM18	TRIM18
ZNF32	ZNF32
TRIM19	TRIM19
SLC1A7	SLC1A7
ZNF230	ZNF230
CD69	CD69
ZNF350	ZNF350
SLC1A2	SLC1A2
ZNF282	ZNF282
SOX4	SOX4
ZNF253	ZNF253
KRT14	KRT14
TRIM22	TRIM22
ZNF428	ZNF428
KRT5	KRT5
ZNF37	ZNF37
KRT36	KRT36
ZNF164	ZNF164
ZNF296	ZNF296
ZNF431	ZNF431
FGF6	FGF6
HOXC7	HOXC7
ZNF56	ZNF56
ZNF365	ZNF365
TRIM65	TRIM65
KRT8	KRT8
ZNF186	ZNF186
ZNF342	ZNF342
CXCL8	CXCL8
ZNF208	ZNF208
ZNF144	ZNF144
SOX1	SOX1
ZNF14	ZNF14
RPL31	RPL31
ZNF113	ZNF113
ZNF466	ZNF466
TRIM74	TRIM74
MMP21	MMP21
ZNF53	ZNF53
ZNF359	ZNF359
ZNF397	ZNF397
RPS13	RPS13
CD20	CD20
CCL11	CCL11
ZNF360	ZNF360
ZNF197	ZNF197
ZNF439	ZNF439
ZNF196	ZNF196
TP53	TP53
ZNF64	ZNF64
ZNF140	ZNF140
FGF15	FGF15
ZNF216	ZNF216
SOX12	SOX12
FGF18	FGF18
KRT3	KRT3
ZNF499	ZNF499
ZNF3	ZNF3
ZNF410	ZNF410
RPS16	RPS16
CD21	CD21
ZNF328	ZNF328
FGF3	FGF3
ZNF261	ZNF261
HOXA10	HOXA10
ZNF115	ZNF115
TRIM57	TRIM57
RPS15	RPS15
ZNF147	ZNF147
ZNF280	ZNF280
RPL34	RPL34
ZNF12	ZNF12
ZNF226	ZNF226
TRIM63	TRIM63
CCL22	CCL22
CD77	CD77
ZNF470	ZNF470
MAPK8	MAPK8
ZNF392	ZNF392
ZNF393	ZNF393
ZNF319	ZNF319
TRIM54	TRIM54
ZNF462	ZNF462
TRIM4	TRIM4
ZNF57	ZNF57
MMP13	MMP13
CCL21	CCL21
ATP47	ATP47
RPL15	RPL15
ZNF136	ZNF136
ZNF339	ZNF339
ZNF401	ZNF401
ZNF39	ZNF39
ATP8	ATP8
ATP18	ATP18
MMP23	MMP23
ZNF4	ZNF4
SOX22	SOX22
SLC2A6	SLC2A6
FGF1	FGF1
ZNF66	ZNF66
ZNF67	ZNF67
ZNF38	ZNF38
ZNF224	ZNF224
CD13	CD13
TRIM17	TRIM17
SLC2A1	SLC2A1
KRT34	KRT34
SOX17	SOX17
HOXC10	HOXC10
ZNF6	ZNF6
CXCL1	CXCL1
ZNF305	ZNF305
HOXC9	HOXC9
ZNF11	ZNF11
CD28	CD28
