chrom1	start1	end1	chrom2	start2	end2	cstart1	cstart2	c_label	c_size	count	la_exp.donut.value	la_exp.vertical.value	la_exp.horizontal.value	la_exp.lowleft.value	la_exp.donut.qval	la_exp.vertical.qval	la_exp.horizontal.qval	la_exp.lowleft.qval	loop_key
chr12	7220000	7225000	chr12	7370000	7375000	7217500.0	7372500.0	98	4	74	15.4237697469801	16.470897373228805	22.315451127757157	16.87831077488173	1.4183429336493068e-22	3.614223930043079e-17	1.7007371873965724e-12	2.3841447078376878e-17	7220000:7225000:7370000:7375000
chr12	7220000	7225000	chr12	7460000	7465000	7219375.0	7454375.0	99	8	111	15.603939613522645	18.841783818075122	23.595858644320284	13.736691498120662	5.054166132920563e-50	8.050644021072558e-41	1.540410985031151e-32	9.255866795626263e-50	7220000:7225000:7460000:7465000
chr12	7220000	7225000	chr12	7635000	7640000	7217500.0	7631666.666666666	100	6	79	9.675675087866068	13.9434799292819	13.949277725025404	10.273288806410877	5.809679590095268e-38	1.9148603014339173e-25	1.7521704865524512e-25	1.3924994001582576e-31	7220000:7225000:7635000:7640000
chr12	7370000	7375000	chr12	7460000	7465000	7373750.0	7454375.0	101	8	103	15.583313563647895	18.295360154745442	20.402393771586933	17.235577943824385	1.5055417193707606e-43	3.4810773320075924e-35	1.1468475420486045e-27	1.904544494047894e-35	7370000:7375000:7460000:7465000
chr12	7370000	7375000	chr12	7635000	7640000	7372500.0	7635000.0	102	2	39	7.167912075654183	10.374479560392961	8.765687156044546	8.879334771334609	3.206081176876648e-11	2.977045654811468e-06	1.7725019918842072e-08	9.954483131468862e-09	7370000:7375000:7635000:7640000
chr12	7460000	7465000	chr12	7635000	7640000	7460000.0	7635000.0	103	1	40	10.716749397364945	13.875270560360592	11.32688282718235	13.794594348373515	5.880682861015393e-07	0.00010863957775862896	1.0278104463518991e-06	7.998740089190853e-05	7460000:7465000:7635000:7640000
chr12	7675000	7680000	chr12	7805000	7810000	7660000.0	7806666.666666666	104	3	161	23.00258527769523	40.39318119483058	22.258091219097363	24.017493017901753	1.1988440969677515e-68	2.153917538867196e-32	3.742303558631751e-68	1.6775684280589226e-68	7675000:7680000:7805000:7810000
chr12	7715000	7720000	chr12	7805000	7810000	7715625.0	7797500.0	106	8	101	22.822216124440928	33.66353705438034	23.431586629295587	22.237189075720963	8.407023721591978e-27	1.1706104200393366e-13	1.693309313625647e-26	1.0116021204633224e-26	7715000:7720000:7805000:7810000
chr12	7795000	7800000	chr12	7905000	7910000	7795000.0	7905000.0	107	1	27	6.489763925409515	8.360146061626072	5.2639087877882265	6.0842433728305885	0.0001782479575851951	0.005034300384595925	1.1743263877642204e-05	6.286765275930384e-06	7795000:7800000:7905000:7910000
chr12	7850000	7860000	chr12	7990000	8000000	7853333.333333332	7993333.333333332	123	3	107	41.08264988497474	45.75668585022222	54.208254744545506	32.11503510518019	4.797439728766116e-10	7.036014291566863e-10	2.422620186310327e-05	1.0316340757868827e-15	7850000:7860000:7990000:8000000
chr12	7855000	7860000	chr12	7930000	7935000	7855833.333333332	7924166.666666666	108	6	59	20.790316597389964	21.013645985214108	33.925914466064825	20.2722907269796	1.0762837782596071e-06	1.4936106321327612e-06	0.05358986332513432	1.1216219980905956e-06	7855000:7860000:7930000:7935000
chr12	7930000	7935000	chr12	7995000	8000000	7925000.0	7993333.333333332	110	3	83	12.097117529096627	16.50049192733102	27.10924382766209	11.419829812889125	5.948753795479571e-35	2.748679866314234e-22	9.369103207252564e-12	1.010683560151698e-34	7930000:7935000:7995000:8000000
