bytes 902114
SHEET "Table Legend" xl/worksheets/sheet1.xml rows_preview 1
Table S4. Differentially expressed genes (avgLog2FC>0.25, p_val_adj<0.05) in wheat scRNA-seq, related to Figure 1
SHEET "Table S4" xl/worksheets/sheet2.xml rows_preview 12
Gene_ID	p_val	avg_log2FC	pct.1	pct.2	pct.1/pct.2	p_val_adj	cluster	annotation
TraesCS5B03G1052800	7.1875480997892405E-122	0.46464168184631399	0.82	0.51700000000000002	1.5860735009671201	5.1631751774835998E-117	0 - Unknown	[gene=LOC119312101] [db_xref=GeneID:119312101] [protein=dehydrin Rab15-like isoform X2] [protein_id=XP_037443734.1] [location=complement(join(618956313..618956576,618956656..618956844))] [gbkey=CDS]
TraesCS1B03G0069700	6.7007517098902204E-94	0.41175425884294098	0.88200000000000001	0.63300000000000001	1.3933649289099499	4.8134849907996402E-89	0 - Unknown	[gene=LOC119340483] [db_xref=GeneID:119340483] [protein=subtilisin-chymotrypsin inhibitor-2A-like] [protein_id=XP_037468606.1] [location=16370953..16371177] [gbkey=CDS]
TraesCS2B03G1501600	8.4145561382623901E-91	0.40517646095357401	0.84199999999999997	0.60199999999999998	1.39867109634551	6.0445964019207902E-86	0 - Unknown	[gene=LOC119366462] [db_xref=GeneID:119366462] [protein=4-hydroxy-7-methoxy-3-oxo-3,4-dihydro-2H-1,4-benzoxazin-2-yl glucoside beta-D-glucosidase 1b, chloroplastic] [protein_id=XP_037488099.1] [location=complement(join(805147782..805148013,805148133..805148238,805148574..805148676,805148915..805148949,805149059..805149392,805149496..805149754,805150088..805150175,805150268..805150339,805150483..805150558,805150749..805150807,805150901..805150970,805151138..805151413))] [gbkey=CDS]
TraesCS5A03G0948700	1.47595579163646E-76	0.34447526186415101	0.73599999999999999	0.48499999999999999	1.51752577319588	1.0602528429220501E-71	0 - Unknown	[gene=LOC119303228] [db_xref=GeneID:119303228] [protein=cytochrome P450 81Q32-like] [protein_id=XP_037436232.1] [location=join(599223149..599224084,599225389..599226003)] [gbkey=CDS]
TraesCS5A03G1006700	2.4228768750610499E-76	0.43461949917277398	0.54700000000000004	0.34799999999999998	1.5718390804597699	1.74047360320011E-71	0 - Unknown	[gene=LOC119298113] [db_xref=GeneID:119298113] [protein=dehydrin Rab15-like] [protein_id=XP_037431525.1] [location=complement(join(617453350..617453613,617453707..617453892))] [gbkey=CDS]
TraesCS3B03G0498100	3.8542605115936596E-71	0.25581049285581398	0.98799999999999999	0.876	1.1278538812785399	2.76870803850331E-66	0 - Unknown	[gene=LOC119275728] [db_xref=GeneID:119275728] [protein=late embryogenis abundant protein 41-like] [protein_id=XP_037412525.1] [location=complement(244410913..244411200)] [gbkey=CDS]
TraesCS4B03G0489300	3.7107706494559101E-69	0.29584867946078403	0.88600000000000001	0.68799999999999994	1.28779069767442	2.6656320960366599E-64	0 - Unknown	[gene=LOC119296278] [db_xref=GeneID:119296278] [protein=ricin B-like lectin R40C1] [protein_id=XP_037430575.1] [location=join(391936166..391936468,391936635..391937144,391937293..391937521,391937727..391937728)] [gbkey=CDS]
TraesCS3D03G0146400	5.0405629632802197E-61	0.29460558461174002	0.879	0.67300000000000004	1.3060921248142601	3.6208884046723399E-56	0 - Unknown	[gene=LOC119266974] [db_xref=GeneID:119266974] [protein=metallothionein-like protein 1] [protein_id=XP_037404155.1] [location=complement(join(45347059..45347224,45347568..45347632))] [gbkey=CDS]
TraesCS5B03G1052600	6.5320577713697495E-60	0.35216766011416301	0.39	0.20699999999999999	1.88405797101449	4.6923037000634599E-55	0 - Unknown	[gene=LOC119312101] [db_xref=GeneID:119312101] [protein=dehydrin Rab15-like isoform X2] [protein_id=XP_037443734.1] [location=complement(join(618956313..618956576,618956656..618956844))] [gbkey=CDS]
TraesCS1B03G0841700	2.6356251867118902E-59	0.32391877498030103	0.42499999999999999	0.23400000000000001	1.81623931623932	1.8933013528744901E-54	0 - Unknown	[gene=LOC119348552] [db_xref=GeneID:119348552] [protein=UPF0098 protein CPn_0877/CP_0992/CPj0877/CpB0906-like] [protein_id=XP_037472488.1] [location=complement(join(545656151..545656225,545656314..545656838))] [gbkey=CDS]
TraesCS3D03G0061500	1.1904018571910899E-58	0.36607272587200901	0.59899999999999998	0.38400000000000001	1.5598958333333299	8.5512517411321998E-54	0 - Unknown	[gene=LOC119266816] [db_xref=GeneID:119266816] [protein=Bowman-Birk type trypsin inhibitor-like isoform X1] [protein_id=XP_037403991.1] [location=complement(join(24761382..24761803,24761894..24762005))] [gbkey=CDS]
