Symbol	NCBI GeneID	Ensembl GeneIDs	OMIM IDs	Annotation Genomic Range Seq Name	Genomic Region Gene Range Start	Genomic Region Gene Range Stop	Description
SLC28A2	9153	ENSG00000137860	606208	15			solute carrier family 28 member 2
SLC28A2	9153	ENSG00000137860	606208	15			solute carrier family 28 member 2
DUOXA1	90527	ENSG00000140254	612771	15			dual oxidase maturation factor 1
DUOXA1	90527	ENSG00000140254	612771	15			dual oxidase maturation factor 1
COXFA4L3	84419	ENSG00000166920	608409	15			cytochrome c oxidase associated subunit FA4L3
COXFA4L3	84419	ENSG00000166920	608409	15			cytochrome c oxidase associated subunit FA4L3
SHF	90525	ENSG00000138606	617313	15			Src homology 2 domain containing F
SHF	90525	ENSG00000138606	617313	15			Src homology 2 domain containing F
BEND5	79656	ENSG00000162373	621198	1			BEN domain containing 5
BEND5	79656	ENSG00000162373	621198	1			BEN domain containing 5
TERB2	145645	ENSG00000167014	617131	15			telomere repeat binding bouquet formation protein 2
TERB2	145645	ENSG00000167014	617131	15			telomere repeat binding bouquet formation protein 2
SORD	6652	ENSG00000140263	182500	15			sorbitol dehydrogenase
SORD	6652	ENSG00000140263	182500	15			sorbitol dehydrogenase
SQOR	58472	ENSG00000137767	617658	15			sulfide quinone oxidoreductase
SQOR	58472	ENSG00000137767	617658	15			sulfide quinone oxidoreductase
