Common Name	Description	NCBI GeneID	Gene Type	Protein Count	RNA Type	Symbol	Taxonomic ID	Taxonomic Name	Transcript Accession	Transcript CDS Sequence Accession	Transcript CDS Order	Transcript CDS Orientation	Transcript CDS Start	Transcript CDS Stop	Transcript Count	Transcript Ensembl Transcript	Transcript Genomic Accession 	Transcript Genomic Exons Order	Transcript Genomic Exons Orientation	Transcript Genomic Exons Start	Transcript Genomic Exons Stop	Transcript Genomic Order	Transcript Genomic Orientation	Transcript Genomic Start	Transcript Genomic Stop	Transcript Genomic Seq Name	Transcript Transcript Length	Transcript Transcript Name	Transcript Protein Accession	Transcript Protein Ensembl Protein	Transcript Protein Isoform	Transcript Protein Length	Transcript Protein Mature Peptide Accession	Transcript Protein Mature Peptide Length	Transcript Protein Mature Peptide Name	Transcript Protein Name	Transcript Select Category	Transcript Type
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NM_000193.4	NM_000193.4		plus	342	1730	10	ENST00000297261.7	NC_000007.14	1	minus	155811823	155812463		minus	155799980	155812463	Chromosome 7 Reference GRCh38.p14 Primary Assembly	4650	transcript variant 1	NP_000184.1	ENSP00000297261.2	isoform 1 preproprotein	462				sonic hedgehog protein	MANE_SELECT	PROTEIN_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NM_000193.4	NM_000193.4		plus	342	1730	10	ENST00000297261.7	NC_000007.14	2	minus	155806296	155806557		minus	155799980	155812463	Chromosome 7 Reference GRCh38.p14 Primary Assembly	4650	transcript variant 1	NP_000184.1	ENSP00000297261.2	isoform 1 preproprotein	462				sonic hedgehog protein	MANE_SELECT	PROTEIN_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NM_000193.4	NM_000193.4		plus	342	1730	10	ENST00000297261.7	NC_000007.14	3	minus	155799980	155803726		minus	155799980	155812463	Chromosome 7 Reference GRCh38.p14 Primary Assembly	4650	transcript variant 1	NP_000184.1	ENSP00000297261.2	isoform 1 preproprotein	462				sonic hedgehog protein	MANE_SELECT	PROTEIN_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NM_000193.4	NM_000193.4		plus	342	1730	10	ENST00000297261.7	NC_060931.1	1	minus	156994967	156995607		minus	156983127	156995607	Chromosome 7 Alternate T2T-CHM13v2.0	4650	transcript variant 1	NP_000184.1	ENSP00000297261.2	isoform 1 preproprotein	462				sonic hedgehog protein	MANE_SELECT	PROTEIN_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NM_000193.4	NM_000193.4		plus	342	1730	10	ENST00000297261.7	NC_060931.1	2	minus	156989440	156989701		minus	156983127	156995607	Chromosome 7 Alternate T2T-CHM13v2.0	4650	transcript variant 1	NP_000184.1	ENSP00000297261.2	isoform 1 preproprotein	462				sonic hedgehog protein	MANE_SELECT	PROTEIN_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NM_000193.4	NM_000193.4		plus	342	1730	10	ENST00000297261.7	NC_060931.1	3	minus	156983127	156986870		minus	156983127	156995607	Chromosome 7 Alternate T2T-CHM13v2.0	4650	transcript variant 1	NP_000184.1	ENSP00000297261.2	isoform 1 preproprotein	462				sonic hedgehog protein	MANE_SELECT	PROTEIN_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NM_001310462.2	NM_001310462.2		plus	262	801	10	ENST00000430104.5	NC_000007.14	1	minus	155808993	155809163		minus	155799980	155809163	Chromosome 7 Reference GRCh38.p14 Primary Assembly	828	transcript variant 2	NP_001297391.1	ENSP00000396621.1	isoform 2	179				sonic hedgehog protein		PROTEIN_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NM_001310462.2	NM_001310462.2		plus	262	801	10	ENST00000430104.5	NC_000007.14	2	minus	155806711	155806839		minus	155799980	155809163	Chromosome 7 Reference GRCh38.p14 Primary Assembly	828	transcript variant 2	NP_001297391.1	ENSP00000396621.1	isoform 2	179				sonic hedgehog protein		PROTEIN_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NM_001310462.2	NM_001310462.2		plus	262	801	10	ENST00000430104.5	NC_000007.14	3	minus	155806296	155806557		minus	155799980	155809163	Chromosome 7 Reference GRCh38.p14 Primary Assembly	828	transcript variant 2	NP_001297391.1	ENSP00000396621.1	isoform 2	179				sonic hedgehog protein		PROTEIN_CODING
human	sonic hedgehog signaling molecule	6469	PROTEIN_CODING	8		SHH	9606	Homo sapiens	NM_001310462.2	NM_001310462.2		plus	262	801	10	ENST00000430104.5	NC_000007.14	4	minus	155799980	155800245		minus	155799980	155809163	Chromosome 7 Reference GRCh38.p14 Primary Assembly	828	transcript variant 2	NP_001297391.1	ENSP00000396621.1	isoform 2	179				sonic hedgehog protein		PROTEIN_CODING
