#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_184	16432476	14	N	N	1	*	*,184,*
contig_238	16353795	15	N	N	1	*	*,238,-678
contig_5	15652274	15	N	N	1	*	*,5
contig_4	12980503	14	N	N	1	*	*,4,-880,-880,-880
contig_17	12910881	14	N	N	1	*	*,17,*
contig_304	12843482	14	N	N	1	*	*,303,304,*
contig_25	12291796	15	N	N	1	*	25,968
contig_357	12264061	14	N	N	1	*	-968,357,*
contig_181	10962301	14	N	N	1	*	*,181,*
contig_325	10584352	15	N	N	1	*	-861,325
contig_323	10493284	15	N	N	1	*	*,323,861
contig_373	10115644	13	N	N	1	*	*,373,*
contig_186	10007263	14	N	N	1	*	*,186,367,*
contig_347	9965302	14	N	N	1	*	-976,347,-1068,*
contig_197	9892685	14	N	N	1	*	*,197,*
contig_195	9763496	14	N	N	1	*	*,195,976
contig_13	9425478	15	N	N	1	*	*,13
contig_21	9336207	14	N	N	1	*	*,21,971,*
contig_716	9239579	15	N	N	1	*	*,716
contig_706	8979801	15	N	N	1	*	706
contig_310	8932736	14	N	N	1	*	*,310
contig_178	8407559	15	N	N	1	*	780,178,-1048
contig_188	8398478	14	N	N	1	*	1048,188,*
contig_20	8371505	14	N	N	1	*	*,20,960
contig_318	8280809	15	N	N	1	*	*,318,960
contig_319	8105683	15	N	N	1	*	319,-977
contig_348	8035096	15	N	N	1	*	-1042,348,1063
contig_183	8027725	15	N	N	1	*	*,183
contig_864	8011480	15	N	N	1	*	*,864
contig_766	8009915	15	N	N	1	*	766,1063
contig_317	7966738	14	N	N	1	*	956,317,*
contig_316	7946422	15	N	N	1	*	956,316,-949,*
contig_705	7895808	15	N	N	1	*	*,705
contig_192	7823646	15	N	N	1	*	*,192
contig_190	7823234	15	N	N	1	*	*,190
contig_201	7693051	15	N	N	1	*	201,*
contig_416	7374902	14	N	N	1	*	1042,416,*
contig_202	7355294	15	N	N	1	*	202,-1055
contig_342	7332476	15	N	N	1	*	342,-1061
contig_343	7284818	15	N	N	1	*	343,-1061
contig_196	7173658	15	N	N	1	*	977,196,*
contig_809	6925168	14	N	N	1	*	*,809
contig_172	6892324	13	N	N	1	*	*,926,172,32,32,32,32,34,32,32,36,36,36,36,37,37,41,37,41,37,37,47,39,42,38,38,38,60,67,67,67,67,67,-66,53,31,54,31,44,44,31,31,31,31,32,32,31,32,32,32
contig_372	6875304	14	N	N	1	*	*,372,977
contig_19	6807564	13	N	N	1	*	*,19,*
contig_294	6797861	14	N	N	1	*	294,*
contig_15	6753089	14	N	N	1	*	*,15,977
contig_29	6717062	14	N	N	1	*	29,*
contig_28	6676938	14	N	N	1	*	28
contig_308	6674790	14	N	N	1	*	-953,308
contig_293	6489507	14	N	N	1	*	293,-949,*
contig_307	6485161	15	N	N	1	*	*,307,953
contig_292	6483968	14	N	N	1	*	292,*
contig_374	6332846	15	N	N	1	*	*,374,377,379,-378,377,379,-378,377,-379,-377,378,-379,-377
contig_159	6303338	15	N	N	1	*	*,159,922
contig_160	6283909	14	N	N	1	*	*,160,922
contig_820	6246944	15	N	N	1	*	*,820,1055
contig_432	6196709	15	N	N	1	*	*,432,1055
contig_193	5991625	13	N	N	1	*	*,-936,193,265,264
contig_175	5859097	14	N	N	1	*	-215,175,*
contig_10	5847762	15	N	N	1	*	914,10,11
contig_9	5839394	15	N	N	1	*	914,9,11
contig_174	5815611	15	N	N	1	*	*,926,174,215
contig_8	5661814	14	N	N	1	*	913,8,914
contig_737	5653082	15	N	N	1	*	*,-971,737,-1032
contig_320	5600354	15	N	N	1	*	320,*
contig_736	5593565	14	N	N	1	*	1032,736,*
contig_7	5552297	14	N	N	1	*	913,7,914
contig_767	5504706	15	N	N	1	*	-1057,767
contig_435	5483771	14	N	N	1	*	435,*
contig_682	5257302	14	N	N	1	*	-1060,682,-1046
contig_704	5189812	14	N	N	1	*	-1060,704
contig_26	4906928	14	N	N	1	*	26
contig_243	4842295	14	N	N	1	*	938,243
contig_383	4819019	13	N	N	1	*	383,*
contig_825	4612623	15	N	N	1	*	970,825
contig_824	4607849	15	N	N	1	*	970,824
contig_821	4511253	15	N	N	1	*	1055,821
contig_191	4328845	15	N	N	1	*	-678,191,-1042
contig_341	4131163	15	N	N	1	*	341
contig_321	3939799	14	N	N	1	*	*,321
contig_329	3884858	14	N	N	1	*	*,329
contig_849	3643753	15	N	N	1	*	922,849
contig_848	3599570	15	N	N	1	*	922,848
contig_420	3558525	13	N	N	1	*	417,420,*
contig_419	3473817	14	N	N	1	*	417,419,*
contig_915	3378201	15	N	N	1	*	915,*
contig_688	3302144	14	N	N	1	*	*,688
contig_12	3301404	14	N	N	1	*	12,-375,*
contig_387	3285410	14	N	N	1	*	1057,387,*
contig_822	3280587	14	N	N	1	*	1057,822,*
contig_3	3249323	14	N	N	1	*	*,3,*
contig_239	3231785	15	N	N	1	*	*,-936,239,*
contig_818	3163132	12	N	N	1	*	*,818,819
contig_823	3046253	15	N	N	1	*	*,823
contig_331	2993265	15	N	N	1	*	1063,331,*
contig_786	2927399	14	N	N	1	*	786,788
contig_360	2920658	15	N	N	1	*	969,360,970
contig_359	2911756	14	N	N	1	*	969,359,970
contig_353	2909293	14	N	N	1	*	353
contig_845	2884894	15	N	N	1	*	1063,845,*
contig_182	2798427	14	N	N	1	*	*,182,788
contig_385	2736026	12	N	N	1	*	819,385,*
contig_785	2727995	14	N	N	1	*	785,*
contig_802	2592484	15	N	N	1	*	*,802
contig_790	2506544	15	N	N	1	*	788,790,1048
contig_694	2391605	14	N	N	1	*	694,*
contig_693	2349845	14	N	N	1	*	*,693,*
contig_332	2320427	14	N	N	1	*	702,332,-678
contig_16	2281891	14	N	N	1	*	*,16,-702
contig_789	2274517	15	N	N	1	*	788,789
contig_939	2224111	15	N	N	1	*	938,939,*
contig_185	2049262	15	N	N	1	*	*,185
contig_209	2038344	15	N	N	1	*	209,211
contig_210	2009337	14	N	N	1	*	210,211
contig_368	1896017	14	N	N	1	*	*,368,*
contig_14	1836276	12	N	N	1	*	*,14,-968
contig_242	1698136	15	N	N	1	*	937,242,938
contig_241	1683685	14	N	N	1	*	937,241,938
contig_792	1616637	13	N	N	1	*	*,792,*
contig_350	1614545	15	N	N	1	*	349,350
contig_1056	1327765	15	N	N	1	*	1056
contig_674	1283189	15	N	N	1	*	674,1024
contig_334	1277364	13	N	N	1	*	*,334,*
contig_675	1263031	15	N	N	1	*	675,1024
contig_208	1258608	15	N	N	1	*	*,208,*
contig_884	1183750	16	N	N	1	*	884,1029
contig_899	1182400	14	N	N	1	*	899
contig_836	1176122	15	N	N	1	*	-1061,836,-780,-1046
contig_898	1169339	15	N	N	1	*	898
contig_699	1140444	15	N	N	1	*	1029,699
contig_869	1132896	14	N	N	1	*	869,-1028
contig_885	1130009	14	N	N	1	*	885,1029
contig_402	1127040	15	N	N	1	*	402
contig_27	1121860	14	N	N	1	*	27,1061
contig_870	1120883	15	N	N	1	*	870,-1028
contig_700	1110641	16	N	N	1	*	1029,700
contig_346	1108097	14	N	N	1	*	346
contig_382	1094037	14	N	N	1	*	382
contig_381	1082630	15	N	N	1	*	381
contig_392	1019463	30	N	N	2	*	392
contig_897	1012664	15	N	N	1	*	897
contig_808	1010934	12	N	N	1	*	808,*
contig_896	1003288	15	N	N	1	*	896
contig_351	987441	13	N	N	1	*	*,351,*
contig_173	977305	12	N	N	1	*	*,173,*
contig_798	975331	15	N	N	1	*	-1050,798,-1064
contig_684	954171	15	N	N	1	*	684,-953
contig_441	950702	14	N	N	1	*	-417,441,959
