key	value
gtf_url	https://ftp.ensembl.org/pub/current/gtf/danio_rerio/Danio_rerio.GRCz11.116.gtf.gz
fasta_url	https://ftp.ensembl.org/pub/current/fasta/danio_rerio/dna/Danio_rerio.GRCz11.dna.chromosome.7.fa.gz
fasta_header	7 dna:chromosome chromosome:GRCz11:7:1:74282399:1 REF
gene_name	shha
gene_id	ENSDARG00000068567
canonical_transcript_id	ENSDART00000149395
transcript_count	1
seq_region	7
strand	+
transcript_start	40884012
transcript_end	40893295
tss_1based	40884012
promoter_interval_1based_inclusive	7:40883512-40884112
promoter_length_bp	601
reverse_complemented	False
