# summary extracted from terminal Galaxy dataset
# normalized metric=Pearson(log1p(CPM)) across all genomic windows
top_pairs	sample_a	sample_b	correlation
top_pairs	Bladder	Limb	0.92773502
top_pairs	Bladder	Lung	0.91040323
top_pairs	Kidney	Limb	0.90944316
top_pairs	Limb	Lung	0.90874578
top_pairs	Gill	Lung	0.90612609
top_pairs	Bladder	Kidney	0.90562564
top_pairs	Gill	Limb	0.90260906
top_pairs	Intestine	Stomach	0.89547802
top_pairs	Brain	Limb	0.89525544
top_pairs	Cloaca	Intestine	0.89170819
top_pairs	Brain	Kidney	0.88439602
top_pairs	Bladder	Brain	0.88255481
top_pairs	Cloaca	Stomach	0.87899793
top_pairs	Cloaca	Lung	0.87633938
top_pairs	Limb	Pancreas	0.87507047
nearest	sample	best_match	correlation	second_best	second_correlation
nearest	Bladder	Limb	0.92773502	Lung	0.91040323
nearest	Brain	Limb	0.89525544	Kidney	0.88439602
nearest	Cloaca	Intestine	0.89170819	Stomach	0.87899793
nearest	GallBladder	Pancreas	0.82500059	Kidney	0.75334421
nearest	Gill	Lung	0.90612609	Limb	0.90260906
nearest	Heart	Lung	0.78617256	Bladder	0.75166237
nearest	Intestine	Stomach	0.89547802	Cloaca	0.89170819
nearest	Kidney	Limb	0.90944316	Bladder	0.90562564
nearest	Limb	Bladder	0.92773502	Kidney	0.90944316
nearest	Liver	Intestine	0.87208707	Pancreas	0.86567620
nearest	Lung	Bladder	0.91040323	Limb	0.90874578
nearest	Pancreas	Limb	0.87507047	Kidney	0.87007742
nearest	Prostate	Bladder	0.85482666	Lung	0.85215267
nearest	Spleen	Lung	0.86697816	Limb	0.86549198
nearest	Stomach	Intestine	0.89547802	Cloaca	0.87899793
top_specific	sample	chrom	start	end	raw_count	log1p_cpm	contrast
top_specific	Bladder	chr3p_1	101680000	101690000	4019	1.906441	1.183514
top_specific	Bladder	chr3p_1	99380000	99390000	3321	1.746431	1.077586
top_specific	Bladder	chr3p_1	108240000	108250000	2880	1.630309	1.068365
top_specific	Bladder	chr3p_1	96160000	96170000	2803	1.608575	1.004828
top_specific	Bladder	chr3q_2	28030000	28040000	1761	1.255705	1.003804
top_specific	Brain	chr3p_1	101680000	101690000	6319	1.857768	1.131364
top_specific	Brain	chr3p_1	108240000	108250000	4640	1.603842	1.040007
top_specific	Brain	chr5q_2	187020000	187030000	4217	1.528225	0.991756
top_specific	Brain	chr5q_2	187030000	187040000	3667	1.420492	0.988763
top_specific	Brain	chr3p_1	96160000	96170000	4443	1.569335	0.962785
top_specific	Cloaca	chr7p_1	142110000	142120000	5194	2.462268	2.071615
top_specific	Cloaca	chr12p	264480000	264490000	5098	2.445217	2.050823
top_specific	Cloaca	chr3q_2	147280000	147290000	6172	2.621188	1.992245
top_specific	Cloaca	chr5p_3	335250000	335260000	10940	3.161386	1.925845
top_specific	Cloaca	chr4p_2	108160000	108170000	4399	2.311429	1.906634
top_specific	GallBladder	chr4q_3	12090000	12100000	9631	2.891264	1.347371
top_specific	GallBladder	chr9q_2	494690000	494700000	10102	2.936419	1.207283
top_specific	GallBladder	chr4q_3	383410000	383420000	2143	1.565748	1.182224
top_specific	GallBladder	chr12q_1	4810000	4820000	15319	3.334546	1.107688
top_specific	GallBladder	chr4q_3	394450000	394460000	2829	1.791473	1.102259
top_specific	Gill	chr2q_3	181510000	181520000	16823	2.795802	2.116043
top_specific	Gill	chr3q_1	240630000	240640000	12613	2.527961	2.026614
top_specific	Gill	chr14p	30540000	30550000	12994	2.555377	2.009739
top_specific	Gill	chr1q_2	270250000	270260000	18062	2.862668	1.985133
top_specific	Gill	chr2q_2	417660000	417670000	12147	2.493373	1.976758
top_specific	Heart	chr3q_3	508700000	508710000	6237	2.101807	1.834444
top_specific	Heart	chr1p_3	221060000	221070000	5578	2.004476	1.694744
top_specific	Heart	chr5p_3	180020000	180030000	82467	4.563806	1.434708
top_specific	Heart	chr5q_2	244580000	244590000	5596	2.007264	1.401369
top_specific	Heart	chr6q_3	71170000	71180000	6536	2.143025	1.378234
top_specific	Intestine	chr2q_3	432370000	432380000	112510	5.086211	1.676819
top_specific	Intestine	chr6p_1	260340000	260350000	1567552	7.714685	1.658216
top_specific	Intestine	chr2p_1	59530000	59540000	1997723	7.957082	1.640462
top_specific	Intestine	chr7p_1	90540000	90550000	495673	6.564296	1.640147
top_specific	Intestine	chr5p_3	180030000	180040000	8420545	9.395482	1.620899
top_specific	Kidney	chr3p_1	343720000	343730000	5061	2.052558	1.279845
top_specific	Kidney	chr2p_3	367160000	367170000	6900	2.327693	1.138941
top_specific	Kidney	chr3p_1	96160000	96170000	3156	1.654950	1.054515
top_specific	Kidney	chr13q	476080000	476090000	4219	1.895895	1.031657
top_specific	Kidney	chr3p_1	108240000	108250000	2754	1.546212	0.978260
top_specific	Limb	chr3p_1	96160000	96170000	5853	1.808086	1.218589
top_specific	Limb	chr3p_1	101680000	101690000	6008	1.829984	1.101595
top_specific	Limb	chr1q_1	441860000	441870000	4747	1.636135	1.067919
top_specific	Limb	chr3p_1	99380000	99390000	5020	1.681406	1.007916
top_specific	Limb	chr13q	55750000	55760000	13372	2.537565	0.999687
top_specific	Liver	chr6p_1	267170000	267180000	11305	3.380377	2.863001
top_specific	Liver	chr6q_1	291870000	291880000	9313	3.193797	2.827902
top_specific	Liver	chr6q_1	291850000	291860000	5689	2.726712	2.441011
top_specific	Liver	chr6q_1	291810000	291820000	5579	2.708477	2.397197
top_specific	Liver	chr6q_1	291840000	291850000	5250	2.651863	2.329750
top_specific	Lung	chr3q_3	508700000	508710000	6336	2.106446	1.839414
top_specific	Lung	chr13q	475500000	475510000	5169	1.929976	1.576032
top_specific	Lung	chr2q_3	458050000	458060000	6685	2.153692	1.365691
top_specific	Lung	chr2p_2	186450000	186460000	6504	2.129468	1.311683
top_specific	Lung	chr13q	476080000	476090000	6115	2.075330	1.223909
top_specific	Pancreas	chr1q_2	46940000	46950000	56073	3.715748	2.604815
top_specific	Pancreas	chr12q_2	253100000	253110000	18653	2.662769	2.327037
top_specific	Pancreas	chr13p	222080000	222090000	15362	2.483492	2.233783
top_specific	Pancreas	chr12q_2	253090000	253100000	15608	2.498063	2.204129
top_specific	Pancreas	chr12q_2	252740000	252750000	16057	2.524121	2.196560
top_specific	Prostate	chr4p_1	43650000	43660000	20444	3.090727	2.723354
top_specific	Prostate	chr6q_4	383620000	383630000	18116	2.975659	2.654975
top_specific	Prostate	chr4p_1	43660000	43670000	17407	2.937811	2.634072
top_specific	Prostate	chr4p_1	43640000	43650000	17604	2.948472	2.615769
top_specific	Prostate	chr1p_3	166490000	166500000	17294	2.931645	2.615702
top_specific	Spleen	chr3p_1	99380000	99390000	4618	2.329837	1.702663
top_specific	Spleen	chr3p_1	101680000	101690000	4701	2.345931	1.654395
top_specific	Spleen	chr13q	478380000	478390000	4256	2.256448	1.488951
top_specific	Spleen	chr3p_1	108880000	108890000	5973	2.564801	1.383046
top_specific	Spleen	chr13q	36950000	36960000	2130	1.663655	1.375714
top_specific	Stomach	chr7q_1	128950000	128960000	7101	2.808177	2.309339
top_specific	Stomach	chr9q_2	314950000	314960000	4706	2.427013	2.064579
top_specific	Stomach	chr3p_1	344760000	344770000	4681	2.422158	2.028227
top_specific	Stomach	chr1q_3	14360000	14370000	3674	2.203956	1.885828
top_specific	Stomach	chr1q_3	14370000	14380000	3856	2.247083	1.869119
