Chromosome	Pos
1	1_40646927
1	1_46196872
12	12_13642320
13	13_12308321
13	13_3736564
14	14_1386395
17	17_1070282
17	17_188768
19	19_9120563
19	19_9120620
19	19_9120637
2	2_116468742
2	2_117573387
2	2_37020408
2	2_49444503
2	2_81870264
2	2_8323783
21	21_11140665
24	24_2749670
26	26_25563411
29	29_1566250
3	3_23119241
3	3_23189217
3	3_30120006
3	3_56600367
3	3_6066150
30	30_3287846
4	4_11910560
4	4_1463498
4	4_33847442
5	5_27392464
5	5_34748676
5	5_53016528
5	5_64310051
5	5_66763149
6	6_24592292
6	6_47665223
8	8_9171564
9	9_21813423
9	9_6402177
9	9_6402177
W	W_2504052
W	W_4046418
W	W_6344831
Z	Z_26974244
Z	Z_44462205
Z	Z_44465174
Z	Z_58406842
Z	Z_60983727
Z	Z_75974597
Z	Z_75975270
Z	Z_75975872
