15	45171593	45178260	15	45171593	45178260	ENST00000559566	0	-	45171878	45178260	0	4	409,172,207,96,	0,553,3625,6571,
15	45171845	45175269	15	45171845	45175269	ENST00000558685	0	-	45172002	45175269	0	4	233,172,141,51,	0,301,1730,3373,
15	45187089	45187966	15	45187089	45188818	ENST00000843836	0	+	45188818	45188818	0	2	209,704,	0,1025,
15	45167213	45167526	15	45152663	45167526	ENST00000558039	0	-	45167526	45167526	0	2	554,41,	0,14822,
15	45170343	45187966	15	45170343	45199958	ENST00000560034	0	+	45199958	45199958	0	2	191,101,	0,29514,
15	45167213	45187956	15	45167213	45187956	ENST00000560540	0	-	45171915	45187951	0	6	920,120,170,207,142,503,	0,4669,4935,8005,10951,20240,
15	45167213	45187966	15	45167213	45187966	ENST00000690270	0	-	45167946	45187951	0	7	920,120,172,141,207,142,513,	0,4669,4933,6362,8005,10951,20240,
15	45167213	45187966	15	45165571	45201175	ENST00000290894	0	-	45167946	45199074	0	8	2562,120,172,141,207,142,349,449,	0,6311,6575,8004,9647,12593,33200,35155,
15	45167213	45187952	15	45165571	45187952	ENST00000560734	0	-	45168107	45187951	0	4	2562,207,142,499,	0,9647,12593,21882,
15	45167213	45181207	15	45165571	45181207	ENST00000458022	0	-	45167946	45178198	0	6	2562,120,172,207,142,101,	0,6311,6575,9647,12593,15535,
15	45167833	45175326	15	45167833	45175326	ENST00000558294	0	-	45167946	45175326	0	3	300,196,108,	0,4049,7385,
15	45170207	45173658	15	45170207	45173658	ENST00000561239	0	-	45170326	45173658	0	4	275,73,172,83,	0,1722,1939,3368,
15	45170665	45187955	15	45170665	45187955	ENST00000560471	0	-	45171915	45187951	0	6	1337,170,141,207,142,502,	0,1483,2910,4553,7499,16788,
15	45174222	45187459	15	45174222	45187459	ENST00000561091	0	-	45187459	45187459	0	4	222,207,142,6,	0,996,3942,13231,
15	45175379	45187966	15	45175379	45201116	ENST00000561278	0	-	45175379	45178198	0	3	46,142,390,	0,2785,25347,
15	45167213	45187960	15	45165571	45187960	ENST00000995413	0	-	45168107	45187951	0	5	2562,120,207,142,507,	0,6311,9647,12593,21882,
15	45167213	45187966	15	45165571	45187981	ENST00001035344	0	-	45167946	45187951	0	6	2562,120,172,207,142,528,	0,6311,6575,9647,12593,21882,
15	45167213	45187966	15	45167212	45187981	ENST00001035345	0	-	45171915	45187951	0	7	921,120,170,141,207,142,528,	0,4670,4936,6363,8006,10952,20241,
15	45167213	45187964	15	45165571	45187964	ENST00001035346	0	-	45168107	45187951	0	5	2562,141,207,142,511,	0,8004,9647,12593,21882,
15	45170350	45187966	15	45170350	45187967	ENST00001035347	0	-	45170460	45187951	0	7	132,120,172,141,207,142,514,	0,1532,1796,3225,4868,7814,17103,
15	45170350	45187966	15	45170350	45187967	ENST00001035348	0	-	45171915	45187951	0	7	132,120,170,141,207,142,514,	0,1532,1798,3225,4868,7814,17103,
15	45170665	45187966	15	45170665	45187966	ENST00001035349	0	-	45171915	45187951	0	5	1337,170,207,142,513,	0,1483,4553,7499,16788,
15	45170348	45187966	15	45170348	45187967	ENST00001087127	0	-	45170460	45187951	0	6	134,120,172,207,142,514,	0,1534,1798,4870,7816,17105,
15	45170352	45187964	15	45170352	45187964	ENST00001087128	0	-	45171915	45187951	0	6	130,120,170,207,142,511,	0,1530,1796,4866,7812,17101,
15	45167213	45187966	15	45165571	45187966	ENST00001137716	0	-	45167946	45187951	0	7	2562,120,172,141,207,142,513,	0,6311,6575,8004,9647,12593,21882,
