index	reads	top_chrom	top_chrom_fraction	second_chrom	second_chrom_fraction	third_chrom_fraction	chrX_fraction	chrY_fraction	strand_10kb_l1_imbalance	top_10kb_fraction	top_100kb_fraction	top_1mb_fraction	gini_10kb	gini_100kb	gini_1mb
1	10000000	chr1	0.08891610	chr2	0.08543500	0.06672900	0.03190150	0.00015860	0.12183040	0.00048570	0.00050490	0.00132550	0.49186366	0.38370856	0.29161809
2	10000000	chr1	0.11183360	chr2	0.07287070	0.06759740	0.02581630	0.00132640	0.11036140	0.00177800	0.00220600	0.00271650	0.59422549	0.48722357	0.41067461
3	10000000	chr1	0.09493580	chr2	0.07148790	0.06220120	0.02001650	0.00090080	0.10786500	0.00034030	0.00041940	0.00238500	0.61431780	0.50931337	0.45019768
4	10000000	chr1	0.11873140	chr2	0.07655230	0.06905180	0.02722010	0.00014150	0.11129420	0.00075940	0.00105410	0.00308590	0.60178962	0.52353166	0.44798603
5	10000000	chr2	0.09896500	chr1	0.09605410	0.08393900	0.01760580	0.00007340	0.11670680	0.00413520	0.00584720	0.00597630	0.48901357	0.38051528	0.31359060
6	10000000	chr1	0.07934530	chr2	0.07450470	0.07269960	0.01745250	0.00004720	0.09642280	0.00304430	0.00333870	0.00361430	0.70515871	0.59508251	0.51100882
7	10000000	chr1	0.09390760	chr2	0.07038430	0.06151280	0.03894850	0.00004290	0.10413520	0.00145260	0.00148450	0.00261280	0.66517444	0.54043676	0.45083805
8	10000000	chr2	0.09492850	chr1	0.07583340	0.06009450	0.02839830	0.00112750	0.16041680	0.00005950	0.00029180	0.00152610	0.39233553	0.32585352	0.29908426
9	10000000	chr11	0.23810420	chr1	0.06518730	0.05965500	0.01824140	0.00004250	0.36260880	0.20591550	0.20592220	0.20599370	0.61810731	0.56714014	0.54077197
10	10000000	chr1	0.08825250	chr2	0.07987600	0.07110850	0.02236690	0.00003800	0.19220760	0.01413560	0.01414140	0.01422390	0.64349194	0.54090952	0.47762608
