feature	signal	control	note
annotation_primary_gene_count	78687		
annotation_primary_protein_coding_gene_count	20079		
total_valid_reads	999867	999878	
malformed_rows	0	0	
primary_chromosome_reads	997687	997862	
signal_mean_read_length	50		
signal_modal_read_length	50		
control_mean_read_length	51		
control_modal_read_length	51		
all_gene_promoter_fraction	84176	101873	signal_fraction=0.084187197;control_fraction=0.10188543;normalized_ratio=0.8262928
all_gene_body_core_fraction	674961	721912	signal_fraction=0.67505078;control_fraction=0.72200008;normalized_ratio=0.93497327
protein_coding_promoter_fraction	22307	36016	signal_fraction=0.022309967;control_fraction=0.036020394;normalized_ratio=0.61937043
protein_coding_gene_body_core_fraction	404126	493259	signal_fraction=0.40417976;control_fraction=0.49331918;normalized_ratio=0.81930679
signal_nearest_tss_window_fraction	0.084184196		
signal_nearest_tss_central_1kb_fraction	0.022845038		
signal_nearest_protein_coding_tss_window_fraction	0.022308967		
signal_nearest_protein_coding_tss_central_1kb_fraction	0.0055697408		
control_nearest_tss_window_fraction	0.10189643		
control_nearest_tss_central_1kb_fraction	0.030007661		
control_nearest_protein_coding_tss_window_fraction	0.036024395		
control_nearest_protein_coding_tss_central_1kb_fraction	0.010686304		
nearest_tss_window_normalized_signal_to_control	0.82617414		
nearest_protein_coding_tss_window_normalized_signal_to_control	0.61927389		
tss_profile_-2000_-1900	1946	2256	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_-2000_-1900	527	759	relative to nearest protein-coding gene TSS
tss_profile_-1900_-1800	1976	2205	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_-1900_-1800	517	710	relative to nearest protein-coding gene TSS
tss_profile_-1800_-1700	2082	2257	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_-1800_-1700	569	754	relative to nearest protein-coding gene TSS
tss_profile_-1700_-1600	1992	2231	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_-1700_-1600	544	695	relative to nearest protein-coding gene TSS
tss_profile_-1600_-1500	1947	2356	relative to nearest gene TSS; minus-strand genes reverse-oriented
protein_coding_tss_profile_-1600_-1500	532	755	relative to nearest protein-coding gene TSS
