feature	signal	control	note
total_valid_reads	999867	999878	
malformed_rows	0	0	
chromosome_count	99	83	
signal_mean_read_length	50		
signal_modal_read_length	50		count=999867
control_mean_read_length	51		
control_modal_read_length	51		count=999878
plus_strand_fraction	0.50004751	0.50005601	
minus_strand_fraction	0.49995249	0.49994399	
other_strand_fraction	0	0	
top_signal_chromosome_1	101789	103206	chr2
top_signal_chromosome_2	69842	67880	chr5
top_signal_chromosome_3	67198	75377	chr1
top_signal_chromosome_4	66817	67462	chr3
top_signal_chromosome_5	60965	59121	chr7
top_signal_chromosome_6	59576	55610	chr8
top_signal_chromosome_7	52119	54423	chr12
top_signal_chromosome_8	50933	50435	chr10
top_signal_chromosome_9	50815	48630	chr4
top_signal_chromosome_10	44118	46879	chr6
top_signal_chromosome_11	43878	44885	chr11
top_signal_chromosome_12	42456	43494	chr9
top_signal_chromosome_13	40580	33584	chrX
top_signal_chromosome_14	33476	23054	chr19
top_signal_chromosome_15	32872	36296	chr15
top_signal_chromosome_16	32724	41459	chr17
top_signal_chromosome_17	32633	32561	chr14
top_signal_chromosome_18	26980	27037	chr16
top_signal_chromosome_19	25863	26669	chr20
top_signal_chromosome_20	25000	24141	chr13
bin_1000000_occupied	3035	3017	
bin_1000000_entropy	7.9175212	7.9095341	
bin_1000000_effective_bins	2744.9584	2723.1213	
bin_1000000_normalized_entropy	0.98747245	0.98720869	
bin_1000000_gini	0.22670571	0.23612704	
bin_1000000_top_1pct_read_fraction	0.028924847	0.022748775	
bin_1000000_top_5pct_read_fraction	0.10079841	0.095087601	
bin_1000000_top_10pct_read_fraction	0.1774406	0.17469331	
bin_1000000_normalized_pearson	0.59737052		
bin_1000000_occupied_overlap	0.99275601		
bin_1000000_enriched_bins_ratio_ge_1.5	470		signal bins with >=5 reads; library-size normalized
bin_1000000_enriched_bin_fraction	0.15475798		
bin_1000000_enriched_signal_read_fraction	0.16621311		
bin_1000000_enriched_runs	269		
bin_1000000_longest_enriched_run_bins	9		
bin_1000000_longest_enriched_run_bp	9000000		
bin_1000000_top_signal_1	1962	558	chr19:37000000-38000000
bin_1000000_top_signal_2	1815	586	chr19:36000000-37000000
bin_1000000_top_signal_3	1718	384	chr19:57000000-58000000
bin_1000000_top_signal_4	1296	296	chr19:52000000-53000000
bin_1000000_top_signal_5	1115	586	chr19:44000000-45000000
bin_1000000_top_signal_6	1103	738	chr19:34000000-35000000
bin_1000000_top_signal_7	1063	325	chr19:53000000-54000000
bin_1000000_top_signal_8	1033	348	chr19:56000000-57000000
bin_1000000_top_signal_9	878	471	chr19:31000000-32000000
bin_1000000_top_signal_10	861	811	chr19:40000000-41000000
bin_50000_occupied	57807	57523	
bin_50000_entropy	10.830838	10.846564	
bin_50000_effective_bins	50556.035	51357.368	
bin_50000_normalized_entropy	0.98777663	0.98965538	
bin_50000_gini	0.28317207	0.26531855	
bin_50000_top_1pct_read_fraction	0.036872904	0.027472352	
bin_50000_top_5pct_read_fraction	0.12222026	0.10877927	
bin_50000_top_10pct_read_fraction	0.20938685	0.19479476	
bin_50000_normalized_pearson	0.23904525		
bin_50000_occupied_overlap	0.98342133		
bin_50000_enriched_bins_ratio_ge_1.5	13296		signal bins with >=5 reads; library-size normalized
bin_50000_enriched_bin_fraction	0.22866184		
bin_50000_enriched_signal_read_fraction	0.32225186		
bin_50000_enriched_runs	7136		
bin_50000_longest_enriched_run_bins	91		
bin_50000_longest_enriched_run_bp	4550000		
bin_50000_top_signal_1	191	20	chr20:31050000-31100000
bin_50000_top_signal_2	169	48	chr19:36500000-36550000
bin_50000_top_signal_3	167	90	chr16:34550000-34600000
bin_50000_top_signal_4	162	40	chr19:37200000-37250000
bin_50000_top_signal_5	148	38	chr19:40000000-40050000
bin_50000_top_signal_6	143	32	chr19:58250000-58300000
bin_50000_top_signal_7	142	39	chr19:36200000-36250000
bin_50000_top_signal_8	141	45	chr19:36650000-36700000
bin_50000_top_signal_9	137	113	chr16:46350000-46400000
bin_50000_top_signal_10	134	42	chr19:37350000-37400000
bin_10000_occupied	263891	266852	
bin_10000_entropy	12.279186	12.319719	
bin_10000_effective_bins	215170.41	224071.17	
bin_10000_normalized_entropy	0.98364968	0.98601535	
bin_10000_gini	0.3935731	0.36282438	
bin_10000_top_1pct_read_fraction	0.045570061	0.035536335	
bin_10000_top_5pct_read_fraction	0.15473958	0.13533951	
bin_10000_top_10pct_read_fraction	0.26026261	0.237724	
bin_10000_normalized_pearson	0.094853515		
bin_10000_occupied_overlap	0.87188485		
bin_10000_enriched_bins_ratio_ge_1.5	50007		signal bins with >=5 reads; library-size normalized
bin_10000_enriched_bin_fraction	0.17637038		
bin_10000_enriched_signal_read_fraction	0.36353435		
bin_10000_enriched_runs	34900		
bin_10000_longest_enriched_run_bins	96		
bin_10000_longest_enriched_run_bp	960000		
bin_10000_top_signal_1	111	57	chr16:34580000-34590000
bin_10000_top_signal_2	97	22	chrUn_KI270438v1:100000-110000
bin_10000_top_signal_3	93	10	chr20:31060000-31070000
bin_10000_top_signal_4	84	73	chr16:46390000-46400000
bin_10000_top_signal_5	73	11	chr17_KI270729v1_random:0-10000
bin_10000_top_signal_6	61	26	chrUn_KI270467v1:0-10000
bin_10000_top_signal_7	60	6	chr19:36230000-36240000
bin_10000_top_signal_8	53	40	chr16:46380000-46390000
bin_10000_top_signal_9	50	4	chr20:31050000-31060000
bin_10000_top_signal_10	49	9	chr19:34680000-34690000
