feature	signal	control	note
annotation_primary_gene_count	78687		
annotation_primary_protein_coding_gene_count	20079		
total_valid_reads	999867	999878	
malformed_rows	0	0	
primary_chromosome_reads	997687	997862	
signal_coordinate_order_ok	0		
control_coordinate_order_ok	0		
signal_mean_read_length	50		
signal_modal_read_length	50		
control_mean_read_length	51		
control_modal_read_length	51		
promoter_read_count	84176	101873	signal_fraction=0.084187197;control_fraction=0.10188543;normalized_ratio=0.8262928
core_read_count	674961	721912	signal_fraction=0.67505078;control_fraction=0.72200008;normalized_ratio=0.93497327
pc_promoter_read_count	22307	36016	signal_fraction=0.022309967;control_fraction=0.036020394;normalized_ratio=0.61937043
pc_core_read_count	404126	493259	signal_fraction=0.40417976;control_fraction=0.49331918;normalized_ratio=0.81930679
bin_1000000_occupied_signal	2959		
bin_1000000_occupied_control	2958		
bin_1000000_entropy_signal	7.9114207		
bin_1000000_entropy_control	7.9072465		
bin_1000000_pearson	0.55389084		
bin_1000000_top_1pct_signal	0.028280413		
bin_1000000_top_1pct_control	0.021444849		
bin_1000000_top_5pct_signal	0.098865676		
bin_1000000_top_5pct_control	0.092258248		
bin_1000000_top_10pct_signal	0.17395436		
bin_1000000_top_10pct_control	0.17018285		
bin_1000000_enriched_bins	422		
bin_1000000_enriched_bin_fraction	0.14256757		
bin_1000000_enriched_signal_read_fraction	0.16425185		
bin_1000000_enriched_runs	221		
bin_1000000_longest_enriched_run_bp	9000000		
bin_1000000_top_signal_1	1962	558	chr19:37000000-38000000
bin_1000000_top_signal_2	1815	586	chr19:36000000-37000000
bin_1000000_top_signal_3	1718	384	chr19:57000000-58000000
bin_1000000_top_signal_4	1296	296	chr19:52000000-53000000
bin_1000000_top_signal_5	1115	586	chr19:44000000-45000000
bin_1000000_top_signal_6	1103	738	chr19:34000000-35000000
bin_1000000_top_signal_7	1063	325	chr19:53000000-54000000
bin_1000000_top_signal_8	1033	348	chr19:56000000-57000000
bin_1000000_top_signal_9	878	471	chr19:31000000-32000000
bin_1000000_top_signal_10	861	811	chr19:40000000-41000000
bin_100000_occupied_signal	29047		
bin_100000_occupied_control	28935		
bin_100000_entropy_signal	10.162224		
bin_100000_entropy_control	10.175431		
bin_100000_pearson	0.35613306		
bin_100000_top_1pct_signal	0.034456698		
bin_100000_top_1pct_control	0.024351063		
bin_100000_top_5pct_signal	0.11494387		
bin_100000_top_5pct_control	0.10208025		
bin_100000_top_10pct_signal	0.1982295		
bin_100000_top_10pct_control	0.18542845		
bin_100000_enriched_bins	5932		
bin_100000_enriched_bin_fraction	0.20335264		
bin_100000_enriched_signal_read_fraction	0.27346537		
bin_100000_enriched_runs	2871		
bin_100000_longest_enriched_run_bp	4600000		
bin_100000_top_signal_1	279	95	chr19:40000000-40100000
bin_100000_top_signal_2	264	73	chr19:36500000-36600000
bin_100000_top_signal_3	263	70	chr19:36600000-36700000
bin_100000_top_signal_4	261	61	chr19:37400000-37500000
bin_100000_top_signal_5	246	50	chr19:58200000-58300000
bin_100000_top_signal_6	240	60	chr19:37600000-37700000
bin_100000_top_signal_7	239	59	chr19:36400000-36500000
bin_100000_top_signal_8	234	61	chr19:36700000-36800000
bin_100000_top_signal_9	227	35	chr12:133000000-133100000
bin_100000_top_signal_10	220	68	chr19:37300000-37400000
