feature	signal	control	note
annotation_primary_gene_count	78687		
annotation_primary_protein_coding_gene_count	20079		
total_valid_reads	44898157	27109157	
malformed_rows	0	0	
primary_chromosome_reads	44795356	27051753	
signal_coordinate_order_ok	0		
control_coordinate_order_ok	0		
signal_mean_read_length	50.477956		
signal_modal_read_length	51		
control_mean_read_length	51.000545		
control_modal_read_length	51		
promoter_read_count	3770188	2769722	signal_fraction=0.083971999;control_fraction=0.10216924;normalized_ratio=0.82189119
core_read_count	30340025	19578234	signal_fraction=0.67575212;control_fraction=0.72220003;normalized_ratio=0.93568554
pc_promoter_read_count	1010322	974234	signal_fraction=0.022502527;control_fraction=0.035937451;normalized_ratio=0.62615813
pc_core_read_count	18175827	13373037	signal_fraction=0.40482345;control_fraction=0.49330331;normalized_ratio=0.82063802
bin_1000000_occupied_signal	2960		
bin_1000000_occupied_control	2960		
bin_1000000_entropy_signal	7.91288		
bin_1000000_entropy_control	7.9093152		
bin_1000000_pearson	0.56441202		
bin_1000000_top_1pct_signal	0.02819386		
bin_1000000_top_1pct_control	0.021253003		
bin_1000000_top_5pct_signal	0.09822507		
bin_1000000_top_5pct_control	0.091442059		
bin_1000000_top_10pct_signal	0.17293514		
bin_1000000_top_10pct_control	0.16830207		
bin_1000000_enriched_bins	423		
bin_1000000_enriched_bin_fraction	0.14290541		
bin_1000000_enriched_signal_read_fraction	0.16016591		
bin_1000000_enriched_runs	207		
bin_1000000_longest_enriched_run_bp	9000000		
bin_1000000_top_signal_1	88906	16065	chr19:37000000-38000000
bin_1000000_top_signal_2	84015	15834	chr19:36000000-37000000
bin_1000000_top_signal_3	76051	10769	chr19:57000000-58000000
bin_1000000_top_signal_4	58980	8395	chr19:52000000-53000000
bin_1000000_top_signal_5	50835	15748	chr19:44000000-45000000
bin_1000000_top_signal_6	48356	9425	chr19:56000000-57000000
bin_1000000_top_signal_7	48035	19539	chr19:34000000-35000000
bin_1000000_top_signal_8	45547	9378	chr19:53000000-54000000
bin_1000000_top_signal_9	40474	18707	chr8:128000000-129000000
bin_1000000_top_signal_10	40188	6803	chr19:23000000-24000000
bin_100000_occupied_signal	29290		
bin_100000_occupied_control	29335		
bin_100000_entropy_signal	10.176575		
bin_100000_entropy_control	10.190187		
bin_100000_pearson	0.42779777		
bin_100000_top_1pct_signal	0.034008793		
bin_100000_top_1pct_control	0.023137539		
bin_100000_top_5pct_signal	0.11160418		
bin_100000_top_5pct_control	0.097771631		
bin_100000_top_10pct_signal	0.19201999		
bin_100000_top_10pct_control	0.17834012		
bin_100000_enriched_bins	5186		
bin_100000_enriched_bin_fraction	0.17668904		
bin_100000_enriched_signal_read_fraction	0.21820878		
bin_100000_enriched_runs	1313		
bin_100000_longest_enriched_run_bp	8000000		
bin_100000_top_signal_1	13109	2414	chr19:40000000-40100000
bin_100000_top_signal_2	12568	1769	chr19:36500000-36600000
bin_100000_top_signal_3	11800	1826	chr19:37400000-37500000
bin_100000_top_signal_4	11412	1753	chr19:36600000-36700000
bin_100000_top_signal_5	11192	1421	chr19:36700000-36800000
bin_100000_top_signal_6	10733	1619	chr19:37600000-37700000
bin_100000_top_signal_7	10561	1165	chr19:58200000-58300000
bin_100000_top_signal_8	10408	1641	chr19:36400000-36500000
bin_100000_top_signal_9	10096	1656	chr19:37300000-37400000
bin_100000_top_signal_10	9980	1776	chr19:37700000-37800000
