ENTREZID	ENSEMBL	SYMBOL	REFSEQ	EVIDENCE
9153	ENSG00000137860	SLC28A2	NM_004212	IBA
9153	ENSG00000137860	SLC28A2	NM_004212	IDA
9153	ENSG00000137860	SLC28A2	NM_004212	TAS
9153	ENSG00000137860	SLC28A2	NM_004212	ISS
9153	ENSG00000137860	SLC28A2	NM_004212	IEA
9153	ENSG00000137860	SLC28A2	NM_004212	NAS
9153	ENSG00000137860	SLC28A2	NP_004203	IBA
9153	ENSG00000137860	SLC28A2	NP_004203	IDA
9153	ENSG00000137860	SLC28A2	NP_004203	TAS
9153	ENSG00000137860	SLC28A2	NP_004203	ISS
9153	ENSG00000137860	SLC28A2	NP_004203	IEA
9153	ENSG00000137860	SLC28A2	NP_004203	NAS
