SYMBOL	ENSEMBL	REFSEQ	ENTREZID	EVIDENCE
TERB2	ENSG00000167014	NM_152448	145645	ISS
TERB2	ENSG00000167014	NM_152448	145645	IPI
TERB2	ENSG00000167014	NM_152448	145645	IBA
TERB2	ENSG00000167014	NM_152448	145645	IEA
TERB2	ENSG00000167014	NP_689661	145645	ISS
TERB2	ENSG00000167014	NP_689661	145645	IPI
TERB2	ENSG00000167014	NP_689661	145645	IBA
TERB2	ENSG00000167014	NP_689661	145645	IEA
TERB2	ENSG00000167014	XM_011521240	145645	ISS
TERB2	ENSG00000167014	XM_011521240	145645	IPI
TERB2	ENSG00000167014	XM_011521240	145645	IBA
TERB2	ENSG00000167014	XM_011521240	145645	IEA
TERB2	ENSG00000167014	XM_054377309	145645	ISS
TERB2	ENSG00000167014	XM_054377309	145645	IPI
TERB2	ENSG00000167014	XM_054377309	145645	IBA
TERB2	ENSG00000167014	XM_054377309	145645	IEA
TERB2	ENSG00000167014	XP_011519542	145645	ISS
TERB2	ENSG00000167014	XP_011519542	145645	IPI
TERB2	ENSG00000167014	XP_011519542	145645	IBA
TERB2	ENSG00000167014	XP_011519542	145645	IEA
TERB2	ENSG00000167014	XP_054233284	145645	ISS
TERB2	ENSG00000167014	XP_054233284	145645	IPI
TERB2	ENSG00000167014	XP_054233284	145645	IBA
TERB2	ENSG00000167014	XP_054233284	145645	IEA
BEND5	ENSG00000162373	NM_001302082	79656	IEA
BEND5	ENSG00000162373	NM_001302082	79656	IPI
BEND5	ENSG00000162373	NM_001302082	79656	IBA
BEND5	ENSG00000162373	NM_001302082	79656	IDA
BEND5	ENSG00000162373	NM_001349793	79656	IEA
BEND5	ENSG00000162373	NM_001349793	79656	IPI
BEND5	ENSG00000162373	NM_001349793	79656	IBA
BEND5	ENSG00000162373	NM_001349793	79656	IDA
BEND5	ENSG00000162373	NM_001349794	79656	IEA
BEND5	ENSG00000162373	NM_001349794	79656	IPI
BEND5	ENSG00000162373	NM_001349794	79656	IBA
BEND5	ENSG00000162373	NM_001349794	79656	IDA
BEND5	ENSG00000162373	NM_001349795	79656	IEA
BEND5	ENSG00000162373	NM_001349795	79656	IPI
BEND5	ENSG00000162373	NM_001349795	79656	IBA
BEND5	ENSG00000162373	NM_001349795	79656	IDA
BEND5	ENSG00000162373	NM_024603	79656	IEA
BEND5	ENSG00000162373	NM_024603	79656	IPI
BEND5	ENSG00000162373	NM_024603	79656	IBA
BEND5	ENSG00000162373	NM_024603	79656	IDA
BEND5	ENSG00000162373	NP_001289011	79656	IEA
BEND5	ENSG00000162373	NP_001289011	79656	IPI
BEND5	ENSG00000162373	NP_001289011	79656	IBA
BEND5	ENSG00000162373	NP_001289011	79656	IDA
BEND5	ENSG00000162373	NP_001336722	79656	IEA
BEND5	ENSG00000162373	NP_001336722	79656	IPI
BEND5	ENSG00000162373	NP_001336722	79656	IBA
BEND5	ENSG00000162373	NP_001336722	79656	IDA
BEND5	ENSG00000162373	NP_001336723	79656	IEA
BEND5	ENSG00000162373	NP_001336723	79656	IPI
BEND5	ENSG00000162373	NP_001336723	79656	IBA
BEND5	ENSG00000162373	NP_001336723	79656	IDA
BEND5	ENSG00000162373	NP_001336724	79656	IEA
BEND5	ENSG00000162373	NP_001336724	79656	IPI
BEND5	ENSG00000162373	NP_001336724	79656	IBA
BEND5	ENSG00000162373	NP_001336724	79656	IDA
BEND5	ENSG00000162373	NP_078879	79656	IEA
BEND5	ENSG00000162373	NP_078879	79656	IPI
BEND5	ENSG00000162373	NP_078879	79656	IBA
BEND5	ENSG00000162373	NP_078879	79656	IDA
BEND5	ENSG00000162373	NR_146232	79656	IEA
BEND5	ENSG00000162373	NR_146232	79656	IPI
BEND5	ENSG00000162373	NR_146232	79656	IBA
BEND5	ENSG00000162373	NR_146232	79656	IDA
BEND5	ENSG00000162373	XM_011542141	79656	IEA
BEND5	ENSG00000162373	XM_011542141	79656	IPI
BEND5	ENSG00000162373	XM_011542141	79656	IBA
BEND5	ENSG00000162373	XM_011542141	79656	IDA
BEND5	ENSG00000162373	XM_017002333	79656	IEA
BEND5	ENSG00000162373	XM_017002333	79656	IPI
BEND5	ENSG00000162373	XM_017002333	79656	IBA
BEND5	ENSG00000162373	XM_017002333	79656	IDA
BEND5	ENSG00000162373	XM_047430497	79656	IEA
BEND5	ENSG00000162373	XM_047430497	79656	IPI
BEND5	ENSG00000162373	XM_047430497	79656	IBA
BEND5	ENSG00000162373	XM_047430497	79656	IDA
BEND5	ENSG00000162373	XM_047430505	79656	IEA
BEND5	ENSG00000162373	XM_047430505	79656	IPI
BEND5	ENSG00000162373	XM_047430505	79656	IBA
BEND5	ENSG00000162373	XM_047430505	79656	IDA
BEND5	ENSG00000162373	XM_047430520	79656	IEA
BEND5	ENSG00000162373	XM_047430520	79656	IPI
BEND5	ENSG00000162373	XM_047430520	79656	IBA
BEND5	ENSG00000162373	XM_047430520	79656	IDA
BEND5	ENSG00000162373	XM_054338739	79656	IEA
BEND5	ENSG00000162373	XM_054338739	79656	IPI
BEND5	ENSG00000162373	XM_054338739	79656	IBA
BEND5	ENSG00000162373	XM_054338739	79656	IDA
BEND5	ENSG00000162373	XM_054338740	79656	IEA
BEND5	ENSG00000162373	XM_054338740	79656	IPI
BEND5	ENSG00000162373	XM_054338740	79656	IBA
BEND5	ENSG00000162373	XM_054338740	79656	IDA
BEND5	ENSG00000162373	XM_054338741	79656	IEA
BEND5	ENSG00000162373	XM_054338741	79656	IPI
BEND5	ENSG00000162373	XM_054338741	79656	IBA
BEND5	ENSG00000162373	XM_054338741	79656	IDA
BEND5	ENSG00000162373	XM_054338742	79656	IEA
BEND5	ENSG00000162373	XM_054338742	79656	IPI
BEND5	ENSG00000162373	XM_054338742	79656	IBA
BEND5	ENSG00000162373	XM_054338742	79656	IDA
BEND5	ENSG00000162373	XM_054338743	79656	IEA
BEND5	ENSG00000162373	XM_054338743	79656	IPI
BEND5	ENSG00000162373	XM_054338743	79656	IBA
BEND5	ENSG00000162373	XM_054338743	79656	IDA
BEND5	ENSG00000162373	XP_011540443	79656	IEA
BEND5	ENSG00000162373	XP_011540443	79656	IPI
BEND5	ENSG00000162373	XP_011540443	79656	IBA
BEND5	ENSG00000162373	XP_011540443	79656	IDA
BEND5	ENSG00000162373	XP_016857822	79656	IEA
BEND5	ENSG00000162373	XP_016857822	79656	IPI
BEND5	ENSG00000162373	XP_016857822	79656	IBA
BEND5	ENSG00000162373	XP_016857822	79656	IDA
BEND5	ENSG00000162373	XP_047286453	79656	IEA
BEND5	ENSG00000162373	XP_047286453	79656	IPI
BEND5	ENSG00000162373	XP_047286453	79656	IBA
BEND5	ENSG00000162373	XP_047286453	79656	IDA
BEND5	ENSG00000162373	XP_047286461	79656	IEA
BEND5	ENSG00000162373	XP_047286461	79656	IPI
BEND5	ENSG00000162373	XP_047286461	79656	IBA
BEND5	ENSG00000162373	XP_047286461	79656	IDA
BEND5	ENSG00000162373	XP_047286476	79656	IEA
BEND5	ENSG00000162373	XP_047286476	79656	IPI
BEND5	ENSG00000162373	XP_047286476	79656	IBA
BEND5	ENSG00000162373	XP_047286476	79656	IDA
BEND5	ENSG00000162373	XP_054194714	79656	IEA
BEND5	ENSG00000162373	XP_054194714	79656	IPI
BEND5	ENSG00000162373	XP_054194714	79656	IBA
BEND5	ENSG00000162373	XP_054194714	79656	IDA
BEND5	ENSG00000162373	XP_054194715	79656	IEA
BEND5	ENSG00000162373	XP_054194715	79656	IPI
BEND5	ENSG00000162373	XP_054194715	79656	IBA
BEND5	ENSG00000162373	XP_054194715	79656	IDA
BEND5	ENSG00000162373	XP_054194716	79656	IEA
BEND5	ENSG00000162373	XP_054194716	79656	IPI
BEND5	ENSG00000162373	XP_054194716	79656	IBA
BEND5	ENSG00000162373	XP_054194716	79656	IDA
BEND5	ENSG00000162373	XP_054194717	79656	IEA
BEND5	ENSG00000162373	XP_054194717	79656	IPI
BEND5	ENSG00000162373	XP_054194717	79656	IBA
BEND5	ENSG00000162373	XP_054194717	79656	IDA
BEND5	ENSG00000162373	XP_054194718	79656	IEA
BEND5	ENSG00000162373	XP_054194718	79656	IPI
BEND5	ENSG00000162373	XP_054194718	79656	IBA
BEND5	ENSG00000162373	XP_054194718	79656	IDA
