rank	candidate_count_l1_ge_0_50_min_reads_10	gene	l1_isoform_fraction_shift	max_isoform_fraction_shift	total_reads_A	total_reads_B	positive_isoforms_either	n_transcripts
1	1722	UBTF	2.000000	1.000000	22.001000	17.000000	5	18
2	1722	MPST	2.000000	1.000000	10.034000	6.000000	3	7
3	1722	STK40	2.000000	0.848667	15.000000	14.001000	5	8
4	1722	ARMC9	2.000000	0.800000	6.000000	5.000000	4	45
5	1722	TOX4	2.000000	0.759250	16.000000	19.001000	6	14
6	1722	MBNL1	2.000000	0.708712	96.000000	121.996000	9	24
7	1722	TMCO1	2.000000	0.703667	12.000000	16.000000	5	8
8	1722	BAP1	2.000000	0.617700	10.000000	15.000000	6	11
9	1722	CAST	2.000000	0.606475	40.000000	38.000000	8	59
10	1722	CCAR2	2.000000	0.598842	22.000000	25.905000	6	13
11	1722	DEFB110	2.000000	1.000000	198.000000	202.000000	2	2
12	1722	LYN	2.000000	1.000000	83.000000	78.000000	3	4
13	1722	RRM2	2.000000	1.000000	77.000000	90.000000	3	17
14	1722	DDB1	2.000000	1.000000	65.000000	80.000000	3	45
15	1722	HYOU1	2.000000	1.000000	65.000000	67.000000	2	29
16	1722	DDX6	2.000000	1.000000	63.000000	72.000000	2	7
17	1722	IARS1	2.000000	1.000000	63.000000	63.000000	4	42
18	1722	PTPN6	2.000000	1.000000	63.000000	64.000000	3	23
19	1722	PDIA4	2.000000	1.000000	61.000000	88.000000	3	4
20	1722	DDX21	2.000000	1.000000	82.000000	57.000000	2	12
21	1722	CCDC69	2.000000	1.000000	66.000000	55.000000	3	8
22	1722	UHMK1	2.000000	1.000000	52.000000	65.000000	3	4
23	1722	DYNC1H1	2.000000	1.000000	53.000000	49.000000	2	64
24	1722	TMEM30A	2.000000	1.000000	49.000000	50.000000	2	9
25	1722	TMEM131L	2.000000	1.000000	52.000000	46.000000	3	8
26	1722	RASSF2	2.000000	1.000000	48.000000	45.000000	2	3
27	1722	PJA2	2.000000	1.000000	47.000000	44.000000	3	4
28	1722	DHCR24	2.000000	1.000000	41.000000	51.000000	2	12
29	1722	RUNX3	2.000000	1.000000	41.000000	46.000000	3	5
30	1722	AARS1	2.000000	1.000000	45.000000	39.000000	3	42
31	1722	API5	2.000000	1.000000	40.000000	39.000000	3	11
32	1722	HK1	2.000000	1.000000	39.000000	41.000000	3	30
33	1722	PUM2	2.000000	1.000000	39.000000	44.000000	2	10
34	1722	FAM168B	2.000000	1.000000	37.000000	42.000000	2	2
35	1722	INPP5D	2.000000	1.000000	37.000000	43.000000	3	14
36	1722	YME1L1	2.000000	1.000000	52.000000	37.000000	2	8
37	1722	FAM120A	2.000000	1.000000	45.000000	35.000000	2	7
38	1722	MAP3K5	2.000000	1.000000	34.000000	39.000000	2	3
39	1722	MCM3	2.000000	1.000000	46.000000	34.000000	2	6
40	1722	MAGT1	2.000000	1.000000	36.000000	33.000000	3	13
41	1722	PSMD1	2.000000	1.000000	34.000000	33.000000	3	37
42	1722	P4HA1	2.000000	1.000000	32.000000	36.000000	2	6
43	1722	ZNFX1	2.000000	1.000000	32.000000	32.000000	3	6
44	1722	CNN2	2.000000	1.000000	31.000000	39.000000	2	12
45	1722	ERBIN	2.000000	1.000000	31.000000	37.000000	2	30
46	1722	FAM111B	2.000000	1.000000	31.000000	35.000000	3	6
47	1722	ITGB1	2.000000	1.000000	32.000000	31.000000	3	36
48	1722	STS	2.000000	1.000000	31.000000	34.000000	3	6
49	1722	USP22	2.000000	1.000000	31.000000	33.000000	2	11
50	1722	DDX46	2.000000	1.000000	30.000000	33.000000	3	12
