rank	candidate_count_chi2_ge_100_min_reads_50_l1_ge_0_5	gene	chi_square	l1_isoform_fraction_shift	max_isoform_fraction_shift	total_reads_A	total_reads_B	informative_isoforms	n_transcripts
1	59	RPL8	402.000000	2.000000	0.609825	213.000000	189.000000	6	14
2	59	DEFB110	400.000000	2.000000	1.000000	198.000000	202.000000	2	2
3	59	TFRC	329.767377	1.827710	0.913855	200.000000	185.000000	5	38
4	59	EEF1A1	314.544616	0.356424	0.155923	3432.862000	3429.000000	7	23
5	59	RPL15	282.789472	1.151601	0.289018	297.000000	273.000000	8	16
6	59	TPI1	262.701234	1.571052	0.785526	213.000000	198.000000	3	10
7	59	HUWE1	259.000000	2.000000	0.987970	127.000000	132.000000	5	19
8	59	ACTB	255.020036	0.204620	0.080922	2392.740000	2442.001000	8	23
9	59	IKZF2	243.000000	2.000000	0.977971	140.000000	103.000000	5	14
10	59	FLNA	235.000000	2.000000	0.956325	123.000000	112.000000	5	21
11	59	CSDE1	229.573921	1.386063	0.472596	183.000000	181.999000	6	53
12	59	STAT1	229.003614	0.781299	0.156063	354.000000	351.000000	11	41
13	59	HNRNPK	221.171530	1.102569	0.376938	197.000000	208.000000	8	34
14	59	MBNL1	217.996000	2.000000	0.708712	96.000000	121.996000	9	24
15	59	PABPC1	217.155929	0.766624	0.325319	365.000000	323.000000	7	39
16	59	GNAS	209.966000	1.717510	0.568730	139.000000	122.000000	8	77
17	59	RPL23A	193.276582	1.371585	0.685793	180.641000	193.735000	4	9
18	59	LDHA	188.948528	0.743733	0.206254	397.000000	385.001000	5	23
19	59	TRIP12	170.000000	2.000000	0.434885	78.000000	92.000000	10	30
20	59	RRM2	167.000000	2.000000	1.000000	77.000000	90.000000	3	17
21	59	LYN	161.000000	2.000000	1.000000	83.000000	78.000000	3	4
22	59	FNBP1	158.830699	0.978924	0.324242	222.000000	224.001000	7	13
23	59	COPA	157.001000	2.000000	0.904412	80.000000	77.001000	6	35
24	59	CALM2	152.615679	1.974505	0.987253	91.000000	64.000000	4	14
25	59	CHD4	149.000000	2.000000	0.694296	78.000000	71.000000	6	54
26	59	PDIA4	149.000000	2.000000	1.000000	61.000000	88.000000	3	4
27	59	TAP1	146.444000	2.000000	0.960231	69.928000	76.516000	4	11
28	59	DDB1	145.000000	2.000000	1.000000	65.000000	80.000000	3	45
29	59	HERPUD1	141.374664	1.793346	0.871987	80.000000	85.999000	5	19
30	59	HNRNPC	141.304973	1.172116	0.304507	142.000000	149.143000	11	32
31	59	PKM	139.000051	0.413079	0.180340	592.000000	591.000000	10	25
32	59	DDX21	139.000000	2.000000	1.000000	82.000000	57.000000	2	12
33	59	VDAC1	136.306004	1.664057	0.815839	90.000000	106.000000	4	7
34	59	DDX6	135.000000	2.000000	1.000000	63.000000	72.000000	2	7
35	59	RPL4	134.924260	0.423742	0.128897	539.001000	589.001000	8	17
36	59	HYOU1	132.000000	2.000000	1.000000	65.000000	67.000000	2	29
37	59	NCL	131.819092	0.782884	0.371028	222.999000	188.999000	8	24
38	59	NIN	131.000000	2.000000	0.817521	71.000000	60.000000	7	31
39	59	PTK2B	131.000000	2.000000	0.953661	69.000000	62.000000	6	17
40	59	RPS2	129.631778	0.405139	0.175751	330.474000	345.203000	7	17
41	59	LCP1	129.487332	0.402771	0.201385	679.000000	657.000000	3	8
42	59	MEF2C	128.999000	2.000000	0.732937	63.000000	65.999000	8	57
43	59	EIF4H	127.373350	1.717708	0.841101	74.000000	89.000000	5	14
44	59	PTPN6	127.000000	2.000000	1.000000	63.000000	64.000000	3	23
45	59	IARS1	126.000000	2.000000	1.000000	63.000000	63.000000	4	42
46	59	SF1	123.999000	2.000000	0.821268	56.000000	67.999000	7	24
47	59	CCDC69	121.000000	2.000000	1.000000	66.000000	55.000000	3	8
48	59	STK4	120.001000	2.000000	0.972758	66.000000	54.001000	7	17
49	59	UHMK1	117.000000	2.000000	1.000000	52.000000	65.000000	3	4
50	59	FUS	116.811349	1.865966	0.849288	56.001000	73.000000	6	15
51	59	PTPRC	115.000000	2.000000	0.823865	63.000000	52.000000	5	23
