rank	chrom	start	end	strand_code	motif	annotated	unique	multi	total	max_overhang	length
1	chr6	73519229	73519336	2	2	0	166	3	169	53	108
2	chrX	12975169	12976245	1	1	0	160	0	160	50	1077
3	chr12	6536594	6536683	1	1	0	117	0	117	53	90
4	chr7	5528186	5528280	2	2	0	107	1	108	53	95
5	chr7	5527892	5528003	2	2	0	94	0	94	53	112
6	chr5	150404768	150405084	2	2	0	89	0	89	53	317
7	chr5	150406322	150406880	2	2	0	84	0	84	53	559
8	chr5	150402626	150404679	2	2	0	83	0	83	52	2054
9	chr12	6537391	6537583	1	1	0	79	0	79	53	193
10	chr2	88857684	88860885	2	2	0	76	3	79	42	3202
11	chr7	5528720	5529160	2	2	0	76	0	76	53	441
12	chr13	45339603	45339993	2	2	0	74	0	74	53	391
13	chr5	150407325	150412624	2	2	0	74	0	74	53	5300
14	chr12	6537997	6538100	1	1	0	71	0	71	53	104
15	chr12	6537217	6537308	1	1	0	70	2	72	53	92
16	chr12	6536791	6536919	1	1	0	70	0	70	53	129
17	chr12	6534862	6536493	1	1	0	67	0	67	53	1632
18	chr13	45337389	45338659	2	2	0	66	0	66	51	1271
19	chr9	19378919	19379486	2	2	0	64	0	64	53	568
20	chr2	101002809	101004157	1	1	0	63	1	64	53	1349
21	chrX	72275725	72276156	2	2	0	63	1	64	52	432
22	chr5	150402251	150402562	2	2	0	62	0	62	52	312
23	chr19	41860846	41861111	1	1	0	60	1	61	52	266
24	chr13	45338777	45339496	2	2	0	60	0	60	53	720
25	chr2	89040520	89040643	2	2	0	58	48	106	53	124
26	chr8	56073273	56073694	2	2	0	58	2	60	53	422
27	chr12	6537011	6537100	1	1	0	58	0	58	53	90
28	chr5	150406961	150407151	2	2	0	58	0	58	53	191
29	chr7	5529664	5530523	2	2	0	58	0	58	53	860
30	chr4	70657292	70662091	2	2	0	58	0	58	53	4800
31	chr5	40834266	40834470	2	2	0	57	1	58	52	205
32	chr13	45340786	45341041	2	2	0	57	0	57	51	256
33	chr5	150446964	150447584	2	2	0	57	0	57	51	621
34	chr15	69453021	69453646	1	1	0	56	3	59	52	626
35	chr19	41861213	41869030	1	1	0	56	0	56	53	7818
36	chrX	72272773	72273231	2	2	0	55	0	55	52	459
37	chrX	12976362	12976776	1	1	0	54	81	135	53	415
38	chrX	72273390	72273800	2	2	0	54	0	54	52	411
39	chr2	88857684	88861220	2	2	0	53	0	53	38	3537
40	chr6	73518265	73518353	2	2	0	51	76	127	53	89
41	chrX	72275151	72275543	2	2	0	51	0	51	53	393
42	chr19	49497326	49497519	1	1	0	51	0	51	48	194
43	chr14	49586050	49586284	2	2	0	49	0	49	53	235
44	chrX	72273973	72275052	2	2	0	49	0	49	53	1080
45	chr15	66500177	66500292	2	2	0	48	2	50	53	116
46	chr1	44778130	44778575	1	1	0	48	0	48	53	446
47	chr19	49490298	49490474	1	1	0	47	2	49	53	177
48	chr17	38852733	38853021	2	2	0	47	0	47	53	289
49	chr2	216499399	216499948	1	1	0	46	0	46	53	550
50	chr17	4946821	4948262	2	2	0	46	0	46	52	1442
51	chr5	150405181	150406258	2	2	0	46	0	46	50	1078
52	chr6	132816564	132816959	1	1	0	45	2	47	53	396
53	chr8	98045089	98045346	2	2	0	45	1	46	53	258
54	chr9	19376389	19376493	2	2	0	45	0	45	53	105
55	chr4	70656540	70657210	2	2	0	45	0	45	53	671
56	chr13	45340185	45340711	2	2	0	45	0	45	49	527
57	chr15	66499653	66500055	2	2	0	44	2	46	53	403
58	chr12	120196935	120197321	2	2	0	44	1	45	53	387
59	chr15	66503165	66503357	2	2	0	44	0	44	53	193
60	chr11	75400825	75401639	1	1	0	44	0	44	53	815
61	chr17	38850476	38852603	2	2	0	44	0	44	53	2128
62	chr16	18788143	18788980	2	2	0	43	5	48	53	838
63	chr3	12839531	12840141	2	2	0	43	0	43	53	611
64	chr11	17075624	17077167	2	2	0	43	0	43	53	1544
65	chr9	111661716	111664536	1	1	0	43	0	43	52	2821
66	chr6	73518611	73518697	2	2	0	42	57	99	53	87
67	chr7	5529401	5529534	2	2	0	42	0	42	53	134
68	chr1	44777790	44777999	1	1	0	42	0	42	53	210
69	chr2	84906118	84906388	1	1	0	42	0	42	53	271
70	chr22	39317630	39318399	2	2	0	42	0	42	44	770
71	chr1	44776775	44777613	1	1	0	41	0	41	53	839
72	chr15	69453722	69455169	1	1	0	40	16	56	53	1448
73	chr12	120199206	120199309	2	2	0	40	2	42	53	104
74	chr17	42998832	42999932	1	1	0	40	1	41	53	1101
75	chr17	81510834	81510926	2	2	0	40	0	40	53	93
76	chr17	39203110	39204076	1	1	0	40	0	40	53	967
77	chr1	23692760	23693806	1	1	0	40	0	40	51	1047
78	chr17	39202440	39202988	1	1	0	39	0	39	53	549
79	chr1	23694792	23695797	1	1	0	39	0	39	53	1006
80	chr2	216500032	216501340	1	1	0	39	0	39	53	1309
81	chr17	81512143	81512231	2	2	0	39	0	39	52	89
82	chr19	55386439	55386569	1	1	0	39	0	39	50	131
83	chr17	74204191	74209186	1	1	0	38	0	38	53	4996
84	chr8	56073769	56074059	2	2	0	38	0	38	52	291
85	chr15	69455288	69455427	1	1	0	38	0	38	51	140
86	chr11	810358	811596	1	1	0	38	0	38	50	1239
87	chr8	98042776	98044942	2	2	0	37	0	37	53	2167
88	chr11	62567011	62567398	2	2	0	37	0	37	52	388
89	chr4	70662216	70666426	2	2	0	37	0	37	52	4211
90	chr16	1962657	1962735	2	2	0	37	0	37	51	79
91	chr19	18573404	18573661	1	1	0	37	0	37	50	258
92	chr1	8863344	8863890	2	2	0	36	0	36	53	547
93	chr9	111664590	111666814	1	1	0	36	0	36	53	2225
94	chr1	23693914	23694659	1	1	0	36	0	36	52	746
95	chr11	811646	812534	1	1	0	36	0	36	51	889
96	chr9	19378515	19378707	2	2	0	36	0	36	50	193
97	chr1	8864093	8865284	2	2	0	36	0	36	50	1192
98	chr9	19376652	19378367	2	2	0	35	28	63	47	1716
99	chr14	49583676	49585949	2	2	0	35	1	36	53	2274
100	chrX	154399942	154400463	1	1	0	35	0	35	52	522
101	chr1	8865483	8866278	2	2	0	35	0	35	52	796
102	chr1	92833459	92833544	1	1	0	34	1	35	52	86
103	chr1	8871987	8874823	2	2	0	34	0	34	53	2837
104	chr5	82276256	82276397	2	2	0	34	0	34	52	142
