expected_celltype	gene	chrom	tss	AIIamacrine_logCPM	Astrocyte_logCPM	Cone_logCPM	GABAamacrine_logCPM	Horizontal_logCPM	Microglia_logCPM	Mullerglia_logCPM	Retinalganglioncell_logCPM	Rod_logCPM	best_observed_label
AIIamacrine	GRIK1	chr21	29939996	2.070344	1.399723	1.781315	2.414559	2.053485	1.836191	1.396346	2.807025	1.258368	Retinalganglioncell
AIIamacrine	GRIK2	chr6	101393708	4.391374	1.863184	2.297133	3.720381	2.150033	2.435592	1.718562	3.996204	2.089421	AIIamacrine
AIIamacrine	SLC6A9	chr1	44031462	5.204721	5.112307	5.572883	4.673920	4.672555	5.064616	5.136621	4.463027	5.820496	Rod
AIIamacrine	GLRA1	chr5	151924851	3.348385	2.344476	2.053742	3.361276	2.757438	2.322034	1.819659	3.782425	2.004517	Retinalganglioncell
AIIamacrine	PROX1	chr1	213987973	4.955238	4.273535	2.550798	3.697209	4.840262	3.927565	4.422992	3.963298	1.717871	AIIamacrine
AIIamacrine	DSCAML1	chr11	117797216	4.895128	4.539934	5.098634	4.373805	4.200299	4.819183	4.445116	4.087289	5.674318	Rod
AIIamacrine	NXPH1	chr7	8433609	2.347751	1.903569	2.319726	2.913708	2.217640	2.014741	1.728015	2.492172	1.994366	GABAamacrine
Astrocyte	GFAP	chr17	44915500	4.500302	5.117093	4.591242	4.184720	4.479220	4.408833	4.696999	4.111748	4.811524	Astrocyte
Astrocyte	AQP4	chr18	26865707	2.490489	3.927793	1.287517	2.205813	1.968918	2.722857	3.690622	2.480291	1.684785	Astrocyte
Astrocyte	ALDH1L1	chr3	126180586	2.855870	4.145415	1.606897	2.141278	2.037134	3.106184	4.107618	2.549546	1.426791	Astrocyte
Astrocyte	SLC1A2	chr11	35419558	4.121607	4.302706	4.722955	4.340572	3.668935	4.120233	4.093228	4.196157	5.178278	Rod
Astrocyte	GJA1	chr6	121435646	1.700660	3.281952	1.724034	2.382656	1.685113	2.030961	1.614550	2.060814	1.523549	Astrocyte
Astrocyte	ACSBG1	chr15	78234565	2.870340	3.645786	2.596482	2.704042	2.790962	2.527819	2.676093	3.052887	2.661247	Astrocyte
Astrocyte	S100B	chr21	46605082	1.933513	3.390533	2.241611	2.670952	2.396722	3.072690	2.552037	2.774906	2.148115	Astrocyte
Cone	ARR3	chrX	70268334	2.161930	2.486675	4.357220	2.051671	2.200287	2.446270	2.307281	2.113919	2.208083	Cone
Cone	GNAT2	chr1	109619616	4.185303	3.925175	5.341945	4.337046	4.234759	4.353618	4.114391	3.963298	3.900067	Cone
Cone	PDE6C	chr10	93612537	2.218636	2.084138	4.479657	2.339339	2.376381	2.345801	1.614550	2.102360	2.296300	Cone
Cone	PDE6H	chr12	14973042	2.903309	2.292197	4.480593	3.003402	2.337470	3.443196	2.704135	2.414428	2.805562	Cone
Cone	GUCA1C	chr3	108953879	2.190685	1.366421	4.138856	2.484515	1.758534	1.666130	1.472064	2.681675	2.796602	Cone
Cone	GNGT2	chr17	49210574	4.306247	4.367073	5.274981	4.255384	4.174381	4.844596	4.525814	4.481505	4.709290	Cone
Cone	CNGA3	chr2	98346456	2.504394	2.278689	4.363553	2.682104	2.447203	2.309936	1.982505	2.484267	2.496526	Cone
Cone	OPN1SW	chr7	128775794	3.497077	3.455482	3.653802	3.555705	3.749434	3.225091	3.167809	3.442486	2.545121	Horizontal
GABAamacrine	GAD1	chr2	170816887	3.324348	3.610512	4.018617	4.612555	2.804446	3.504016	4.067445	3.229570	3.821596	GABAamacrine
GABAamacrine	GAD2	chr10	26216774	2.410351	2.264996	1.694115	4.179358	2.396722	2.333988	2.943817	2.297184	1.231914	GABAamacrine
GABAamacrine	SLC32A1	chr20	38724486	4.886239	3.973774	3.900481	4.859808	4.566690	3.970109	3.977947	3.442486	4.048528	AIIamacrine
GABAamacrine	SLC6A1	chr3	10992748	3.668319	4.089188	2.259026	4.566176	3.101820	3.258643	4.165992	3.485679	1.909941	GABAamacrine
GABAamacrine	DLX1	chr2	172085507	3.191180	4.544177	4.275905	3.105269	3.583143	3.768232	3.813609	3.187257	4.108026	Astrocyte
GABAamacrine	DLX2	chr2	172102900	3.201549	4.514090	4.286474	3.114908	3.572548	3.828664	3.831221	3.136895	4.115669	Astrocyte
GABAamacrine	TFAP2A	chr6	10415074	4.838559	4.288227	3.878079	4.904050	4.928903	3.972420	3.901936	3.307435	3.941016	Horizontal
GABAamacrine	TFAP2B	chr6	50818871	4.307386	2.305525	2.100334	4.103786	4.388082	2.527819	2.475730	2.621257	1.474404	Horizontal
GABAamacrine	ERBB4	chr2	212538802	1.981234	3.793713	2.112900	3.266998	1.905156	2.234099	2.623702	2.456098	1.691490	Astrocyte
Horizontal	LHX1	chr17	36937475	3.948516	4.251085	4.852152	3.806245	5.010323	4.224168	4.166649	3.636907	4.555523	Horizontal
Horizontal	ONECUT1	chr15	52790336	3.915391	2.988486	3.096218	2.918097	5.164515	3.485404	3.458008	4.434652	2.619330	Horizontal
Horizontal	ONECUT2	chr18	57435374	4.619560	3.301702	4.024542	3.404382	5.068258	3.625416	3.250784	3.588118	3.649655	Horizontal
Horizontal	PROX1	chr1	213987973	4.955238	4.273535	2.550798	3.697209	4.840262	3.927565	4.422992	3.963298	1.717871	AIIamacrine
Horizontal	CALB1	chr8	90082879	3.302831	1.366421	3.140979	2.255168	2.647307	1.307687	1.081551	2.892355	0.855149	AIIamacrine
Horizontal	GJA10	chr6	89894469	1.774948	1.493451	2.024163	1.682039	4.082791	1.911478	1.331352	1.972157	1.410402	Horizontal
Horizontal	EPHA6	chr3	96814594	3.248563	2.278689	1.488287	3.537799	2.164651	2.309936	3.136555	3.657986	1.175318	Retinalganglioncell
Horizontal	CNTN4	chr3	2098866	4.120236	2.369624	1.926777	3.834666	4.099175	2.885994	3.513490	3.462080	1.476616	AIIamacrine
Microglia	P2RY12	chr3	151384753	2.101814	2.344476	2.705776	2.141278	2.300157	3.313663	2.978362	2.108156	1.360181	Microglia
Microglia	TMEM119	chr12	108598084	2.774951	3.096164	2.375032	2.815169	2.695389	3.447108	2.652483	2.786705	2.466399	Microglia
Microglia	CX3CR1	chr3	39280036	2.015587	2.344476	1.877446	2.959560	2.503048	3.533092	2.356653	2.258158	1.773569	Microglia
Microglia	C1QA	chr1	22636628	3.913706	2.947534	3.627241	3.302408	3.968906	4.106195	3.143433	3.111790	3.911020	Microglia
Microglia	C1QB	chr1	22653236	4.176263	2.601347	2.837511	3.871346	3.828754	4.060747	3.247083	3.322992	2.839066	AIIamacrine
Microglia	C1QC	chr1	22643633	3.945252	2.519275	2.724918	3.348069	3.798060	3.981612	2.790354	2.963629	2.831828	Microglia
Microglia	AIF1	chr6	31615234	4.425316	4.586999	4.645073	4.387668	4.394736	4.796151	4.648588	4.164870	4.817800	Rod
Microglia	TYROBP	chr19	35908295	3.571032	3.728881	3.774114	3.603907	3.427621	4.514916	3.760066	3.569525	4.088070	Microglia
Microglia	CSF1R	chr5	150086554	2.331469	2.067479	2.212650	2.558299	2.352615	3.631928	2.481061	2.614313	2.226517	Microglia
Microglia	LST1	chr6	31586277	3.225332	3.306580	3.191494	3.215218	3.274947	4.085793	3.370554	2.975839	3.337825	Microglia
Mullerglia	RLBP1	chr15	89221579	3.284012	4.176472	3.195732	3.099198	3.074446	3.667002	4.479335	3.288086	3.303671	Mullerglia
Mullerglia	GLUL	chr1	182391790	3.945252	4.743170	3.255640	3.925561	3.444913	4.392283	4.930308	3.621755	1.978443	Mullerglia
Mullerglia	SLC1A3	chr5	36606606	2.564679	4.182569	1.795136	2.751711	1.719670	3.831326	4.312639	2.538331	1.165566	Mullerglia
Mullerglia	CLU	chr8	27614700	3.868858	5.008769	3.062974	4.259973	3.597962	4.017559	4.959273	4.162651	2.768775	Astrocyte
Mullerglia	CRYAB	chr11	111911770	4.443355	5.100239	4.917432	4.471062	4.722124	4.814221	5.202053	4.490084	5.122767	Mullerglia
Mullerglia	SLC4A11	chr20	3239190	3.025286	3.603306	3.412358	3.181017	2.916550	3.089577	2.894062	3.697678	3.027344	Retinalganglioncell
Mullerglia	SOX9	chr17	72121020	4.463998	4.823166	1.890009	3.415096	2.575373	3.378437	4.583633	3.118126	1.510820	Astrocyte
Mullerglia	VIM	chr10	17228241	3.444549	4.588351	3.188943	3.421293	3.893265	4.471023	4.675706	3.307435	3.163485	Mullerglia
Retinalganglioncell	RBPMS	chr8	30384541	1.457407	3.500566	1.348341	1.323243	1.593103	1.733337	1.377821	3.695317	0.976064	Retinalganglioncell
Retinalganglioncell	POU4F1	chr13	78603552	2.387333	2.508526	3.046419	2.655886	2.640567	2.272736	2.249775	4.546144	2.683136	Retinalganglioncell
Retinalganglioncell	POU4F2	chr4	146638893	2.080944	1.923165	2.741038	2.421779	2.200287	2.062631	1.840054	4.359068	2.012951	Retinalganglioncell
Retinalganglioncell	SNCG	chr10	86958599	3.795677	4.474027	4.120241	3.715131	4.149769	4.204227	4.772457	4.621477	3.958618	Mullerglia
Retinalganglioncell	THY1	chr11	119423172	3.166560	3.459666	2.115395	3.547182	2.872847	2.575603	3.032900	3.980331	1.968361	Retinalganglioncell
Retinalganglioncell	NEFL	chr8	24956612	1.921219	1.139298	1.763764	2.707652	2.069573	1.964442	1.396346	4.413551	1.370060	Retinalganglioncell
Retinalganglioncell	NEFM	chr8	24913761	3.457941	2.639987	2.708533	3.524355	3.651043	2.722857	2.568412	4.179544	3.316648	Retinalganglioncell
