chrom	start	end	ref	perturb	total	z	log2fc
chr1	629500	630000	508	2230	2738	30.2261	1.9827
chr1	634000	634500	420	1800	2220	26.8725	1.94788
chr1	631000	631500	353	1645	1998	26.6136	2.0684
chr1	632000	632500	422	1776	2198	26.4758	1.92167
chr1	632500	633000	271	1223	1494	22.6484	2.02165
chr1	629000	629500	225	1000	1225	20.3484	1.99918
chr1	161454500	161455000	241	1021	1262	20.1345	1.93025
chr1	630500	631000	204	927	1131	19.7745	2.0309
chr1	161469500	161470000	217	949	1166	19.686	1.97581
chr1	633500	634000	209	901	1110	19.0618	1.95503
chr1	634500	635000	206	886	1092	18.8831	1.95163
chr1	630000	630500	214	857	1071	17.9686	1.84881
chr1	631500	632000	172	756	928	17.6088	1.9824
chr1	161447000	161447500	213	836	1049	17.5731	1.81978
chr6	18016000	18016500	2	324	326	16.9169	6.8698
chr9	88313500	88314000	2	320	322	16.8101	6.85191
chr18	79245500	79246000	7	333	340	16.7426	5.32431
chr2	1509500	1510000	1	312	313	16.6804	7.55241
chr11	57191500	57192000	0	295	295	16.3035	9.05667
chr13	109424000	109424500	161	659	820	15.9218	1.87949
chr1	161447500	161448000	149	628	777	15.7543	1.92142
chr1	633000	633500	134	594	728	15.6654	1.99373
chr1	161462000	161462500	189	692	881	15.4222	1.71927
chr3	186829000	186829500	3	271	274	15.3496	6.12711
chr7	144302500	144303000	4	274	278	15.3463	5.78039
chr4	114448000	114448500	2	267	269	15.3243	6.59112
chr7	101294000	101294500	3	270	273	15.3202	6.12179
chr9	3826000	3826500	2	266	268	15.2949	6.58572
chr1	161469000	161469500	169	647	816	15.267	1.78325
chr1	68301500	68302000	5	271	276	15.167	5.47503
chr7	5862500	5863000	2	261	263	15.1469	6.55839
chr16	56783500	56784000	4	262	266	14.9903	5.7159
chr1	209873500	209874000	9	277	286	14.9871	4.71807
chr5	147452000	147452500	9	274	283	14.8971	4.70239
chr6	155084500	155085000	6	264	270	14.8661	5.19634
chr2	161322000	161322500	2	250	252	14.8162	6.49639
chr1	16872500	16873000	166	622	788	14.8031	1.75221
chr9	72441500	72442000	4	255	259	14.7786	5.67691
chr15	59276500	59277000	3	251	254	14.7512	6.01672
chr10	76444000	76444500	3	250	253	14.7207	6.01097
chr5	172035000	172035500	5	256	261	14.7154	5.39304
chr8	32306000	32306500	1	242	243	14.6685	7.18653
chr16	88009500	88010000	3	244	247	14.536	5.97599
chr8	127823000	127823500	8	259	267	14.53	4.78178
chr16	80948000	80948500	4	246	250	14.502	5.62517
chr15	31306500	31307000	5	248	253	14.4689	5.34733
chr12	47556500	47557000	3	241	244	14.4428	5.95818
chr11	109114500	109115000	0	231	231	14.427	8.70452
