row_index	status
0	alternate_length_error
1	alternate_length_error
2	alternate_length_error
3	alternate_length_error
4	alternate_length_error
5	alternate_length_error
6	alternate_length_error
7	alternate_length_error
8	alternate_length_error
9	alternate_length_error
10	alternate_length_error
11	alternate_length_error
12	alternate_length_error
13	alternate_length_error
14	alternate_length_error
15	alternate_length_error
16	alternate_length_error
17	alternate_length_error
18	alternate_length_error
19	alternate_length_error
