#'chr'	'start'	'end'	'ENCFF822FDB.bigWig_0.bw'	'ENCFF822FDB.bigWig _duplicate for single-track summary__1.bw'
chr10	80000000	81000000	0.22823483349609375	0.22823483349609375
chr11	69000000	70000000	0.20408478762817384	0.20408478762817384
chr7	45000000	46000000	0.1762698539123535	0.1762698539123535
chr11	120000000	121000000	0.1738634132080078	0.1738634132080078
chr8	70000000	71000000	0.17218568381500243	0.17218568381500243
chr7	44000000	45000000	0.16048565715026855	0.16048565715026855
chr19	5000000	6000000	0.1583092843017578	0.1583092843017578
chr10	81000000	82000000	0.15786605834960937	0.15786605834960937
chr17	56000000	57000000	0.15740091287231445	0.15740091287231445
chr8	84000000	85000000	0.15683232424926757	0.15683232424926757
