#'chr'	'start'	'end'	'ENCFF822FDB.bigWig_0.bw'	'ENCFF822FDB.bigWig _duplicate for single-track summary__1.bw'
chr1	74000000	75000000	0.10208090258789063	0.10208090258789063
chr1	98000000	99000000	0.035473389015197754	0.035473389015197754
chr1	20000000	21000000	0.04555909969329834	0.04555909969329834
chr1	142000000	143000000	0.026578847587585448	0.026578847587585448
chr1	27000000	28000000	0.02550972895050049	0.02550972895050049
chr1	39000000	40000000	0.08219289924621583	0.08219289924621583
chr1	162000000	163000000	0.06446088858032227	0.06446088858032227
chr1	143000000	144000000	0.04449052268218994	0.04449052268218994
chr1	29000000	30000000	0.026875976638793944	0.026875976638793944
chr1	10000000	11000000	0.040199101402282715	0.040199101402282715
chr1	93000000	94000000	0.082612900390625	0.082612900390625
chr1	186000000	187000000	0.06329773609161377	0.06329773609161377
chr1	192000000	193000000	0.0752908952255249	0.0752908952255249
chr1	19000000	20000000	0.03446467963409424	0.03446467963409424
chr1	173000000	174000000	0.03659147084808349	0.03659147084808349
chr1	160000000	161000000	0.06155836502075195	0.06155836502075195
chr1	37000000	38000000	0.07505097396850587	0.07505097396850587
chr1	133000000	134000000	0.10500856411743165	0.10500856411743165
chr1	115000000	116000000	0.029863128524780274	0.029863128524780274
chr1	77000000	78000000	0.06488405197143554	0.06488405197143554
chr1	73000000	74000000	0.06025361930847168	0.06025361930847168
chr1	44000000	45000000	0.03662863063049317	0.03662863063049317
chr1	43000000	44000000	0.06802670246887207	0.06802670246887207
chr1	151000000	152000000	0.06877710659027099	0.06877710659027099
chr1	104000000	105000000	0.035719567520141604	0.035719567520141604
chr1	137000000	138000000	0.051107983078002926	0.051107983078002926
chr1	132000000	133000000	0.1123497476196289	0.1123497476196289
chr1	101000000	102000000	0.02466956618118286	0.02466956618118286
chr1	46000000	47000000	0.03398125501251221	0.03398125501251221
chr1	136000000	137000000	0.0837183230895996	0.0837183230895996
chr1	95000000	96000000	0.03354931352615356	0.03354931352615356
chr1	130000000	131000000	0.04630373776245117	0.04630373776245117
chr1	146000000	147000000	0.02928821576309204	0.02928821576309204
