rank	gene_id	symbol	total_A	total_B	max_isoform_fraction_delta	l1_isoform_fraction_delta	top_transcripts
1	ENSG00000203970	DEFB110	198.00	202.00	1.0000	2.0000	ENST00000393660:A=1.000,B=0.000;ENST00000371148:A=0.000,B=1.000
2	ENSG00000086232	EIF2AK1	29.40	27.60	0.2552	0.5236	ENST00000199389:A=0.764,B=0.508;ENST00000490523:A=0.068,B=0.181;ENST00000431744:A=0.011,B=0.063;ENST00000495565:A=0.048,B=0.054;ENST00000474029:A=0.037,B=0.042;ENST00000470168:A=0.037,B=0.030;ENST00000463213:A=0.011,B=0.036;ENST00000446699:A=0.000,B=0.033
3	ENSG00000182831	HAPSTR1	21.50	31.83	0.2480	0.4960	ENST00000574285:A=0.651,B=0.403;ENST00000327827:A=0.349,B=0.597
4	ENSG00000106554	CHCHD3	28.00	24.80	0.2424	0.4847	ENST00000262570:A=0.570,B=0.327;ENST00000448878:A=0.165,B=0.226;ENST00000496427:A=0.105,B=0.141;ENST00000481152:A=0.052,B=0.132;ENST00000423635:A=0.090,B=0.122;ENST00000457942:A=0.018,B=0.050
5	ENSG00000103342	GSPT1	53.45	43.00	0.2316	0.4641	ENST00000434724:A=0.309,B=0.541;ENST00000439887:A=0.197,B=0.126;ENST00000563468:A=0.159,B=0.103;ENST00000565267:A=0.150,B=0.085;ENST00000420576:A=0.098,B=0.087;ENST00000568849:A=0.023,B=0.023;ENST00000562794:A=0.021,B=0.014;ENST00000564790:A=0.021,B=0.010
6	ENSG00000163848	ZNF148	22.00	27.00	0.2026	0.4051	ENST00000360647:A=0.790,B=0.588;ENST00000471196:A=0.040,B=0.069;ENST00000700044:A=0.063,B=0.069;ENST00000492394:A=0.025,B=0.069;ENST00000485866:A=0.025,B=0.057;ENST00000484491:A=0.025,B=0.057;ENST00000497929:A=0.025,B=0.046;ENST00000700212:A=0.006,B=0.015
7	ENSG00000174574	AKIRIN1	26.00	21.00	0.2013	0.4026	ENST00000432648:A=0.638,B=0.437;ENST00000372984:A=0.176,B=0.278;ENST00000446189:A=0.119,B=0.206;ENST00000531822:A=0.067,B=0.079
8	ENSG00000079950	STX7	26.00	21.00	0.1925	0.3849	ENST00000367941:A=0.875,B=0.683;ENST00000367937:A=0.067,B=0.159;ENST00000448348:A=0.048,B=0.143;ENST00000475879:A=0.010,B=0.016
9	ENSG00000174238	PITPNA	24.50	26.00	0.1815	0.3792	ENST00000313486:A=0.585,B=0.767;ENST00000575288:A=0.224,B=0.099;ENST00000574991:A=0.075,B=0.024;ENST00000576722:A=0.048,B=0.036;ENST00000575895:A=0.028,B=0.027;ENST00000576010:A=0.020,B=0.019;ENST00000576761:A=0.011,B=0.013;ENST00000573231:A=0.005,B=0.011
10	ENSG00000169504	CLIC4	24.00	33.00	0.1796	0.3592	ENST00000374379:A=0.795,B=0.657;ENST00000488683:A=0.128,B=0.308;ENST00000497755:A=0.066,B=0.035;ENST00000489758:A=0.010,B=0.000
11	ENSG00000004897	CDC27	29.80	36.92	0.1704	0.4706	ENST00000066544:A=0.314,B=0.485;ENST00000531206:A=0.191,B=0.104;ENST00000533415:A=0.131,B=0.075;ENST00000527547:A=0.112,B=0.096;ENST00000570740:A=0.053,B=0.009;ENST00000573502:A=0.032,B=0.051;ENST00000525495:A=0.037,B=0.037;ENST00000571643:A=0.036,B=0.005
12	ENSG00000198843	SELENOT	33.00	41.83	0.1676	0.3451	ENST00000471696:A=0.533,B=0.700;ENST00000492132:A=0.109,B=0.047;ENST00000477889:A=0.109,B=0.042;ENST00000485923:A=0.109,B=0.079;ENST00000480740:A=0.086,B=0.071;ENST00000466234:A=0.056,B=0.061
13	ENSG00000056097	ZFR	23.00	21.00	0.1655	0.4255	ENST00000265069:A=0.621,B=0.456;ENST00000507465:A=0.085,B=0.162;ENST00000514356:A=0.078,B=0.130;ENST00000510369:A=0.063,B=0.114;ENST00000505366:A=0.087,B=0.040;ENST00000502988:A=0.067,B=0.083;ENST00000505204:A=0.000,B=0.016
14	ENSG00000008952	SEC62	43.00	58.00	0.1641	0.3553	ENST00000337002:A=0.607,B=0.771;ENST00000480708:A=0.165,B=0.099;ENST00000469515:A=0.072,B=0.035;ENST00000481435:A=0.061,B=0.027;ENST00000460513:A=0.037,B=0.020;ENST00000470355:A=0.029,B=0.014;ENST00000487736:A=0.010,B=0.017;ENST00000497277:A=0.010,B=0.017
15	ENSG00000211455	STK38L	29.00	30.00	0.1624	0.4696	ENST00000389032:A=0.663,B=0.500;ENST00000536093:A=0.115,B=0.172;ENST00000543992:A=0.046,B=0.122;ENST00000545470:A=0.032,B=0.073;ENST00000546286:A=0.019,B=0.071;ENST00000407753:A=0.033,B=0.021;ENST00000544367:A=0.025,B=0.007;ENST00000541191:A=0.019,B=0.005
16	ENSG00000100380	ST13	39.50	52.10	0.1558	0.3116	ENST00000216218:A=0.608,B=0.764;ENST00000455824:A=0.142,B=0.083;ENST00000411695:A=0.113,B=0.063;ENST00000413424:A=0.083,B=0.059;ENST00000480048:A=0.027,B=0.021;ENST00000495652:A=0.026,B=0.010
17	ENSG00000197930	ERO1A	31.00	29.50	0.1532	0.3528	ENST00000395686:A=0.658,B=0.811;ENST00000554019:A=0.104,B=0.054;ENST00000556039:A=0.067,B=0.020;ENST00000556769:A=0.042,B=0.035;ENST00000629528:A=0.041,B=0.014;ENST00000556358:A=0.037,B=0.018;ENST00000554251:A=0.030,B=0.007;ENST00000553714:A=0.000,B=0.023
