STAR_ANNOTATED_JUNCTION_USAGE_DIAGNOSTIC
sampleA_STAR_junction_rows	31908
sampleB_STAR_junction_rows	31857
sampleA_total_unique_junction_reads	71318
sampleB_total_unique_junction_reads	70827
GENCODE_exon_rows_parsed	5078384
GENCODE_genes_with_junctions	54117
eligible_genes	184

RANKED_GENES
rank	gene_symbol	gene_id	A_annotated_junction_reads	B_annotated_junction_reads	supported_junctions	annotated_junctions	max_abs_junction_fraction_change	JS_divergence	max_change_junction	A_count	B_count	A_fraction	B_fraction
1	DEFB110	ENSG00000203970.4	120	63	2	2	1.000000	1.000000	chr6:50009272-50021880:-	120	0	1.000000	0.000000
2	RPL23A	ENSG00000198242.16	74	57	3	25	0.432432	0.270537	chr17:28720031-28720706:+	32	0	0.432432	0.000000
3	RPS26	ENSG00000197728.13	52	73	3	10	0.315068	0.180747	chr12:56042170-56042424:+	0	23	0.000000	0.315068
4	RPL36A-HNRNPH2	ENSG00000257529.5	50	82	3	5	0.246829	0.137816	chrX:101391565-101391754:+	41	47	0.820000	0.573171
5	RPL36A	ENSG00000241343.12	54	90	4	22	0.237037	0.138268	chrX:101391565-101391754:+	41	47	0.759259	0.522222
6	RAC2	ENSG00000128340.18	53	62	6	20	0.172855	0.043440	chr22:37232919-37241586:-	16	8	0.301887	0.129032
7	ENSG00000264772	ENSG00000264772.6	65	82	7	11	0.166417	0.052692	chr17:7577488-7577568:+	9	25	0.138462	0.304878
8	RPS3A	ENSG00000145425.12	160	173	4	40	0.162861	0.032664	chr4:151104287-151104471:+	76	54	0.475000	0.312139
9	EIF3M	ENSG00000149100.15	50	52	5	46	0.161538	0.096944	chr11:32587145-32588593:+	10	2	0.200000	0.038462
10	HLA-DQB1	ENSG00000179344.19	61	59	4	21	0.156710	0.022129	chr6:32665068-32666498:-	23	13	0.377049	0.220339
11	CD79A	ENSG00000105369.11	58	51	4	5	0.156525	0.037683	chr19:41877384-41878989:+	25	14	0.431034	0.274510
12	RAN	ENSG00000132341.14	58	67	5	37	0.155944	0.068817	chr12:130872921-130873002:+	10	22	0.172414	0.328358
13	RPS21	ENSG00000171858.20	89	111	5	41	0.153153	0.087712	chr20:62387137-62387320:+	0	17	0.000000	0.153153
14	RPL29	ENSG00000162244.14	77	102	3	28	0.148841	0.021452	chr3:51994127-51995041:-	56	59	0.727273	0.578431
15	DDX5	ENSG00000108654.18	58	55	6	64	0.147335	0.150221	chr17:64500327-64500548:-	2	10	0.034483	0.181818
16	PPIA	ENSG00000196262.17	52	58	2	41	0.145889	0.048072	chr7:44799875-44801286:+	22	33	0.423077	0.568966
17	YBX1	ENSG00000065978.21	67	70	6	18	0.138806	0.053702	chr1:42697263-42700780:+	16	7	0.238806	0.100000
18	WARS1	ENSG00000140105.20	73	76	9	85	0.138609	0.090003	chr14:100343388-100346745:-	13	3	0.178082	0.039474
19	EIF4A1	ENSG00000161960.18	110	114	10	78	0.137480	0.066543	chr17:7577488-7577568:+	9	25	0.081818	0.219298
20	TLE5	ENSG00000104964.17	51	51	5	22	0.137255	0.046082	chr19:3055727-3056311:-	8	15	0.156863	0.294118
21	RPL37A	ENSG00000197756.12	116	120	3	46	0.135345	0.013452	chr2:216499399-216499948:+	51	69	0.439655	0.575000
22	SENP3-EIF4A1	ENSG00000277957.1	114	117	10	20	0.134728	0.094901	chr17:7577488-7577568:+	9	25	0.078947	0.213675
23	TXNDC5	ENSG00000239264.11	61	55	7	20	0.134426	0.125042	chr6:7883267-7884358:-	4	11	0.065574	0.200000
24	ATP5F1B	ENSG00000110955.11	93	75	9	49	0.130323	0.052611	chr12:56642581-56642672:-	4	13	0.043011	0.173333
