chr10	26210000	26220000	80	41	142	1459	163	45	1377	109	642	chr10	26210000	26220000	GAD2	GABAamacrine	10000
chr10	86950000	86960000	75	59	176	254	561	86	1554	569	1221	chr10	86950000	86960000	SNCG	Retinalganglioncell	10000
chr10	93610000	93620000	27	24	2987	69	67	29	155	47	2543	chr10	93610000	93620000	PDE6C	Cone	10000
chr11	31810000	31820000	1022	257	1154	3025	2723	373	10356	1414	3504	chr11	31810000	31820000	PAX6	GABAamacrine	10000
chr11	119420000	119430000	151	144	109	796	317	37	1116	518	724	chr11	119420000	119430000	THY1	Retinalganglioncell	10000
chr12	108590000	108600000	29	24	93	109	79	55	203	57	859	chr12	108590000	108600000	TMEM119	Microglia	10000
chr1	22630000	22640000	113	15	93	121	323	82	150	68	1089	chr1	22630000	22640000	C1QA	Microglia	10000
chr1	44030000	44040000	673	519	5672	1560	1512	600	6541	945	66216	chr1	44030000	44040000	SLC6A9	AIIamacrine	10000
chr1	109610000	109620000	70	96	3248	257	258	192	1175	117	5123	chr1	109610000	109620000	GNAT2	Cone	10000
chr1	182390000	182400000	366	368	999	975	710	385	5695	489	1840	chr1	182390000	182400000	GLUL	Mullerglia	10000
chr1	213980000	213990000	786	309	347	785	1945	240	4664	649	1275	chr1	213980000	213990000	PROX1	Horizontal	10000
chr13	78600000	78610000	54	46	567	208	168	39	422	777	3151	chr13	78600000	78610000	POU4F1	Retinalganglioncell	10000
chr14	24110000	24120000	744	572	3424	2275	1952	657	7955	939	41196	chr14	24110000	24120000	NRL	Rod	10000
chr15	52790000	52800000	192	49	403	211	2011	83	610	435	2392	chr15	52790000	52800000	ONECUT1	Horizontal	10000
chr15	71790000	71800000	7	10	71	50	31	16	112	46	808	chr15	71790000	71800000	NR2E3	Rod	10000
chr15	89220000	89230000	46	133	58	39	47	72	2692	54	535	chr15	89220000	89230000	RLBP1	Mullerglia	10000
chr17	7210000	7220000	992	599	5259	2774	2755	722	8711	1217	54111	chr17	7210000	7220000	ACADVL	AIIamacrine	10000
chr17	36930000	36940000	91	91	1365	239	1715	108	805	122	5009	chr17	36930000	36940000	LHX1	Horizontal	10000
chr17	44910000	44920000	273	450	385	389	344	154	3408	231	4237	chr17	44910000	44920000	GFAP	Astrocyte	10000
chr17	66300000	66310000	215	384	711	727	662	239	3635	349	16710	chr17	66300000	66310000	PRKCA	AIIamacrine	10000
chr17	72120000	72130000	542	395	115	695	186	115	4603	267	477	chr17	72120000	72130000	SOX9	Mullerglia	10000
chr18	26860000	26870000	77	283	36	122	80	67	2646	118	271	chr18	26860000	26870000	AQP4	Astrocyte	10000
chr19	48040000	48050000	89	88	490	263	264	110	1154	106	18008	chr19	48040000	48050000	CABP5	AIIamacrine	10000
chr20	38720000	38730000	754	39	255	2480	1208	84	455	85	1269	chr20	38720000	38730000	SLC32A1	GABAamacrine	10000
chr21	46600000	46610000	12	107	131	158	56	52	247	165	496	chr21	46600000	46610000	S100B	Astrocyte	10000
chr2	170810000	170820000	172	139	1721	1526	270	160	2859	204	12008	chr2	170810000	170820000	GAD1	GABAamacrine	10000
chr2	172080000	172090000	70	222	877	223	303	91	944	105	6029	chr2	172080000	172090000	DLX1	GABAamacrine	10000
chr2	172090000	172100000	87	243	979	254	311	97	1275	149	6872	chr2	172090000	172100000	DLX2	GABAamacrine	10000
chr2	212530000	212540000	32	244	86	502	37	24	771	83	371	chr2	212530000	212540000	ERBB4	GABAamacrine	10000
chr2	233300000	233310000	184	197	2299	479	586	297	2799	283	43252	chr2	233300000	233310000	SAG	Rod	10000
chr3	10990000	11000000	242	229	116	1485	197	97	2749	174	526	chr3	10990000	11000000	SLC6A1	GABAamacrine	10000
chr3	39280000	39290000	26	43	104	177	114	96	484	59	741	chr3	39280000	39290000	CX3CR1	Microglia	10000
chr3	50190000	50200000	429	411	3398	1034	1187	579	6698	540	80576	chr3	50190000	50200000	GNAT1	Rod	10000
chr3	126190000	126200000	30	37	46	50	75	19	348	54	348	chr3	126190000	126200000	ALDH1L1	Astrocyte	10000
chr3	129520000	129530000	347	267	1614	688	866	398	3978	325	59800	chr3	129520000	129530000	RHO	Rod	10000
chr3	151380000	151390000	6	17	33	60	65	65	275	31	111	chr3	151380000	151390000	P2RY12	Microglia	10000
chr4	146630000	146640000	44	23	446	184	126	29	293	690	1537	chr4	146630000	146640000	POU4F2	Retinalganglioncell	10000
chr5	36590000	36600000	27	57	31	25	22	28	1104	27	134	chr5	36590000	36600000	SLC1A3	Mullerglia	10000
chr5	149940000	149950000	159	269	854	340	433	225	2703	186	33774	chr5	149940000	149950000	PDE6A	Rod	10000
chr6	10410000	10420000	493	176	428	1794	1656	107	976	127	3398	chr6	10410000	10420000	TFAP2A	GABAamacrine	10000
chr6	31610000	31620000	109	84	832	280	246	173	1008	151	6664	chr6	31610000	31620000	AIF1	Microglia	10000
chr6	50810000	50820000	240	20	116	685	633	29	391	76	562	chr6	50810000	50820000	TFAP2B	AIIamacrine	10000
chr7	103980000	103990000	21	11	70	194	55	13	97	192	353	chr7	103980000	103990000	RELN	GABAamacrine	10000
chr7	128770000	128780000	36	18	404	84	105	16	173	57	1427	chr7	128770000	128780000	OPN1SW	Cone	10000
chr8	30380000	30390000	14	210	65	53	55	22	182	491	324	chr8	30380000	30390000	RBPMS	Retinalganglioncell	10000
chr8	90050000	90060000	25	2	53	47	38	3	42	35	96	chr8	90050000	90060000	CALB1	Horizontal	10000
chrX	70260000	70270000	23	14	1556	63	58	16	177	30	1029	chrX	70260000	70270000	ARR3	Cone	10000
chrX	154140000	154150000	58	40	2300	109	135	48	452	60	6323	chrX	154140000	154150000	OPN1LW	Cone	10000
