chr1	0	248956422	248956422	1
chr10	0	133797422	133797422	1
chr11	0	135086622	135086622	1
chr12	0	133275309	133275309	1
chr13	0	114364328	114364328	1
chr14	0	107043718	107043718	1
chr15	0	101991189	101991189	1
chr16	0	90338345	90338345	1
chr17	0	83257441	83257441	1
chr18	0	80373285	80373285	1
chr19	0	58617616	58617616	1
chr2	0	242193529	242193529	1
chr20	0	64444167	64444167	1
chr21	0	46709983	46709983	1
chr22	0	50818468	50818468	1
chr3	0	198295559	198295559	1
chr4	0	190214555	190214555	1
chr5	0	181538259	181538259	1
chr6	0	170805979	170805979	1
chr7	0	159345973	159345973	1
chr8	0	145138636	145138636	1
chr9	0	138394717	138394717	1
chrX	0	156040895	156040895	1
chrY	0	57227415	57227415	1
chrM	0	16569	16569	1
genome	0	3088286401	3088286401	1
