Wheat cluster	Top DEGs and corresponding descriptions	Known orthologous tissue-specific marker in other species	Reference literature
0	TraesCS3A03G0812200: NAC domain-containing protein 68-like	AT1G69490: NAC029  in Arabidopsis initials	PMID: 32943451  (Wendrich et al., 2020)
1	TraesCS4B03G0721800: expansin-A31-like 	Os01g0248900: EXPA8  in Rice epidermis/root hair	PMID: 33824350  (Zhang et al., 2021)
2	TraesCS1B03G0646400:14 kDa proline-rich protein DC2.15-like	LOC_Os04g46810: Hybrid Proline-Rich Protein 12 in Rice cortex	PMID: 33352304  (Liu et al., 2021)
3	TraesCS5A03G1092000: histone H2A.1-like	Os03g0279200: Histone H2A  in Rice meristem	PMID: 33824350  (Zhang et al., 2021)
4	TraesCS3D03G0013700: WALLS ARE THIN 1-like	AT1G75500: WAT1 in Arabidopsis developing vascular cells; TraesCS3D02G003600 (same gene): WAT1 in Wheat provascular cells	PMID: 20497379 (Ranocha et al., 2010); PMID: 37016448  (Zhang et al., 2023)
5	TraesCS5A03G0602000: ERF109-like	AT5G18560: ERF086 in Arabidopsis QC	PMID: 32943451  (Wendrich et al., 2020)
6	TraesCS4B03G0840800: defensin Ec-AMP-D2-like 	AT2G02130: PDF2.3 in Arabidopsis pericycle	PMID: 32943451  (Wendrich et al., 2020)
7	TraesCS3D03G1015700: chitinase CLP-like	Os01g0937050: CLP in Rice epidermis/root hair	PMID: 33824350  (Zhang et al., 2021)
8	TraesCS7D03G0043000: expansin-A17-like	AT1G12560: EXPANSIN A7 in Arabidopsis root hair	PMID: 21359675 (Lin et al., 2011)
9	TraesCS6D03G0764800: MYB36-like	AT5G57620: MYB36 in Arabidopsis endodermis	PMID: 32943451  (Wendrich et al., 2020)
10	TraesCS5D03G0377000: cysteine protease XCP1-like	AT4G35350: XCP1 in Arabidopsis xylem; TraesCS5D02G152400 (same gene): XCP1 in Wheat protoxylem	PMID: 10889267 (Zhao et al., 2000); PMID: 37016448  (Zhang et al., 2023)
11	TraesCS6A03G0965900: putative F-box protein PP2-B12	TraesCS6A02G381900 (same gene): PHLOEM PROTEIN 2-B11, PP2-B11 in Wheat immature sieve elements	PMID: 37016448  (Zhang et al., 2023)
12	TraesCS2D03G0803000: uncharacterized protein LOC119355610	Os04g0496300: H0306B06.4 protein in Rice Meristem	PMID: 33824350  (Zhang et al., 2021)
13	TraesCS3D03G0599200: membrane protein PM19L-like	AT1G29520: AWPM-19-like family protein in Arabidopsis Phloem	PMID: 32943451  (Wendrich et al., 2020)
14	TraesCS3D03G0697200: uncharacterized protein LOC119269146	AT5G60530: LEA protein-like protein in Arabidopsis LRC	PMID: 32943451  (Wendrich et al., 2020)
