RESULT	None
analysis	marker_log1p_column_zscore_two_swap
expression_genes	54538
expression_profiles	cortex,endodermis,epidermis,meristems,pericycle,phloem,provascular,root_cap,root_hair,xylem
source_marker_rows	1287
matched_marker_genes	1281
identity_total_score	20.581349
best_candidate_swap	root_cap,xylem
best_candidate_delta	-2.604969
reciprocal_preference	False
thresholds	reciprocal_margin>=0.5_each;two_way_delta>=1.0

CELL_TYPE_SCORES
cell_type	marker_count	identity_score	top_observed_label	top_score	identity_rank
cortex	22	2.167062	cortex	2.167062	1
endodermis	54	2.386701	endodermis	2.386701	1
epidermis	90	1.811165	epidermis	1.811165	1
meristems	322	1.956363	meristems	1.956363	1
pericycle	79	2.238443	pericycle	2.238443	1
phloem	278	1.584030	phloem	1.584030	1
provascular	27	1.849092	provascular	1.849092	1
root_cap	178	2.067283	root_cap	2.067283	1
root_hair	109	2.426860	root_hair	2.426860	1
xylem	122	2.094352	xylem	2.094352	1

BEST_SWAP_CANDIDATES
cell_type_a	cell_type_b	delta	A_prefers_B_margin	B_prefers_A_margin
root_cap	xylem	-2.604969	-1.521963	-1.083006
epidermis	root_hair	-2.711546	-1.024858	-1.686687
meristems	phloem	-2.786003	-1.008996	-1.777007
pericycle	phloem	-3.028857	-1.807916	-1.220941
phloem	provascular	-3.344382	-1.298803	-2.045579
epidermis	root_cap	-3.366492	-1.295949	-2.070544
pericycle	provascular	-3.526889	-2.295752	-1.231137
provascular	xylem	-3.800555	-1.570554	-2.230001
epidermis	phloem	-3.872496	-1.685709	-2.186787
phloem	xylem	-3.953355	-1.575891	-2.377463

MARKER_EVIDENCE_TOP3
cell_type	cluster	gene	source_avg_log2FC	identity_value	identity_z
cortex	2	TraesCS1D03G0787400	0.868929	624.410000	2.636110
cortex	2	TraesCS4B03G0814800	0.822126	532.740000	2.585296
cortex	2	TraesCS1D03G0787300	0.910864	864.510000	2.579917
endodermis	9	TraesCS3B03G0507800	0.601374	187.080000	2.848015
endodermis	9	TraesCS3D03G0402600	1.148410	730.170000	2.777001
endodermis	9	TraesCS3D03G1192600	0.644761	203.830000	2.775688
epidermis	7	TraesCS2B03G1540200	0.609782	204.140000	2.778711
epidermis	7	TraesCS2B03G0426800	0.851353	115.120000	2.612688
epidermis	7	TraesCS2B03G0426900	0.853293	111.610000	2.600397
meristems	3	TraesCS3B03G0974400	0.577623	200.440000	2.760474
meristems	3	TraesCS7A03G0284300	0.611432	193.950000	2.730939
meristems	3	TraesCS6B03G0184300	0.735138	320.930000	2.676190
pericycle	6	TraesCS3B03G1323800	0.558553	102.390000	2.868412
pericycle	6	TraesCS3B03G0924900	0.597036	321.460000	2.847716
pericycle	6	TraesCS5D03G1199300	0.506784	97.000000	2.847440
phloem	13	TraesCS7D03G0264400	0.698155	343.150000	2.999801
phloem	13	TraesCS6D03G0555500	0.709631	315.360000	2.999667
phloem	13	TraesCS1A03G0015600	0.500885	96.660000	2.999474
provascular	4	TraesCS2D03G1305500	0.555354	243.560000	2.428293
provascular	4	TraesCS2B03G1390400	0.504708	193.470000	2.389165
provascular	4	TraesCS5A03G0651300	0.632907	523.810000	2.375756
root_cap	14	TraesCS2A03G1032100	0.696345	105.770000	2.998178
root_cap	14	TraesCS2D03G0971100	1.144960	328.750000	2.996864
root_cap	14	TraesCS6A03G0118600	0.646012	90.530000	2.996610
root_hair	8	TraesCS4A03G0624900	0.508196	96.140000	2.929173
root_hair	8	TraesCS2A03G0821300	0.544768	96.610000	2.926572
root_hair	8	TraesCS7D03G0043000	0.820523	230.220000	2.903345
xylem	10	TraesCS1D03G0645100	0.535204	95.880000	2.817704
xylem	10	TraesCS2A03G1162800	0.545789	217.050000	2.815740
xylem	10	TraesCS2D03G1111900	0.562066	246.090000	2.772326

PEARSON_LOG1P_PROFILE_CORRELATIONS
profile_a	profile_b	pearson_r
cortex	endodermis	0.945351
cortex	epidermis	0.933025
cortex	meristems	0.922039
cortex	pericycle	0.910679
cortex	phloem	0.815179
cortex	provascular	0.906190
cortex	root_cap	0.882053
cortex	root_hair	0.918480
cortex	xylem	0.919369
endodermis	epidermis	0.908234
endodermis	meristems	0.909499
endodermis	pericycle	0.925550
endodermis	phloem	0.807333
endodermis	provascular	0.936055
endodermis	root_cap	0.871159
endodermis	root_hair	0.893093
endodermis	xylem	0.921042
epidermis	meristems	0.913144
epidermis	pericycle	0.889945
epidermis	phloem	0.824750
epidermis	provascular	0.886715
epidermis	root_cap	0.890326
epidermis	root_hair	0.945408
epidermis	xylem	0.913168
meristems	pericycle	0.895866
meristems	phloem	0.832143
meristems	provascular	0.917965
meristems	root_cap	0.849447
meristems	root_hair	0.858146
meristems	xylem	0.884119
pericycle	phloem	0.827425
pericycle	provascular	0.934002
pericycle	root_cap	0.860542
pericycle	root_hair	0.879033
pericycle	xylem	0.913235
phloem	provascular	0.815274
phloem	root_cap	0.780964
phloem	root_hair	0.791750
phloem	xylem	0.814798
provascular	root_cap	0.849372
provascular	root_hair	0.859360
provascular	xylem	0.913520
root_cap	root_hair	0.864698
root_cap	xylem	0.896670
root_hair	xylem	0.891924
