metric	value
dnase1_peak_count	96661
dnase2_peak_count	111742
dnase1_peaks_overlapping_dnase2	78979
dnase1_peak_replicate_overlap_fraction	0.817072
file	sample_fragments	first_fragment	mean_fragment_length	chr1_fraction	dnase1_overlap_fraction	dnase2_overlap_fraction
chip.pioneer.q1/TF1.control1.bed.gz	20000	chr1:10196-10301	188.840	1.000000	0.024350	0.031750
chip.pioneer.q1/TF1.control2.bed.gz	20000	chr1:10239-10320	188.706	1.000000	0.019350	0.028650
chip.pioneer.q1/TF3.rep1.bed.gz	20000	chr1:10251-10515	230.913	1.000000	0.068750	0.082000
chip.pioneer.q1/TF1.rep2.bed.gz	20000	chr1:16178-16519	290.627	1.000000	0.055400	0.066250
chip.pioneer.q1/TF1.rep1.bed.gz	20000	chr1:10053-10337	294.651	1.000000	0.061700	0.072450
chip.pioneer.q1/TF3.control1.bed.gz	20000	chr1:16161-16307	226.025	1.000000	0.036900	0.048300
chip.pioneer.q1/TF6.control.bed.gz	20000	chr1:17389-17534	218.411	1.000000	0.029850	0.037700
chip.pioneer.q1/TF4.control2.bed.gz	20000	chr1:16086-16517	245.022	1.000000	0.018600	0.025000
chip.pioneer.q1/TF2.control2.bed.gz	20000	chr1:10297-10458	227.826	1.000000	0.024600	0.031050
chip.pioneer.q1/TF5.control.bed.gz	20000	chr1:16277-16442	207.773	1.000000	0.014950	0.019000
chip.pioneer.q1/TF4.control1.bed.gz	20000	chr1:17326-17524	231.855	1.000000	0.021850	0.027250
chip.pioneer.q1/TF2.rep1.bed.gz	20000	chr1:17467-17687	295.031	1.000000	0.066300	0.075000
chip.pioneer.q1/TF5.rep1.bed.gz	20000	chr1:13263-13353	227.208	1.000000	0.116900	0.153450
chip.pioneer.q1/TF2.control1.bed.gz	20000	chr1:15931-16105	226.482	1.000000	0.022950	0.032000
chip.pioneer.q1/TF6.rep1.bed.gz	20000	chr1:17120-17517	252.561	1.000000	0.073950	0.100150
chip.pioneer.q1/TF4.rep2.bed.gz	20000	chr1:29293-29414	319.302	1.000000	0.063750	0.075150
chip.pioneer.q1/TF4.rep1.bed.gz	20000	chr1:28573-29179	294.528	1.000000	0.058850	0.070350
chip.pioneer.q1/TF5.rep2.bed.gz	20000	chr1:17479-17848	225.234	1.000000	0.027450	0.037300
chip.pioneer.q1/TF2.rep2.bed.gz	20000	chr1:10201-10338	274.893	1.000000	0.069350	0.089200
chip.pioneer.q1/TF6.rep2.bed.gz	20000	chr1:17353-17513	272.774	1.000000	0.096550	0.105450
chip.pioneer.q1/TF3.control2.bed.gz	20000	chr1:15180-15266	231.537	1.000000	0.024900	0.032850
chip.pioneer.q1/TF3.rep2.bed.gz	20000	chr1:10210-10442	269.860	1.000000	0.099150	0.114500
