dataset	valid_rows	invalid_rows	min_columns	max_columns	min_interval	mean_interval	max_interval	zero_intervals	chromosome_count	first_record
TF1.control1.bed.gz	37039899	0	7	7	25	193.860	2001	0	165	chr1|10196|10301|N|31|+|1
TF1.control2.bed.gz	45007567	0	7	7	24	186.300	2000	0	169	chr1|10239|10320|N|33|-|1
TF1.rep1.bed.gz	30262780	0	7	7	28	296.556	2000	0	163	chr1|10053|10337|N|44|+|1
TF1.rep2.bed.gz	34212511	0	7	7	25	297.199	2000	0	161	chr1|16178|16519|N|50|-|2
TF2.control1.bed.gz	26894612	0	7	7	24	209.804	2000	0	157	chr1|15931|16105|N|39|-|1
TF2.control2.bed.gz	26693947	0	7	7	25	213.111	2000	0	161	chr1|10297|10458|N|31|+|1
TF2.rep1.bed.gz	9520602	0	7	7	24	293.115	2000	0	147	chr1|17467|17687|N|42|-|1
TF2.rep2.bed.gz	18620491	0	7	7	25	264.115	2000	0	159	chr1|10201|10338|N|30|+|1
TF3.control1.bed.gz	23274203	0	7	7	26	209.063	2000	0	157	chr1|16161|16307|N|40|-|1
TF3.control2.bed.gz	13216643	0	7	7	25	214.508	2000	0	154	chr1|15180|15266|N|51|+|1
TF3.rep1.bed.gz	15298277	0	7	7	25	235.760	2000	0	155	chr1|10251|10515|N|36|+|1
TF3.rep2.bed.gz	17189525	0	7	7	24	267.945	1999	0	155	chr1|10210|10442|N|30|+|1
TF4.control1.bed.gz	28277779	0	7	7	24	238.325	2002	0	166	chr1|17326|17524|N|40|+|1
TF4.control2.bed.gz	23754574	0	7	7	23	249.791	2002	0	167	chr1|16086|16517|N|60|-|3
TF4.rep1.bed.gz	26225809	0	7	7	24	302.339	2000	0	147	chr1|28573|29179|N|38|+|1
TF4.rep2.bed.gz	19481343	0	7	7	24	329.565	2001	0	143	chr1|29293|29414|N|60|-|1
TF5.control.bed.gz	16452140	0	7	7	24	207.576	2002	0	164	chr1|16277|16442|N|60|-|1
TF5.rep1.bed.gz	16135021	0	7	7	26	225.535	2000	0	157	chr1|13263|13353|N|60|-|2
TF5.rep2.bed.gz	14755327	0	7	7	24	225.193	2000	0	160	chr1|17479|17848|N|40|-|1
TF6.control.bed.gz	16833124	0	7	7	25	204.508	2000	0	153	chr1|17389|17534|N|42|+|1
TF6.rep1.bed.gz	8156838	0	7	7	29	268.704	2003	0	143	chr1|17120|17517|N|42|-|1
TF6.rep2.bed.gz	5302061	0	7	7	25	283.568	2000	0	141	chr1|17353|17513|N|42|-|2
ENCFF876DOW	98041	0	10	10	20	149.973	150	0	24	chr1|629155|629305|.|0|.|240|-1
ENCFF764MOY	112633	0	10	10	52	149.993	150	0	24	chr1|267990|268140|.|0|.|20.0|-1
