index	usable_reads	mean_bin_log_pearson_to_others	mean_top_bin_jaccard_to_others	mean_chrom_js_distance_to_others	crosscorr_peak_shift	crosscorr_peak_count	top_chroms
1	10000000	0.7614240570928266	0.09464303206403907	0.1258718290395258	48	2189	chr1:889161;chr2:854350;chr3:667290;chr6:610596;chr5:604513;chr4:546196;chr11:510834;chr7:504682
2	10000000	0.7897112180205726	0.19764107985213053	0.11972823814454002	40	2923	chr1:1118336;chr2:728707;chr3:675974;chr7:665868;chr6:578935;chr5:578367;chr11:511981;chr12:467836
3	10000000	0.8335939928034434	0.258237932620015	0.10717890593183411	59	2274	chr1:949358;chr2:714879;chr19:622012;chr3:557354;chr17:545816;chr11:537915;chr7:516804;chr6:507324
4	9979887	0.767538731816266	0.14743668071453678	0.120392749173831	8	4637	chr1:1187314;chr2:765523;chr6:690518;chr7:681336;chr3:600719;chr5:541960;chr11:504114;chr4:457563
5	10000000	0.7849893125136107	0.15720909364482927	0.1443401745455736	56	1031	chr2:989650;chr1:960541;chr7:839390;chr12:798204;chr3:561643;chr10:521830;chr6:493884;chr17:483365
6	10000000	0.8129401517948839	0.21563257105310654	0.13155673907672352	66	2086	chr1:793453;chr2:745047;chr11:726996;chr17:629113;chr19:611764;chr10:566794;chr12:543473;chr20:518404
7	10000000	0.8317523043510323	0.2476116141663852	0.11639919410307467	56	3029	chr1:939076;chr2:703843;chr19:615128;chr3:579454;chr6:519660;chr17:518271;chr11:512795;chr7:490269
8	10000000	0.8141252151437212	0.20077550744372152	0.11817209575535742	1	790	chr2:949285;chr1:758334;chr5:600945;chr3:583924;chr7:560853;chr17:539477;chr8:537755;chr10:518081
9	10000000	0.8163148748377415	0.09619610955417593	0.2545909225575741	1	604	chr11:2381042;chr1:651873;chr2:596550;chr3:563698;chr20:492275;chr17:479054;chr7:456425;chr5:422574
10	10000000	0.8459478198919199	0.1989896534034002	0.106684977601276	3	2499	chr1:882525;chr2:798760;chr7:711085;chr11:668504;chr17:631140;chr3:538098;chr19:507445;chr10:464351
