index	outlier_score	mean_chrom_js_distance_to_others	mean_top_bin_jaccard_to_others	tss_core_vs_outer_flank_enrichment	tss_pm100bp_fraction
9	21.276483621984536	0.2545909225575741	0.09619610955417593	12.497333272324397	0.0323654
1	4.800607983574103	0.1258718290395258	0.09464303206403907	21.08717943602789	0.0507383
5	4.029910497887372	0.1443401745455736	0.15720909364482927	27.76879068167116	0.0722124
4	3.040438014215818	0.120392749173831	0.14743668071453678	16.40127159318824	0.06536156170906544
8	1.7978307534857558	0.11817209575535742	0.20077550744372152	19.495007182864242	0.0493084
2	-1.6621451189799794	0.11972823814454002	0.19764107985213053	34.881408777288776	0.1047608
3	-3.1290670864193397	0.10717890593183411	0.258237932620015	27.627944115415897	0.0909131
10	-3.539470445213013	0.106684977601276	0.1989896534034002	36.65459328425696	0.1086275
6	-4.525217381845189	0.13155673907672352	0.21563257105310654	53.09980937082904	0.1542124
7	-5.735085291305168	0.11639919410307467	0.2476116141663852	45.356983145230565	0.1441769
