index	member	compressed_size	compressed_md5	gzip_original_name	lines	plain_md5	top_lengths_first_1m	top_chroms_first_1m	strand_counts_first_1m	score_counts_first_1m	examples	encode_file_accession	encode_output_type	encode_file_format	encode_assembly	encode_dataset_accession	encode_assay_title	encode_assay_term_name	encode_biosample_term_name	encode_target_label	encode_lookup_status
1	odd.one.out.q1/1.tagAlign.gz	62757293	88c9413a8989443695f413b3fe6e1c73		10000000	7143351cbd497e8cd0c980f643c694a9	50:1000000	chr1:889161;chr10:110839	-:500283;+:499717	1000:1000000	"chr1	9984	10034	N	1000	- | chr1	16222	16272	N	1000	+ | chr1	17477	17527	N	1000	+"										md5_error:<HTTPError 404: 'Not Found'>
2	odd.one.out.q1/2.tagAlign.gz	60537912	5c387a3f2801b84afa73cf53d2896136		10000000	6da55884a13ae4350a657a1135b97a82	50:1000000	chr1:1000000	-:501133;+:498867	1000:1000000	"chr1	10305	10355	N	1000	+ | chr1	10313	10363	N	1000	+ | chr1	10408	10458	N	1000	-"										md5_error:<HTTPError 404: 'Not Found'>
3	odd.one.out.q1/3.tagAlign.gz	62654933	b13ba80bd165547f2f8d92b5b5f471d0		10000000	0ea60ccfc9109beff9172dc43bfd8780	50:1000000	chr1:949358;chr10:50642	+:500077;-:499923	1000:1000000	"chr1	10393	10443	N	1000	+ | chr1	10562	10612	N	1000	- | chr1	10562	10612	N	1000	-"										md5_error:<HTTPError 404: 'Not Found'>
4	odd.one.out.q1/4.tagAlign.gz	66053740	905afd5ddecc537c8f18d0ad25775dd9		10000000	8c29d4f5535986c60b964a2a35ae5181	50:1000000	chr1:1000000	-:500335;+:499665	1000:1000000	"chr1	10211	10261	N	1000	+ | chr1	10258	10308	N	1000	- | chr1	10263	10313	N	1000	+"										md5_error:<HTTPError 404: 'Not Found'>
5	odd.one.out.q1/5.tagAlign.gz	64187272	55949f2dbda4af455838b5bb4f8d6768		10000000	873b8679fb2c38281f80744d0a32695f	50:1000000	chr1:960541;chr10:39459	+:500738;-:499262	1000:1000000	"chr1	54494	54544	N	1000	- | chr1	57799	57849	N	1000	- | chr1	62408	62458	N	1000	-"										md5_error:<HTTPError 404: 'Not Found'>
6	odd.one.out.q1/6.tagAlign.gz	57719364	85011991179339264d7102b1e482fe22		10000000	86b3ec6e0248276a4af5c7f48f1732e0	50:1000000	chr1:793453;chr10:206547	+:500862;-:499138	1000:1000000	"chr1	10002	10052	N	1000	+ | chr1	10002	10052	N	1000	+ | chr1	10031	10081	N	1000	+"										md5_error:<HTTPError 404: 'Not Found'>
7	odd.one.out.q1/7.tagAlign.gz	57325917	fdaa260083ef47ab6385c637511f5fe4		10000000	adfd68fa986452ee37f292520bb40111	50:1000000	chr1:939076;chr10:60924	-:500440;+:499560	1000:1000000	"chr1	10035	10085	N	1000	+ | chr1	10035	10085	N	1000	+ | chr1	10037	10087	N	1000	+"										md5_error:<HTTPError 404: 'Not Found'>
8	odd.one.out.q1/8.tagAlign.gz	69172385	2a8bd9c7f3fc65dd57927326a65d53ef		10000000	526c7e689a9ac44939f51b03a6449dc6	50:1000000	chr1:758334;chr10:241666	+:500225;-:499775	1000:1000000	"chr1	54692	54742	N	1000	+ | chr1	60756	60806	N	1000	- | chr1	62389	62439	N	1000	-"										md5_error:<HTTPError 404: 'Not Found'>
9	odd.one.out.q1/9.tagAlign.gz	53879030	0775484ecac7e8f5d963afc93fa7731c		10000000	be8c27300b8336c24dc044c1e1ba7251	50:1000000	chr1:651873;chr10:343631;chr11:4496	-:501114;+:498886	1000:1000000	"chr1	16226	16276	N	1000	+ | chr1	84483	84533	N	1000	+ | chr1	133195	133245	N	1000	+"										md5_error:<HTTPError 404: 'Not Found'>
10	odd.one.out.q1/10.tagAlign.gz	62626823	6cf97d41a99b061380b15cbb3d49dfce		10000000	5c57e30b743c9d2707410481fc2b9b64	50:1000000	chr1:882525;chr10:117475	+:500252;-:499748	1000:1000000	"chr1	16238	16288	N	1000	+ | chr1	79143	79193	N	1000	+ | chr1	88754	88804	N	1000	-"										md5_error:<HTTPError 404: 'Not Found'>
