Chromosome	Pos
1	1_10453
1	1_11612933
1	1_1219845
1	1_14892068
1	1_16165385
1	1_16196736
1	1_16216021
1	1_18536392
1	1_19109936
1	1_19123267
1	1_19558004
1	1_19610413
1	1_20992273
1	1_22478524
1	1_23494998
1	1_23699351
1	1_23986191
1	1_24402393
1	1_24491313
1	1_24726698
1	1_24797656
1	1_25004490
1	1_26856969
1	1_2690439
1	1_2690791
1	1_27463215
1	1_27777373
1	1_28411400
1	1_28604649
1	1_29006554
1	1_29048257
1	1_29093179
1	1_29230878
1	1_30501249
1	1_30910297
1	1_31184659
1	1_32117435
1	1_32807884
1	1_33624790
1	1_34797622
1	1_38568338
1	1_39067880
1	1_40646927
1	1_40991438
1	1_41257743
1	1_42069559
1	1_43361451
1	1_46135869
1	1_46196872
1	1_48767509
1	1_49117806
1	1_50578005
1	1_50668283
1	1_50784103
1	1_51304450
1	1_51686099
1	1_52683003
1	1_52879861
1	1_53104674
1	1_53185475
1	1_56286643
1	1_58600032
1	1_59018227
1	1_61249737
1	1_61744651
1	1_6310
1	1_65590637
1	1_67144760
1	1_67292734
1	1_70093297
1	1_70237359
1	1_73330864
1	1_73424577
1	1_73907469
1	1_74454564
1	1_75497857
1	1_75655921
1	1_75948528
1	1_7609771
1	1_76588873
1	1_77434048
1	1_77822887
1	1_78257752
1	1_79842679
1	1_79874423
1	1_79884720
1	1_80576159
1	1_8192
1	1_82015260
1	1_82852567
1	1_83846552
1	1_84816539
1	1_85711061
1	1_86296519
1	1_88195165
1	1_90439827
1	1_91258610
1	1_91684373
1	1_91824918
1	1_91907429
1	1_91926767
1	1_92019145
1	1_92109128
1	1_92120733
1	1_92128105
1	1_92137498
1	1_92159420
1	1_92185263
1	1_92304712
1	1_92403334
1	1_92454497
1	1_94435414
1	1_94817194
1	1_97858882
1	1_98354715
10	10_11380538
10	10_12317285
10	10_14223063
10	10_14490621
10	10_1510172
10	10_15117019
10	10_1523378
10	10_1585295
10	10_1606610
10	10_16639299
10	10_1967705
10	10_25933399
10	10_26888607
10	10_27876388
10	10_28389659
10	10_28648450
10	10_28652739
10	10_28708302
10	10_28708692
10	10_4360383
10	10_715728
10	10_874639
10	10_9802405
11	11_11169803
11	11_12454725
11	11_16637551
11	11_1811263
11	11_1906065
11	11_1906078
11	11_1906081
11	11_1913686
11	11_23953561
11	11_2589510
11	11_2590846
11	11_2612277
11	11_2867407
11	11_5343468
11	11_6977829
11	11_756265
11	11_756283
11	11_7886552
11	11_9191395
11	11_941974
11	11_952634
11	11_9709779
12	12_106332
12	12_106397
12	12_110171
12	12_12311781
12	12_127019
12	12_132611
12	12_13642320
12	12_15030573
12	12_156300
12	12_1594389
12	12_18133988
12	12_18888024
12	12_19562934
12	12_2131176
12	12_2131221
12	12_2131302
12	12_2270303
12	12_3018053
12	12_5163906
13	13_10245
13	13_12308321
13	13_14772131
13	13_1643907
13	13_16994151
13	13_17682284
13	13_1896471
13	13_19035424
13	13_19169282
13	13_258182
13	13_2734522
13	13_2748961
13	13_2976654
13	13_3263320
13	13_3736564
13	13_483412
13	13_5658515
13	13_7903475
13	13_8529
13	13_8651705
13	13_8793207
14	14_10353997
14	14_10380096
14	14_10380107
14	14_1118805
14	14_11488209
14	14_11632849
14	14_13854085
14	14_1386395
14	14_1391885
14	14_1466549
14	14_15214449
14	14_16908855
14	14_17416227
14	14_19715847
14	14_20203
14	14_20407
14	14_20419
14	14_20438
14	14_21496
14	14_23159465
14	14_23172297
14	14_4688173
14	14_4954880
14	14_5168623
15	15_10411503
15	15_13260392
15	15_13485493
15	15_13844535
15	15_1396412
15	15_1400645
15	15_1400646
15	15_1400878
15	15_1400879
15	15_1401282
15	15_14131907
15	15_14191365
15	15_14191371
15	15_14762457
15	15_15334029
15	15_15674326
15	15_178374
15	15_20677043
15	15_20957927
15	15_2635351
15	15_3022181
15	15_4215194
15	15_5364400
16	16_12272844
16	16_17375696
16	16_2031716
16	16_2628593
16	16_4038758
16	16_4484742
17	17_1027271
17	17_1028680
17	17_1036873
17	17_1070282
17	17_1075931
17	17_1127073
17	17_1127577
17	17_1142699
17	17_12484309
17	17_127717
17	17_12989445
17	17_134955
17	17_134962
17	17_159638
17	17_16797344
17	17_178783
17	17_178833
17	17_188768
17	17_188770
17	17_21663
17	17_260618
17	17_260640
17	17_27261
17	17_342318
17	17_421524
17	17_4408846
17	17_618005
17	17_618055
17	17_624297
17	17_6315567
17	17_675492
17	17_7731897
17	17_978710
18	18_10110548
18	18_13688120
18	18_16321
18	18_16977
19	19_12687468
19	19_1870926
19	19_2832134
19	19_5961832
19	19_68761
19	19_75773
19	19_8581916
19	19_9120563
19	19_9120620
19	19_9120637
2	2_100387740
2	2_100555412
2	2_100677437
2	2_100903128
2	2_101046467
2	2_101806116
2	2_102400311
2	2_102533395
2	2_103116273
2	2_10319232
2	2_10348088
2	2_103847652
2	2_105740848
2	2_107653158
2	2_108062867
2	2_108760415
2	2_111974481
2	2_112172571
2	2_112507583
2	2_113334946
2	2_113890236
2	2_114749993
2	2_116468742
2	2_117573387
2	2_118294926
2	2_11892350
2	2_120993111
2	2_123125001
2	2_13560408
2	2_14597943
2	2_15041967
2	2_15341645
2	2_15722672
2	2_15740872
2	2_18528122
2	2_18768971
2	2_19132548
2	2_19386789
2	2_2132683
2	2_23201525
2	2_23292135
2	2_2347808
2	2_2377787
2	2_24751624
2	2_25561736
2	2_25569889
2	2_26458744
2	2_26534694
2	2_28543293
2	2_31773187
2	2_31805609
2	2_32391648
2	2_33250407
2	2_37020408
2	2_38037387
2	2_4091333
2	2_41164075
2	2_42136496
2	2_42471114
2	2_43035386
2	2_43078393
2	2_43120833
2	2_44848600
2	2_4501001
2	2_45259823
2	2_45311152
2	2_45345324
2	2_45790512
2	2_4671950
2	2_47219053
2	2_48831221
2	2_49053368
2	2_49444503
2	2_51437575
2	2_52224804
2	2_52953695
2	2_53287510
2	2_54600449
2	2_56150168
2	2_57165385
2	2_60719192
2	2_61766220
2	2_62572456
2	2_62962653
2	2_63164090
2	2_64042259
2	2_64793193
2	2_64913493
2	2_66085722
2	2_66635350
2	2_66748350
2	2_66914076
2	2_67310072
