target_bins 308837
summary_signal_bins 310112
matching_canonical_bins 308837
target_sum_on_matching_bins 1000001.143999893102
signal_sum_on_matching_bins 14947.585987552553
signal_target_pearson 0.796089287627
signal_target_mean_abs_error 1.799417817102
signal_target_max_abs_error 136.062950712723
rounded_equal_bins 23481
chr10 0 10000 0.000000 0.000000
chr10 10000 20000 0.262000 0.106934
chr10 20000 30000 0.000000 0.091157
chr10 30000 40000 0.000000 0.000000
chr10 40000 50000 1.022999 0.399686
chr10 50000 60000 0.655999 0.527656
chr10 60000 70000 1.035999 0.909374
chr10 70000 80000 4.076995 2.026919
chr10 80000 90000 4.037995 2.870556
chr10 90000 100000 1.834998 1.804725
chr10 100000 110000 2.228997 1.775361
chr10 110000 120000 1.035999 1.511533
chr10 120000 130000 2.018998 5.702547
chr10 130000 140000 18.917978 6.637777
chr10 140000 150000 0.969999 1.820502
chr10 150000 160000 1.074999 1.142963
chr10 160000 170000 1.126999 2.005444
chr10 170000 180000 0.930999 1.760023
chr10 180000 190000 1.415998 1.595678
chr10 190000 200000 1.231999 1.701735
