metric	value
rows	308837
sum	1000001.143999893
nonzero_bins	283912
min_positive	0.013
max	307.646
first_chrom	chr10
last_chrom	chrY
chromosome_bins	chrom,count
chrom_count	chr10,13380
chrom_count	chr11,13509
chrom_count	chr12,13328
chrom_count	chr1,24896
chrom_count	chr13,11437
chrom_count	chr14,10705
chrom_count	chr15,10200
chrom_count	chr16,9034
chrom_count	chr17,8326
chrom_count	chr18,8038
chrom_count	chr19,5862
chrom_count	chr20,6445
chrom_count	chr21,4671
chrom_count	chr2,24220
chrom_count	chr22,5082
chrom_count	chr3,19830
chrom_count	chr4,19022
chrom_count	chr5,18154
chrom_count	chr6,17081
chrom_count	chr7,15935
chrom_count	chr8,14514
chrom_count	chr9,13840
chrom_count	chrX,15605
chrom_count	chrY,5723
sha256_uncompressed_lines	be2f49e604deb7c851ac64e4abc38088df54a0ccb6a0b5e147a73b41d59606e7
top_positive_values	value,count
value_count	0.787,2958
value_count	0.76,2917
value_count	0.734,2892
value_count	0.839,2888
value_count	0.892,2860
value_count	0.708,2855
value_count	0.813,2834
value_count	0.656,2819
value_count	0.865,2797
value_count	0.918,2760
value_count	0.682,2760
value_count	0.944,2721
value_count	0.97,2686
value_count	0.996,2666
value_count	0.603,2648
value_count	0.629,2645
value_count	1.075,2576
value_count	1.049,2558
value_count	0.577,2537
value_count	0.551,2511
scale_fit	median_residual,p90_residual,scale,inferred_total
scale_candidate	0.00026,0.000459,0.00655525,152549483
scale_candidate	0.00026,0.000459,0.0131105,76274741.6
scale_candidate	0.0002858,0.0007506,0.0065559,152534358
scale_candidate	0.0002864,0.0006872,0.0065546,152564611
scale_candidate	0.0002864,0.000688,0.0131092,76282305.6
scale_candidate	0.000292,0.0007574,0.0131118,76267179.2
scale_candidate	0.0004258,0.0010828,0.00655395,152579742
scale_candidate	0.0004258,0.0011117,0.0131079,76289871
scale_candidate	0.000454,0.0011684,0.00655655,152519236
scale_candidate	0.000454,0.0011977,0.0131131,76259618.2
scale_candidate	0.0006038,0.0014464,0.0065533,152594876
scale_candidate	0.000604,0.0015528,0.0131066,76297437.9
scale_candidate	0.0006136,0.0015448,0.0065572,152504118
scale_candidate	0.0006256,0.0016752,0.0131144,76252058.8
scale_candidate	0.0007765,0.00187395,0.00655785,152489002
scale_candidate	0.0007817,0.0017775,0.00655265,152610013
scale_candidate	0.0007838,0.0020913,0.0131053,76305006.4
scale_candidate	0.0007932,0.002181,0.0131157,76244500.9
scale_candidate	0.000928,0.002088,0.006552,152625153
scale_candidate	0.000934,0.0021395,0.0065585,152473889
