Isolate ID	Data	Data Type	Predicted Phenotype	CGE Predicted Phenotype	%Identity	%Overlap	HSP Length/Total Length	Contig	Start	End	Accession
input_sequence_fasta_uncompressed	ST44 (ecoli_achtman_4)	MLST									
input_sequence_fasta_uncompressed	IncFIA	Plasmid			99.48	100.0	388/388	JBSJPC010000002.1	582	968	AP001918
input_sequence_fasta_uncompressed	IncFIB(AP001918)	Plasmid			98.39	100.0	682/682	JBSJPC010000002.1	113566	112885	AP001918
input_sequence_fasta_uncompressed	aac(6')-Ib-cr	Resistance	amikacin, tobramycin, ciprofloxacin I/R	Tobramycin, Dibekacin, Amikacin, Sisomicin, Netilmicin, Fluoroquinolone, Ciprofloxacin	100.0	100.0	600/600	JBSJPC010000002.1	3875	4474	DQ303918
input_sequence_fasta_uncompressed	aadA5	Resistance	streptomycin	Spectinomycin, Streptomycin	100.0	100.0	789/789	JBSJPC010000002.1	14396	15184	AF137361
input_sequence_fasta_uncompressed	blaCTX-M-15	Resistance	ampicillin, ceftriaxone	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin	100.0	100.0	876/876	JBSJPC010000002.1	10347	9472	AY044436
input_sequence_fasta_uncompressed	blaOXA-1	Resistance	ampicillin	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Piperacillin, Piperacillin+Tazobactam	100.0	100.0	831/831	JBSJPC010000002.1	4605	5435	HQ170510
input_sequence_fasta_uncompressed	catB3	Resistance	chloramphenicol	Chloramphenicol	100.0	69.83	442/633	JBSJPC010000002.1	5573	6014	U13880
input_sequence_fasta_uncompressed	dfrA17	Resistance	trimethoprim	Trimethoprim	100.0	100.0	474/474	JBSJPC010000002.1	13792	14265	FJ460238
input_sequence_fasta_uncompressed	mph(A)	Resistance	erythromycin, azithromycin	Erythromycin, Azithromycin, Spiramycin, Telithromycin	99.68	100.11	922/921	JBSJPC010000002.1	65949	66870	U36578
input_sequence_fasta_uncompressed	sul1	Resistance	sulfisoxazole	Sulfamethoxazole	100.0	100.0	840/840	JBSJPC010000002.1	15731	16570	U12338
input_sequence_fasta_uncompressed	tet(B)	Resistance	tetracycline	Doxycycline, Tetracycline, Minocycline	100.0	100.0	1206/1206	JBSJPC010000002.1	73333	74538	AF326777
