metric	value
full_windows_ranked	2454
minimum_coverage_fraction	1
chromosome_partial_tails_ignored	chr1:471971,chr2:113224,chr3:39680,chr4:508116,chr5:834684,chr6:736546,chr7:441459,chr8:401213,chr9:595110,chr10:694993,chr11:82543,chr12:129022,chr13:421639,chr14:902244,chr15:43685,chr16:207768,chr17:987271,chr18:702639,chr19:431566
candidate	exact_sum	manual_interval_sum	manual_covered_bases	abs_difference
1:chr10:80000000-81000000	230598.390300997	230598.390260381	1000000	4.06159088015556e-05
2:chr11:69000000-70000000	212350.418887056	212350.418852665	1000000	3.43909487128258e-05
3:chr8:70000000-71000000	181167.603300616	181167.603332801	1000000	3.21846455335617e-05
4:chr7:45000000-46000000	179235.469344825	179235.469521452	1000000	0.000176627188920975
5:chr11:120000000-121000000	172705.783310123	172705.783552439	1000000	0.000242316164076328
6:chr17:56000000-57000000	171058.217610188	171058.217738592	1000000	0.00012840423732996
7:chr8:84000000-85000000	166883.675966017	166883.676103703	1000000	0.000137685798108578
8:chr7:127000000-128000000	158695.913562953	158695.913527794	1000000	3.51592898368835e-05
9:chr7:44000000-45000000	156991.400017008	156991.40014925	1000000	0.00013224221765995
10:chr19:5000000-6000000	156730.419276185	156730.419445657	1000000	0.000169471837580204
