record	chrom	start	end	length	intervals	covered_bases	exact_sum	exact_mean_all_bases	stats_default	stats_exact
chrom_size	chr1	0	195471971	195471971	NA	NA	NA	NA	NA	NA
chrom_size	chr2	0	182113224	182113224	NA	NA	NA	NA	NA	NA
chrom_size	chr3	0	160039680	160039680	NA	NA	NA	NA	NA	NA
chrom_size	chr4	0	156508116	156508116	NA	NA	NA	NA	NA	NA
chrom_size	chr5	0	151834684	151834684	NA	NA	NA	NA	NA	NA
chrom_size	chr6	0	149736546	149736546	NA	NA	NA	NA	NA	NA
chrom_size	chr7	0	145441459	145441459	NA	NA	NA	NA	NA	NA
chrom_size	chr8	0	129401213	129401213	NA	NA	NA	NA	NA	NA
chrom_size	chr9	0	124595110	124595110	NA	NA	NA	NA	NA	NA
chrom_size	chr10	0	130694993	130694993	NA	NA	NA	NA	NA	NA
chrom_size	chr11	0	122082543	122082543	NA	NA	NA	NA	NA	NA
chrom_size	chr12	0	120129022	120129022	NA	NA	NA	NA	NA	NA
chrom_size	chr13	0	120421639	120421639	NA	NA	NA	NA	NA	NA
chrom_size	chr14	0	124902244	124902244	NA	NA	NA	NA	NA	NA
chrom_size	chr15	0	104043685	104043685	NA	NA	NA	NA	NA	NA
chrom_size	chr16	0	98207768	98207768	NA	NA	NA	NA	NA	NA
chrom_size	chr17	0	94987271	94987271	NA	NA	NA	NA	NA	NA
chrom_size	chr18	0	90702639	90702639	NA	NA	NA	NA	NA	NA
chrom_size	chr19	0	61431566	61431566	NA	NA	NA	NA	NA	NA
probe	chr1	0	1000000	1000000	50000	1000000	0	0	0	0
probe	chr1	50000000	51000000	1000000	50000	1000000	30970.1316494	0.0309701316494	0.0304941720428	0.0309701316494
probe	chr19	0	1000000	1000000	50000	1000000	0	0	0	0
